! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  3.781891616215438E-001  4.151257869810518E-001  4.747484605110977E-001  2.556535265928916E-001
  2.000000000000000E-001  3.783770826271667E-001  4.153717525990682E-001  4.743527247627080E-001  2.556493352163806E-001
  3.000000000000000E-001  3.785451227804101E-001  4.156060034287139E-001  4.740009704051065E-001  2.556479069040221E-001
  4.000000000000000E-001  3.787270513440427E-001  4.158302525435374E-001  4.736280508544102E-001  2.556471932531630E-001
  5.000000000000000E-001  3.788983125695952E-001  4.160464468403929E-001  4.732860532346307E-001  2.556467614219460E-001
  6.000000000000000E-001  3.790638569809647E-001  4.162547069242540E-001  4.729664367086915E-001  2.556464728432651E-001
  8.000000000000000E-001  3.794232091368818E-001  4.166413002961916E-001  4.723425266904850E-001  2.556461188655146E-001
  1.000000000000000E+000  3.797592397659463E-001  4.169992245671119E-001  4.718335890073729E-001  2.556459075097826E-001
  1.200000000000000E+000  3.800824341308884E-001  4.173302806755779E-001  4.714210699577376E-001  2.556457689317292E-001
  1.400000000000000E+000  3.803973809718312E-001  4.176362547871522E-001  4.710964642784646E-001  2.556456723851876E-001
  1.600000000000000E+000  3.807064277297851E-001  4.179188867032331E-001  4.708540699537407E-001  2.556456022162032E-001
  1.800000000000000E+000  3.810109874149671E-001  4.181798545104629E-001  4.706888622241311E-001  2.556455496137033E-001
  2.000000000000000E+000  3.813119004010917E-001  4.184207741183456E-001  4.705958512540753E-001  2.556455092399719E-001
  2.500000000000000E+000  3.821348893982233E-001  4.189200503615705E-001  4.707774912115718E-001  2.556454448575585E-001
  3.000000000000000E+000  3.829148032417030E-001  4.193320903011097E-001  4.712766581015700E-001  2.556454063298201E-001
  3.500000000000000E+000  3.836671974742386E-001  4.196718139486401E-001  4.720015622554778E-001  2.556453821074808E-001
  4.000000000000000E+000  3.844001710428713E-001  4.199515718771569E-001  4.728851744933787E-001  2.556453663507386E-001
  4.500000000000000E+000  3.851184385015041E-001  4.201815586182318E-001  4.738766146504597E-001  2.556453558468793E-001
  5.000000000000000E+000  3.858249762390792E-001  4.203701861196888E-001  4.749369034519109E-001  2.556453487199278E-001
  5.500000000000000E+000  3.865217817645952E-001  4.205244026172515E-001  4.760363119290276E-001  2.556453438254959E-001
  6.000000000000000E+000  3.872102604743409E-001  4.206499575980097E-001  4.771524410535837E-001  2.556453404418559E-001
  7.000000000000000E+000  3.886518668161595E-001  4.208190417326552E-001  4.794569175641520E-001  2.556453367877819E-001
  8.000000000000000E+000  3.900458165124686E-001  4.209291648094396E-001  4.816316005594454E-001  2.556453350683776E-001
  9.000000000000000E+000  3.914035118133442E-001  4.209972108205097E-001  4.836671220274852E-001  2.556453344320345E-001
  1.000000000000000E+001  3.927320041788406E-001  4.210352646382899E-001  4.855669578366944E-001  2.556453344306088E-001
  1.100000000000000E+001  3.940359218469296E-001  4.210520088703725E-001  4.873409060439394E-001  2.556453348148131E-001
  1.200000000000000E+001  3.953184520719153E-001  4.210536932774916E-001  4.890012344326811E-001  2.556453354380469E-001
  1.400000000000000E+001  3.979739395514277E-001  4.210237278737908E-001  4.920808473191987E-001  2.556453370967722E-001
  1.600000000000000E+001  4.005210865165999E-001  4.209775566574986E-001  4.948192697126204E-001  2.556453388982979E-001
  1.800000000000000E+001  4.029823825043355E-001  4.209240561847347E-001  4.972949500686032E-001  2.556453406980425E-001
  2.000000000000000E+001  4.053719419473704E-001  4.208681354987702E-001  4.995610689422816E-001  2.556453424245986E-001
