! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  7.770061728395060E-005  3.924999253267242E+000
  0.000000000000000E+000  7.770061728395060E-005  3.924999253267242E+000
  9.999999999999998E-002  7.770063065880720E-005  3.923414474368282E+000
  1.999999999999999E-001  7.770063065880718E-005  3.922633551621375E+000
  2.999999999999999E-001  7.770063065880716E-005  3.922082180976921E+000
  3.999999999999999E-001  7.770063065880720E-005  3.921669812921760E+000
  4.999999999999999E-001  7.770063065880723E-005  3.921334938835028E+000
  6.000000000000000E-001  7.770063065880720E-005  3.921056640788873E+000
  7.000000000000000E-001  7.770063065880714E-005  3.920830377160205E+000
  7.999999999999999E-001  7.770063065880710E-005  3.920635995572701E+000
  8.999999999999999E-001  7.770063065880715E-005  3.920467653765995E+000
  9.999999999999999E-001  7.770063065880714E-005  3.920320882473791E+000
  1.100000000000000E+000  7.770063065880711E-005  3.920192167595560E+000
  1.200000000000000E+000  7.770063065880718E-005  3.920078687275649E+000
  1.300000000000000E+000  7.770063065880719E-005  3.919978138552376E+000
  1.400000000000000E+000  7.770063065880718E-005  3.919888618387583E+000
  1.600000000000000E+000  7.770063065880716E-005  3.919743198799169E+000
  1.800000000000000E+000  7.770063065880720E-005  3.919623115002859E+000
  2.000000000000000E+000  7.770063065880715E-005  3.919522282782252E+000
  2.200000000000000E+000  7.770063065880712E-005  3.919436192020260E+000
  2.400000000000000E+000  7.770063065880725E-005  3.919361481981551E+000
  2.600000000000001E+000  7.770063065880720E-005  3.919295641345482E+000
  2.800000000000001E+000  7.770063065880718E-005  3.919236790328639E+000
  3.000000000000001E+000  7.770063065880712E-005  3.919183519680305E+000
  3.200000000000001E+000  7.770063065880715E-005  3.919134770598261E+000
  3.400000000000001E+000  7.770063065880718E-005  3.919089744841758E+000
  3.600000000000001E+000  7.770063065880715E-005  3.919047837464618E+000
  3.800000000000002E+000  7.770063065880711E-005  3.919008586612398E+000
  4.000000000000002E+000  7.770063065880716E-005  3.918971636209996E+000
  4.500000000000002E+000  7.770063065880711E-005  3.918890688900742E+000
  5.000000000000002E+000  7.770063065880714E-005  3.918818838851113E+000
  5.100000000000000E+000  7.770063065880710E-005  3.918804662821195E+000
  5.199999999999999E+000  7.770063065880712E-005  3.918790855409316E+000
  5.299999999999999E+000  7.770063065880708E-005  3.918777426356144E+000
  5.399999999999999E+000  7.770063065880706E-005  3.918764287218385E+000
  5.599999999999999E+000  7.770063065880704E-005  3.918739108878204E+000
  5.799999999999999E+000  7.770063065880712E-005  3.918714960292967E+000
  5.999999999999999E+000  7.770063065880707E-005  3.918691779233662E+000
  6.499999999999999E+000  7.770063065880712E-005  3.918639302703845E+000
  6.999999999999999E+000  7.770063065880716E-005  3.918591598743186E+000
  7.499999999999999E+000  7.770063065880715E-005  3.918548100187024E+000
  7.999999999999999E+000  7.770063065880710E-005  3.918508338293621E+000
  8.500000000000000E+000  7.770063065880720E-005  3.918471918773360E+000
  9.000000000000000E+000  7.770063065880715E-005  3.918438505626805E+000
  9.500000000000000E+000  7.770063065880715E-005  3.918407809628164E+000
  1.000000000000000E+001  7.770063065880716E-005  3.918379579762231E+000
  1.100000000000000E+001  7.770063065880711E-005  3.918331790386911E+000
  1.200000000000000E+001  7.770063065880710E-005  3.918291216143824E+000
  1.300000000000000E+001  7.770063065880715E-005  3.918256762906255E+000
  1.400000000000000E+001  7.770063065880707E-005  3.918227561058439E+000
  1.500000000000000E+001  7.770063065880714E-005  3.918202902187447E+000
  1.600000000000000E+001  7.770063065880710E-005  3.918182200771354E+000
  1.700000000000000E+001  7.770063065880707E-005  3.918164967590055E+000
  1.800000000000000E+001  7.770063065880700E-005  3.918150790157636E+000
  2.000000000000000E+001  7.770063065880715E-005  3.918132793685947E+000
  2.200000000000000E+001  7.770063065880723E-005  3.918122891302928E+000
  2.400000000000000E+001  7.770063065880720E-005  3.918119517662407E+000
  2.600000000000000E+001  7.770063065880731E-005  3.918121479342939E+000
  2.800000000000000E+001  7.770063065880733E-005  3.918127843007856E+000
  3.000000000000000E+001  7.770063065880726E-005  3.918137867935391E+000
  3.500000000000000E+001  7.770063065880725E-005  3.918180224968778E+000
  4.000000000000000E+001  7.770063065880725E-005  3.918233649465021E+000
  4.500000000000000E+001  7.770063065880725E-005  3.918294597353637E+000
  5.000000000000000E+001  7.770063065880727E-005  3.918360734451855E+000
  5.500000000000000E+001  7.770063065880723E-005  3.918430469108573E+000
  6.000000000000000E+001  7.770063065880720E-005  3.918502688746217E+000
  6.500000000000000E+001  7.770063065880707E-005  3.918576599673211E+000
  7.000000000000000E+001  7.770063065880674E-005  3.918651626080159E+000
  8.000000000000000E+001  7.770063065880678E-005  3.918803913812893E+000
  9.000000000000000E+001  7.770063065880677E-005  3.918956325522233E+000
  1.000000000000000E+002  7.770063065880676E-005  3.919107798308402E+000
  1.100000000000000E+002  7.770063065880681E-005  3.919257714259156E+000
  1.200000000000000E+002  7.770063065880676E-005  3.919405718420572E+000
  1.300000000000000E+002  7.770063065880723E-005  3.919551615902604E+000
  1.400000000000000E+002  7.770063065880738E-005  3.919695311156106E+000
  1.600000000000000E+002  7.770063065880734E-005  3.919973772391358E+000
  1.800000000000000E+002  7.770063065880744E-005  3.920243509706336E+000
  2.000000000000000E+002  7.770063065880742E-005  3.920504993828797E+000
  2.200000000000000E+002  7.770063065880734E-005  3.920758739257059E+000
  2.400000000000000E+002  7.770063065880737E-005  3.921005255271187E+000
  2.600000000000000E+002  7.770063065880735E-005  3.921245024043017E+000
  2.800000000000000E+002  7.770063065880749E-005  3.921478492260247E+000
  3.000000000000000E+002  7.770063065880775E-005  3.921706069296800E+000
  3.500000000000000E+002  7.770063065880780E-005  3.922242131640958E+000
  4.000000000000000E+002  7.770063065880783E-005  3.922750024168092E+000
  4.500000000000000E+002  7.770063065880780E-005  3.923233437568941E+000
  5.000000000000000E+002  7.770063065880776E-005  3.923695327225081E+000
  5.500000000000000E+002  7.770063065880771E-005  3.924138106875979E+000
  6.000000000000000E+002  7.770063065880781E-005  3.924563777985703E+000
  6.500000000000000E+002  7.770063065880777E-005  3.924974021482500E+000
  7.000000000000000E+002  7.770063065881088E-005  3.925370264812550E+000
  8.000000000000000E+002  7.770063065881089E-005  3.926113981028964E+000
  9.000000000000000E+002  7.770063065881092E-005  3.926816345035061E+000
  1.000000000000000E+003  7.770063065881093E-005  3.927483056929171E+000
  1.100000000000000E+003  7.770063065881097E-005  3.928118629105654E+000
  1.200000000000000E+003  7.770063065881096E-005  3.928726709011180E+000
  1.300000000000000E+003  7.770063065881095E-005  3.929310294482955E+000
  1.400000000000000E+003  7.770063065881089E-005  3.929871884204128E+000
  1.500000000000000E+003  7.770063065881093E-005  3.930413586067822E+000
  1.600000000000000E+003  7.770063065881050E-005  3.930937197100709E+000
  1.800000000000000E+003  7.770063065881057E-005  3.931921329108065E+000
  2.000000000000000E+003  7.770063065881058E-005  3.932851708398037E+000
  2.200000000000000E+003  7.770063065881055E-005  3.933735584747865E+000
  2.400000000000000E+003  7.770063065881058E-005  3.934578732081913E+000
  2.600000000000000E+003  7.770063065881048E-005  3.935385837724663E+000
  2.800000000000000E+003  7.770063065881053E-005  3.936160767613132E+000
  3.000000000000000E+003  7.770063065881048E-005  3.936906753578409E+000
  3.200000000000000E+003  7.770063065881051E-005  3.937626529146325E+000
  3.400000000000000E+003  7.770063065881048E-005  3.938322430186368E+000
  3.600000000000000E+003  7.770063065880699E-005  3.938996470922163E+000
  3.800000000000000E+003  7.770063065880487E-005  3.939650402286488E+000
  4.000000000000000E+003  7.770063065880359E-005  3.940285757379259E+000
  4.200000000000000E+003  7.770063065880276E-005  3.940903887342734E+000
  4.400000000000000E+003  7.770063065880219E-005  3.941505990007801E+000
  4.600000000000000E+003  7.770063065880188E-005  3.942093133011635E+000
  4.800000000000000E+003  7.770063065880165E-005  3.942666272634694E+000
  5.000000000000000E+003  7.770063065880254E-005  3.943226269285342E+000
  5.200000000000000E+003  7.770063065880325E-005  3.943773900332149E+000
  5.400000000000000E+003  7.770063065880360E-005  3.944309870817550E+000
  5.600000000000000E+003  7.770063065880403E-005  3.944834822464287E+000
  5.800000000000000E+003  7.770063065880417E-005  3.945349341295113E+000
  6.000000000000000E+003  7.770063065880436E-005  3.945853964117454E+000
  6.200000000000000E+003  7.770063065880529E-005  3.946349184072658E+000
  6.400000000000000E+003  7.770063065880607E-005  3.946835455409154E+000
  6.600000000000000E+003  7.770063065880664E-005  3.947313197608021E+000
  6.800000000000000E+003  7.770063065880707E-005  3.947782798964867E+000
  7.000000000000000E+003  7.770063065880745E-005  3.948244619712828E+000
  7.200000000000000E+003  7.770063065880768E-005  3.948698994756624E+000
  7.400000000000000E+003  7.770063065880784E-005  3.949146236074768E+000
  7.600000000000000E+003  7.770063065880796E-005  3.949586634838110E+000
  7.800000000000000E+003  7.770063065880809E-005  3.950020463284275E+000
  8.000000000000000E+003  7.770063065880813E-005  3.950447976381491E+000
  8.200000000000000E+003  7.770063065880821E-005  3.950869413309947E+000
  8.400000000000000E+003  7.770063065880838E-005  3.951284998784535E+000
  8.600000000000000E+003  7.770063065880833E-005  3.951694944239103E+000
  8.800000000000000E+003  7.770063065880837E-005  3.952099448889566E+000
  9.000000000000000E+003  7.770063065880841E-005  3.952498700690650E+000
  9.200000000000000E+003  7.770063065880848E-005  3.952892877198841E+000
  9.400000000000000E+003  7.770063065880842E-005  3.953282146352707E+000
  9.600000000000000E+003  7.770063065880842E-005  3.953666667179784E+000
  9.800000000000000E+003  7.770063065880834E-005  3.954046590438497E+000
  1.000000000000000E+004  7.770063065880849E-005  3.954422059202123E+000
  1.020000000000000E+004  7.770063065880834E-005  3.954793209391085E+000
  1.040000000000000E+004  7.770063065880837E-005  3.955160170258981E+000
  1.060000000000000E+004  7.770063065880838E-005  3.955523064837291E+000
  1.080000000000000E+004  7.770063065880844E-005  3.955882010342782E+000
  1.100000000000000E+004  7.770063065880845E-005  3.956237118551529E+000
  1.120000000000000E+004  7.770063065880829E-005  3.956588496142679E+000
  1.140000000000000E+004  7.770063065880837E-005  3.956936245014908E+000
  1.160000000000000E+004  7.770063065880841E-005  3.957280462578386E+000
  1.180000000000000E+004  7.770063065880851E-005  3.957621242024107E+000
  1.200000000000000E+004  7.770063065880847E-005  3.957958672573121E+000
  1.220000000000000E+004  7.770063065880849E-005  3.958292839707077E+000
  1.240000000000000E+004  7.770063065880851E-005  3.958623825382095E+000
  1.260000000000000E+004  7.770063065880842E-005  3.958951708227193E+000
  1.280000000000000E+004  7.770063065880847E-005  3.959276563728631E+000
  1.300000000000000E+004  7.770063065880838E-005  3.959598464401489E+000
  1.320000000000000E+004  7.770063065880844E-005  3.959917479949361E+000
  1.340000000000000E+004  7.770063065880855E-005  3.960233677413360E+000
  1.360000000000000E+004  7.770063065880853E-005  3.960547121311101E+000
  1.380000000000000E+004  7.770063065880847E-005  3.960857873766556E+000
  1.400000000000000E+004  7.770063065880853E-005  3.961165994631502E+000
  1.420000000000000E+004  7.770063065880859E-005  3.961471541599269E+000
  1.440000000000000E+004  7.770063065880851E-005  3.961774570311239E+000
  1.460000000000000E+004  7.770063065880852E-005  3.962075134456675E+000
  1.480000000000000E+004  7.770063065880855E-005  3.962373285866629E+000
  1.500000000000000E+004  7.770063065880845E-005  3.962669074601920E+000
  1.520000000000000E+004  7.770063065880857E-005  3.962962549036001E+000
  1.540000000000000E+004  7.770063065880860E-005  3.963253755932925E+000
  1.560000000000000E+004  7.770063065880861E-005  3.963542740520712E+000
  1.580000000000000E+004  7.770063065880859E-005  3.963829546560536E+000
  1.600000000000000E+004  7.770063065880855E-005  3.964114216411967E+000
  1.620000000000000E+004  7.770063065880863E-005  3.964396791094546E+000
  1.640000000000000E+004  7.770063065880851E-005  3.964677310346000E+000
  1.660000000000000E+004  7.770063065880851E-005  3.964955812677155E+000
  1.680000000000000E+004  7.770063065880856E-005  3.965232335423974E+000
  1.700000000000000E+004  7.770063065880859E-005  3.965506914796789E+000
  1.720000000000000E+004  7.770063065880855E-005  3.965779585926903E+000
  1.740000000000000E+004  7.770063065880859E-005  3.966050382910730E+000
  1.760000000000000E+004  7.770063065880870E-005  3.966319338851754E+000
  1.780000000000000E+004  7.770063065880856E-005  3.966586485900252E+000
  1.800000000000000E+004  7.770063065880863E-005  3.966851855290973E+000
  1.820000000000000E+004  7.770063065880868E-005  3.967115477379073E+000
  1.840000000000000E+004  7.770063065880857E-005  3.967377381674146E+000
  1.860000000000000E+004  7.770063065880856E-005  3.967637596872627E+000
