! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000002E-001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000002E-001  1.859244965567693E-094  0.000000000000000E+000
  6.000000000000003E-001  9.132353396860047E-087  0.000000000000000E+000
  7.000000000000004E-001  7.100373645902919E-067  0.000000000000000E+000
  8.000000000000005E-001  4.520534366380074E-062  0.000000000000000E+000
  9.000000000000006E-001  4.011045887184921E-058  0.000000000000000E+000
  1.000000000000001E+000  8.411523950937078E-055  0.000000000000000E+000
  1.100000000000001E+000  1.583438755347233E-051  0.000000000000000E+000
  1.200000000000001E+000 -1.108414156386993E-045  0.000000000000000E+000
  1.300000000000001E+000  5.027693980911517E-046  0.000000000000000E+000
  1.400000000000001E+000 -8.510978647468788E-045  0.000000000000000E+000
  1.500000000000001E+000 -1.424603968987786E-043  0.000000000000000E+000
  1.600000000000001E+000 -2.008712280246593E-042  0.000000000000000E+000
  1.700000000000001E+000 -3.080241176833534E-041  0.000000000000000E+000
  1.800000000000001E+000 -5.166494884801060E-040  0.000000000000000E+000
  1.900000000000001E+000 -8.992539526104674E-039  0.000000000000000E+000
  2.000000000000001E+000 -1.535547907481919E-037  0.000000000000000E+000
  2.100000000000001E+000 -2.448500104983561E-036  0.000000000000000E+000
  2.200000000000002E+000 -3.509101537183620E-035  0.000000000000000E+000
  2.300000000000002E+000 -4.403213516786094E-034  0.000000000000000E+000
  2.400000000000002E+000 -4.762820181125075E-033  0.000000000000000E+000
  2.500000000000002E+000 -4.409070044348803E-032  0.000000000000000E+000
  2.600000000000002E+000 -3.488992518025568E-031  0.000000000000000E+000
  2.700000000000002E+000 -2.366875741808371E-030  0.000000000000000E+000
  2.800000000000002E+000 -1.384068527930588E-029  0.000000000000000E+000
