! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000002E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000003E-001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000003E-001  7.567202761566597E-094  0.000000000000000E+000
  6.000000000000004E-001  2.223303897703832E-085  0.000000000000000E+000
  7.000000000000005E-001  1.412702609589965E-078  0.000000000000000E+000
  8.000000000000006E-001  7.897999201030910E-073  0.000000000000000E+000
  9.000000000000007E-001  7.248950732047489E-068  0.000000000000000E+000
  1.000000000000001E+000  1.600967407320962E-063  0.000000000000000E+000
  1.100000000000001E+000  1.101526201341393E-059  0.000000000000000E+000
  1.200000000000001E+000  2.834800966903223E-056  0.000000000000000E+000
  1.300000000000001E+000  3.114608355980022E-053  0.000000000000000E+000
  1.400000000000001E+000  1.605089605109861E-050  0.000000000000000E+000
  1.500000000000001E+000  4.109604944099391E-048  0.000000000000000E+000
  1.600000000000001E+000  5.225244951624610E-046  0.000000000000000E+000
  1.700000000000001E+000  2.652650615671776E-044  0.000000000000000E+000
  1.800000000000001E+000 -9.086152896108321E-043  0.000000000000000E+000
  1.900000000000001E+000 -2.091923809861380E-040  0.000000000000000E+000
  2.000000000000001E+000 -1.377437608555748E-038  0.000000000000000E+000
  2.100000000000001E+000 -5.313976913950937E-037  0.000000000000000E+000
  2.200000000000002E+000 -1.385842953841074E-035  0.000000000000000E+000
  2.300000000000002E+000 -2.613745474319448E-034  0.000000000000000E+000
  2.400000000000002E+000 -3.723126438921434E-033  0.000000000000000E+000
  2.500000000000002E+000 -4.137205334007349E-032  0.000000000000000E+000
  2.600000000000002E+000 -3.681349717695413E-031  0.000000000000000E+000
  2.700000000000002E+000 -2.681470805151513E-030  0.000000000000000E+000
  2.800000000000002E+000 -1.629596917486557E-029  0.000000000000000E+000
  2.900000000000002E+000 -8.402381406234254E-029  0.000000000000000E+000
  3.000000000000002E+000 -3.730768398376969E-028  0.000000000000000E+000
  3.100000000000002E+000 -1.445569740402362E-027  0.000000000000000E+000
  3.200000000000002E+000 -4.946533277390705E-027  0.000000000000000E+000
  3.300000000000002E+000 -1.839063840881926E-026  0.000000000000000E+000
  3.400000000000002E+000 -5.646933962847298E-026  0.000000000000000E+000
  3.500000000000001E+000 -1.491057330428355E-025  0.000000000000000E+000
  3.600000000000001E+000 -3.475718414403782E-025  0.000000000000000E+000
  3.700000000000001E+000 -7.284190236825536E-025  0.000000000000000E+000
  3.800000000000000E+000 -1.390532856403080E-024  0.000000000000000E+000
  3.900000000000000E+000 -2.440665159839813E-024  0.000000000000000E+000
  4.000000000000000E+000 -3.963751606156407E-024  0.000000000000000E+000
  4.100000000000000E+000 -5.976573908808824E-024  0.000000000000000E+000
  4.199999999999999E+000 -8.366367150689080E-024  0.000000000000000E+000
  4.299999999999999E+000 -1.081902841541655E-023  0.000000000000000E+000
  4.399999999999999E+000 -1.274388477634590E-023  0.000000000000000E+000
  4.499999999999998E+000 -1.320301309987548E-023  0.000000000000000E+000
  4.599999999999998E+000 -1.085273109350490E-023  0.000000000000000E+000
  4.699999999999998E+000 -1.655375236882561E-024  9.449492973814193E-001
  4.799999999999997E+000  1.626481636742214E-023  1.055765431745920E+000
  4.899999999999997E+000  4.615843042573596E-023  1.048307622218214E+000
  4.999999999999996E+000  9.168616163869529E-023  1.045866808240448E+000
  5.099999999999996E+000  1.568423431456822E-022  1.044569565100780E+000
  5.199999999999996E+000  2.458684618998668E-022  1.043717792964386E+000
  5.299999999999995E+000  3.631624403744992E-022  1.043087924484636E+000
  5.399999999999995E+000  5.131885682294838E-022  1.042586057442390E+000
  5.499999999999995E+000  7.003918601231132E-022  1.042165717040809E+000
  5.599999999999994E+000  9.291194811128556E-022  1.041801183524134E+000
  5.699999999999994E+000  1.203550845760516E-021  1.041477013023722E+000
  5.799999999999994E+000  1.527637133966054E-021  1.041183333396877E+000
  5.899999999999993E+000  1.905050304144076E-021  1.040913512952011E+000
  5.999999999999993E+000  2.339141219080444E-021  1.040662913013999E+000
  6.099999999999993E+000  2.832906208219649E-021  1.040428178137437E+000
  6.199999999999992E+000  3.388961238974464E-021  1.040206811333950E+000
  6.299999999999992E+000  4.009522823262836E-021  1.039996908884530E+000
  6.399999999999991E+000  4.696394810648463E-021  1.039796988707223E+000
  6.499999999999991E+000  5.450960288076645E-021  1.039605875763004E+000
  6.599999999999991E+000  6.274177896279499E-021  1.039422623434881E+000
  6.699999999999990E+000  7.166581968585764E-021  1.039246458277506E+000
  6.799999999999990E+000  8.128285988620760E-021  1.039076740352898E+000
  6.999999999999990E+000  1.032873092593721E-020  1.038721581889776E+000
  7.199999999999990E+000  1.279290651609573E-020  1.038396398296906E+000
  7.399999999999991E+000  1.550153617399426E-020  1.038096353340924E+000
  7.599999999999991E+000  1.843013156901680E-020  1.037817920407403E+000
  7.799999999999991E+000  2.154976569358025E-020  1.037558444730909E+000
  7.999999999999991E+000  2.482784367649484E-020  1.037315878554533E+000
  8.199999999999990E+000  2.822885644465667E-020  1.037088612872046E+000
  8.399999999999990E+000  3.171510458267706E-020  1.036875366194657E+000
  8.599999999999989E+000  3.524738188440100E-020  1.036675108720830E+000
  8.799999999999988E+000  3.878561027237585E-020  1.036487009494647E+000
  8.999999999999988E+000  4.228941998363561E-020  1.036310399110517E+000
  9.199999999999987E+000  4.571867109862083E-020  1.036144743344466E+000
  9.399999999999986E+000  4.903391451698477E-020  1.035989624775399E+000
  9.599999999999985E+000  5.219679226842799E-020  1.035844730515841E+000
  9.799999999999985E+000  5.517037853199496E-020  1.035709844873172E+000
  9.999999999999984E+000  5.791946390336121E-020  1.035584846262202E+000
  1.019999999999998E+001  6.041078630637087E-020  1.035469708080787E+000
  1.039999999999998E+001  6.261321252257499E-020  1.035364503604581E+000
  1.059999999999998E+001  6.449787465183817E-020  1.035269415305085E+000
  1.079999999999998E+001  6.603826596280223E-020  1.035184749396204E+000
  1.099999999999998E+001  6.721030058710055E-020  1.035110956928526E+000
  1.149999999999998E+001  6.747313901327589E-020  1.035013873793549E+000
  1.199999999999998E+001  6.487044805857214E-020  1.035030072548104E+000
  1.249999999999998E+001  5.929900315479505E-020  1.035206564019321E+000
  1.299999999999998E+001  5.073612392182322E-020  1.035652205253273E+000
  1.349999999999998E+001  3.922615629455931E-020  1.036663337803152E+000
  1.399999999999998E+001  2.486791454506128E-020  1.039384171264126E+000
  1.449999999999998E+001  7.803222229631669E-021  1.056057052362912E+000
  1.499999999999998E+001 -1.179331663842527E-020  1.015444537164639E+000
  1.549999999999998E+001 -3.372325556093309E-020  1.025891861015056E+000
  1.599999999999998E+001 -5.777196449819439E-020  1.028200025880481E+000
  1.649999999999998E+001 -8.371507558881925E-020  1.029189444234377E+000
  1.699999999999998E+001 -1.113238149288381E-019  1.029731741512621E+000
  1.749999999999998E+001 -1.403693366100752E-019  1.030073924215918E+000
  1.799999999999998E+001 -1.706261803886647E-019  1.030312603891657E+000
  1.849999999999998E+001 -2.018749718375449E-019  1.030493166754291E+000
  1.899999999999998E+001 -2.339044766527071E-019  1.030639640811938E+000
  1.949999999999998E+001 -2.665131110517129E-019  1.030765865097547E+000
  1.999999999999998E+001 -2.995099993565138E-019  1.030880325150369E+000
  2.049999999999998E+001 -3.327156588246839E-019  1.030988481901733E+000
  2.099999999999998E+001 -3.659623811661525E-019  1.031093988474719E+000
  2.149999999999998E+001 -3.990943702954949E-019  1.031199368210858E+000
  2.199999999999998E+001 -4.319676868969291E-019  1.031306412741433E+000
  2.249999999999998E+001 -4.644500423851633E-019  1.031416426035155E+000
  2.299999999999998E+001 -4.964204778249335E-019  1.031530379582899E+000
  2.349999999999998E+001 -5.277689572776164E-019  1.031649014216157E+000
  2.399999999999998E+001 -5.583958998028771E-019  1.031772908760928E+000
  2.449999999999998E+001 -5.882116698737216E-019  1.031902527465673E+000
  2.499999999999998E+001 -6.171360421782411E-019  1.032038253494240E+000
  2.549999999999998E+001 -6.450976535963777E-019  1.032180413066842E+000
  2.599999999999998E+001 -6.720334524759426E-019  1.032329293205174E+000
  2.649999999999998E+001 -6.978881531162818E-019  1.032485155032924E+000
  2.699999999999998E+001 -7.226137015352662E-019  1.032648243947174E+000
  2.749999999999998E+001 -7.461687570879614E-019  1.032818797565097E+000
  2.799999999999998E+001 -7.685181932730119E-019  1.032997052079366E+000
  2.899999999999998E+001 -8.081068351382091E-019  1.033396678498091E+000
  2.999999999999998E+001 -8.424565658839758E-019  1.033830390273653E+000
  3.099999999999998E+001 -8.715078208628702E-019  1.034300487459880E+000
  3.199999999999998E+001 -8.952548857840371E-019  1.034809667385075E+000
  3.299999999999998E+001 -9.137355517336786E-019  1.035361119134433E+000
  3.399999999999998E+001 -9.270225727182311E-019  1.035958630892294E+000
  3.499999999999998E+001 -9.352164556802161E-019  1.036606716863002E+000
  3.599999999999998E+001 -9.384393873009066E-019  1.037310772861097E+000
  3.699999999999998E+001 -9.368301409993998E-019  1.038077271754235E+000
  3.799999999999998E+001 -9.305398254721900E-019  1.038914013320938E+000
  3.899999999999998E+001 -9.197283522180665E-019  1.039830448341244E+000
  3.999999999999998E+001 -9.045615147820696E-019  1.040838104711642E+000
  4.099999999999998E+001 -8.852085866087609E-019  1.041951155473089E+000
  4.199999999999998E+001 -8.618403572049706E-019  1.043187187219941E+000
  4.299999999999998E+001 -8.346275377107305E-019  1.044568256420323E+000
  4.399999999999998E+001 -8.037394769960845E-019  1.046122367669243E+000
  4.499999999999998E+001 -7.693431381273376E-019  1.047885584210085E+000
  4.599999999999998E+001 -7.316022925931055E-019  1.049905110054272E+000
  4.699999999999998E+001 -6.906768961724258E-019  1.052243908441812E+000
  4.799999999999998E+001 -6.467226158882447E-019  1.054987830531033E+000
  4.899999999999998E+001 -5.998904822374415E-019  1.058257004041712E+000
  4.999999999999998E+001 -5.503266449315745E-019  1.062224779633318E+000
  5.099999999999998E+001 -4.981722138180147E-019  1.067150813293356E+000
  5.199999999999998E+001 -4.435631695655414E-019  1.073442336027330E+000
  5.399999999999998E+001 -3.253998659774794E-019  1.093717739279665E+000
  5.599999999999998E+001 -1.992674912920264E-019  1.141042779389486E+000
  5.799999999999998E+001 -6.605468050620026E-020  1.384858133729796E+000
  5.999999999999998E+001  7.342969197064444E-020  6.941169353445200E-001
  6.199999999999998E+001  2.184506705040173E-019  9.119354741331454E-001
  6.399999999999998E+001  3.683414006476322E-019  9.571968319502104E-001
  6.599999999999997E+001  5.224974517025660E-019  9.769200229231925E-001
  6.799999999999997E+001  6.803713955668283E-019  9.880519010599946E-001
  6.999999999999997E+001  8.414677096896563E-019  9.952613745484447E-001
  7.199999999999997E+001  1.005338037617862E-018  1.000353354940429E+000
  7.399999999999997E+001  1.171576817698868E-018  1.004172734279217E+000
  7.599999999999997E+001  1.339817275576388E-018  1.007167713758746E+000
  7.799999999999997E+001  1.509727766727388E-018  1.009598134847047E+000
  7.999999999999997E+001  1.681008449716637E-018  1.011625002128158E+000
  8.199999999999997E+001  1.853388267875107E-018  1.013353383308238E+000
  8.399999999999997E+001  2.026622215890282E-018  1.014854751196923E+000
  8.599999999999997E+001  2.200488867734528E-018  1.016179410812263E+000
  8.799999999999997E+001  2.374788143037265E-018  1.017363791215539E+000
  8.999999999999997E+001  2.549339290139673E-018  1.018434918138519E+000
  9.499999999999997E+001  2.984917782822491E-018  1.020817103125439E+000
  9.999999999999997E+001  3.417850039068885E-018  1.022801768122622E+000
  1.050000000000000E+002  3.846728648510638E-018  1.024517734765599E+000
  1.100000000000000E+002  4.270482979419359E-018  1.026042811612959E+000
  1.150000000000000E+002  4.688306150689759E-018  1.027426805190759E+000
  1.200000000000000E+002  5.099598598668109E-018  1.028703106160818E+000
  1.250000000000000E+002  5.503924190600167E-018  1.029894961833174E+000
  1.300000000000000E+002  5.900975917540168E-018  1.031019075882963E+000
  1.350000000000000E+002  6.290548944520319E-018  1.032087775725496E+000
  1.400000000000000E+002  6.672519343523079E-018  1.033110371053713E+000
  1.450000000000000E+002  7.046827240153458E-018  1.034094035061079E+000
  1.500000000000000E+002  7.413463406533772E-018  1.035044393193369E+000
  1.550000000000000E+002  7.772458558648226E-018  1.035965926767077E+000
  1.600000000000000E+002  8.123874786231257E-018  1.036862256021007E+000
  1.610000000000000E+002  8.193861996477433E-018  1.037034463999880E+000
  1.620000000000000E+002  8.263553974395326E-018  1.037205891094573E+000
  1.640000000000000E+002  8.401755238969215E-018  1.037548550562684E+000
  1.660000000000000E+002  8.538779010104697E-018  1.037888214319203E+000
  1.680000000000000E+002  8.674631133275354E-018  1.038225013022137E+000
  1.700000000000000E+002  8.809317909749486E-018  1.038559068447936E+000
  1.750000000000000E+002  9.138754996643574E-018  1.039396336171925E+000
  1.800000000000000E+002  9.461043386691297E-018  1.040217553085793E+000
  1.850000000000000E+002  9.776322959290014E-018  1.041024196607498E+000
  1.900000000000000E+002  1.008473909148168E-017  1.041817534310666E+000
  1.950000000000000E+002  1.038644079208483E-017  1.042598661785482E+000
  2.000000000000000E+002  1.068157918878376E-017  1.043368532446117E+000
  2.050000000000000E+002  1.097030630466215E-017  1.044127981225170E+000
  2.100000000000000E+002  1.125277407378216E-017  1.044877743581430E+000
  2.150000000000000E+002  1.152913355334064E-017  1.045618470877195E+000
  2.200000000000000E+002  1.179953429716374E-017  1.046350742916439E+000
  2.250000000000000E+002  1.206412386154052E-017  1.047075078243189E+000
  2.300000000000000E+002  1.232304741960172E-017  1.047791942658441E+000
  2.350000000000000E+002  1.257644746472689E-017  1.048501756309346E+000
  2.400000000000000E+002  1.282446358695779E-017  1.049204899625937E+000
  2.450000000000000E+002  1.306723230924710E-017  1.049901718321339E+000
  2.500000000000000E+002  1.330488697269930E-017  1.050592527626051E+000
  2.550000000000000E+002  1.353755766186379E-017  1.051277615892075E+000
  2.600000000000000E+002  1.376537116269931E-017  1.051957247675618E+000
  2.650000000000000E+002  1.398845094710884E-017  1.052631666386011E+000
  2.700000000000000E+002  1.420691717899687E-017  1.053301096571888E+000
  2.800000000000000E+002  1.462606831588727E-017  1.054640211650989E+000
  2.900000000000000E+002  1.502833883638658E-017  1.055960052123248E+000
  3.000000000000000E+002  1.541457581740596E-017  1.057262096422337E+000
  3.100000000000000E+002  1.578557547830611E-017  1.058547630912930E+000
  3.150000000000000E+002  1.596740718647743E-017  1.059179211181945E+000
  3.200000000000000E+002  1.614566039575834E-017  1.059807359488245E+000
