! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  1.481806011034402E-005  1.113785892094762E+000
  2.000000000000001E-001  7.082493323143489E-005  1.145968495796888E+000
  3.000000000000002E-001  1.656045180695852E-004  1.170033912411870E+000
  4.000000000000003E-001  2.917927577417418E-004  1.190730172001772E+000
  5.000000000000003E-001  4.395403298429879E-004  1.208029203040615E+000
  6.000000000000004E-001  6.029682676905159E-004  1.222944873377751E+000
  7.000000000000005E-001  7.792640990062468E-004  1.236761788303222E+000
  8.000000000000006E-001  9.636206239093135E-004  1.248800941239083E+000
  9.000000000000007E-001  1.154054746781976E-003  1.259433292378990E+000
  1.000000000000001E+000  1.349104844153680E-003  1.268915231654853E+000
  1.100000000000001E+000  1.547665455701705E-003  1.277434941903970E+000
  1.200000000000001E+000  1.748881247167355E-003  1.285136316640773E+000
  1.300000000000001E+000  1.952079462058722E-003  1.292132395921048E+000
  1.400000000000001E+000  2.156730030099207E-003  1.298513130637977E+000
  1.500000000000001E+000  2.362308028363176E-003  1.304264047572187E+000
  1.600000000000001E+000  2.568734384241315E-003  1.309556921084081E+000
  1.700000000000001E+000  2.775830710764871E-003  1.314419617368997E+000
  1.800000000000001E+000  2.983627165713337E-003  1.318869481484912E+000
  1.900000000000001E+000  3.192429656161656E-003  1.322903769378844E+000
  2.000000000000001E+000  3.402925604093703E-003  1.326496064912324E+000
  2.100000000000001E+000  3.616307338322495E-003  1.329593719837263E+000
  2.200000000000002E+000  3.834385774451127E-003  1.332118750288952E+000
  2.300000000000002E+000  4.059644115425964E-003  1.333975514867105E+000
  2.400000000000002E+000  4.295170260371425E-003  1.335067652827912E+000
  2.500000000000002E+000  4.544426634561951E-003  1.335323241451830E+000
  2.600000000000002E+000  4.810869255119565E-003  1.334722087741474E+000
  2.700000000000002E+000  5.097490603664148E-003  1.333315671558486E+000
  2.800000000000002E+000  5.406398738113939E-003  1.331231451099630E+000
  2.900000000000002E+000  5.738537171130740E-003  1.328659065092859E+000
  3.000000000000002E+000  6.093602445483290E-003  1.325823121724660E+000
