! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.858927032163884E-001  4.329410651876703E-001  4.566763811076698E-001  2.556633065167860E-001
  2.000000000000001E-001  5.457760615142384E-001  4.430674353957095E-001  4.541957310938101E-001  2.556658996496425E-001
  3.000000000000002E-001  5.864379879106287E-001  4.558959948252882E-001  4.550301242421729E-001  2.556711700004415E-001
  4.000000000000003E-001  6.172109319071610E-001  4.702490185657164E-001  4.572663482113127E-001  2.556769499409571E-001
  5.000000000000003E-001  6.412445901132813E-001  4.856076417742886E-001  4.602357813419612E-001  2.556828133456313E-001
  6.000000000000004E-001  6.607585453010920E-001  5.016324291855214E-001  4.637805349904693E-001  2.556886076124781E-001
  7.000000000000005E-001  6.773153445366989E-001  5.180352111776725E-001  4.680093253732233E-001  2.556942226411823E-001
  8.000000000000006E-001  6.912803501373918E-001  5.347749130118500E-001  4.726975082231855E-001  2.556996580092851E-001
  9.000000000000007E-001  7.032501292265567E-001  5.517639635174288E-001  4.778911550729212E-001  2.557048875830446E-001
  1.000000000000001E+000  7.136346571408293E-001  5.689397378660817E-001  4.836250536799016E-001  2.557098913543109E-001
  1.100000000000001E+000  7.227284740008596E-001  5.862554386358544E-001  4.899279572951000E-001  2.557146533140091E-001
  1.200000000000001E+000  7.307507303011672E-001  6.036742544648860E-001  4.968228454760269E-001  2.557191599981493E-001
  1.300000000000001E+000  7.378692196422737E-001  6.211657159663012E-001  5.043256805195899E-001  2.557233997633291E-001
  1.400000000000001E+000  7.442155472698121E-001  6.387033505692662E-001  5.124439106757742E-001  2.557273624147240E-001
  1.500000000000001E+000  7.498721766571598E-001  6.562722945273367E-001  5.208793712060346E-001  2.557310875983155E-001
  1.600000000000001E+000  7.549622362556483E-001  6.738426374371673E-001  5.299750253418885E-001  2.557345159875975E-001
  1.700000000000001E+000  7.595513295147316E-001  6.913944432585998E-001  5.396777859814584E-001  2.557376436532099E-001
  1.800000000000001E+000  7.636966292012771E-001  7.089076461354883E-001  5.499493563727166E-001  2.557404648929181E-001
  1.900000000000001E+000  7.674470282446183E-001  7.263628607034225E-001  5.607445549006262E-001  2.557429751511535E-001
  2.000000000000001E+000  7.708447722837878E-001  7.437415131527451E-001  5.720114704203393E-001  2.557451711463841E-001
  2.100000000000001E+000  7.739267046259917E-001  7.610259627524922E-001  5.836923023698527E-001  2.557470510357540E-001
  2.200000000000002E+000  7.767252306293310E-001  7.781995730884006E-001  5.957246208853406E-001  2.557486145991625E-001
  2.300000000000002E+000  7.792690727473099E-001  7.952467142482300E-001  6.080428302787557E-001  2.557498634228803E-001
  2.400000000000002E+000  7.815838636934892E-001  8.121527089316771E-001  6.205796694499891E-001  2.557508010620966E-001
  2.500000000000002E+000  7.836926106008145E-001  8.289037614206133E-001  6.332676327478370E-001  2.557514331639724E-001
  2.600000000000002E+000  7.856160553910226E-001  8.454869151886927E-001  6.460402443030633E-001  2.557517675371642E-001
  2.700000000000002E+000  7.873729532108227E-001  8.618900696675258E-001  6.588331634867286E-001  2.557518141592433E-001
  2.800000000000002E+000  7.889802890283405E-001  8.781020590113177E-001  6.715851314363476E-001  2.557515851190305E-001
  2.900000000000002E+000  7.904534503370975E-001  8.941127708458279E-001  6.842387818472522E-001  2.557510944958084E-001
  3.000000000000002E+000  7.918063706619644E-001  9.099132714328168E-001  6.967413317428311E-001  2.557503581811864E-001
  3.100000000000002E+000  7.930516545736896E-001  9.254959063265901E-001  7.090451454408679E-001  2.557493936520456E-001
  3.200000000000002E+000  7.942006910285255E-001  9.408543565421649E-001  7.211081395805337E-001  2.557482197046677E-001
  3.300000000000002E+000  7.952637587381849E-001  9.559836426475166E-001  7.328939831364001E-001  2.557468561611700E-001
  3.400000000000002E+000  7.962480042228144E-001  9.708705373695392E-001  7.444549528563000E-001  2.557453007067303E-001
  3.500000000000002E+000  7.971641783368069E-001  9.855209109114076E-001  7.556646918717086E-001  2.557436016242458E-001
  3.600000000000001E+000  7.980198329917318E-001  9.999335920951392E-001  7.665058042105306E-001  2.557417797680564E-001
  3.700000000000001E+000  7.988217507842268E-001  1.014108379476005E+000  7.769645791007479E-001  2.557398556952576E-001
  3.800000000000001E+000  7.995760259324777E-001  1.028045852090592E+000  7.870304024223651E-001  2.557378494431796E-001
  3.900000000000000E+000  8.002881365500123E-001  1.041747259595391E+000  7.966953111643447E-001  2.557357803010032E-001
  4.000000000000000E+000  8.009630085856718E-001  1.055214432033721E+000  8.059537169046114E-001  2.557336666104779E-001
  4.100000000000000E+000  8.016050719252710E-001  1.068449709016855E+000  8.148022841243231E-001  2.557315255971585E-001
  4.199999999999999E+000  8.022183093176566E-001  1.081455884999012E+000  8.232399198097087E-001  2.557293732328127E-001
  4.299999999999999E+000  8.028062989208726E-001  1.094236165746432E+000  8.312678179026772E-001  2.557272241292229E-001
  4.399999999999999E+000  8.033722513395452E-001  1.106794130944821E+000  8.388895044859960E-001  2.557250914632075E-001
  4.499999999999998E+000  8.039190420355293E-001  1.119133698741168E+000  8.461108421635015E-001  2.557229869322393E-001
  4.599999999999998E+000  8.044492399471417E-001  1.131259089370947E+000  8.529399690766214E-001  2.557209207394668E-001
  4.699999999999998E+000  8.049673152528312E-001  1.143158158357630E+000  8.593819496389707E-001  2.557189116805759E-001
  4.799999999999997E+000  8.054732645103988E-001  1.154852807208036E+000  8.654535906542702E-001  2.557169570398040E-001
  4.899999999999997E+000  8.059688450346200E-001  1.166347931019064E+000  8.711695885822285E-001  2.557150624589454E-001
  4.999999999999996E+000  8.064555998515195E-001  1.177648583963342E+000  8.765458839303748E-001  2.557132322220937E-001
  5.099999999999996E+000  8.069348766390159E-001  1.188759895752602E+000  8.815993384405908E-001  2.557114694593663E-001
  5.199999999999996E+000  8.074078455216850E-001  1.199687030881140E+000  8.863474249384486E-001  2.557097762503958E-001
  5.299999999999995E+000  8.078755158372498E-001  1.210435151163193E+000  8.908079394934830E-001  2.557081537323836E-001
  5.399999999999995E+000  8.083387519451847E-001  1.221009382163720E+000  8.949987425208669E-001  2.557066022103938E-001
  5.499999999999995E+000  8.087982881148337E-001  1.231414783843866E+000  8.989375326441186E-001  2.557051212671744E-001
  5.599999999999994E+000  8.092547425088835E-001  1.241656325516705E+000  9.026416548052429E-001  2.557037098701495E-001
  5.699999999999994E+000  8.097086302654870E-001  1.251738865038683E+000  9.061279423169395E-001  2.557023664736339E-001
  5.799999999999994E+000  8.101603756767516E-001  1.261667132038596E+000  9.094125912671515E-001  2.557010891147626E-001
  5.899999999999993E+000  8.106103234610998E-001  1.271445714901299E+000  9.125110648339656E-001  2.556998755020176E-001
  5.999999999999993E+000  8.110587491306138E-001  1.281079051170390E+000  9.154380245622964E-001  2.556987230956224E-001
  6.099999999999993E+000  8.115058684607693E-001  1.290571421006049E+000  9.182072854109367E-001  2.556976291794054E-001
