! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  5.446736798398080E-006  6.863279947602913E-004  1.771902108710748E-005  4.649297713209886E-002  3.314703363828468E-004  2.668979803650678E-011
  2.000000000000001E-001  4.711503004118152E-006  1.371456591685595E-003  1.296617118655322E-005  8.642090970838594E-002  5.568053846013817E-004  5.098417120468320E-011
  3.000000000000002E-001  4.210141111346550E-006  2.055995330374021E-003  1.025900773141686E-005  1.233691481302674E-001  7.482873735595566E-004  7.380701810873924E-011
  4.000000000000003E-001  3.814841275427892E-006  2.740097072972032E-003  8.507619539738744E-006  1.579345831193901E-001  9.275774128528102E-004  9.520770330802788E-011
  5.000000000000003E-001  3.488168062946466E-006  3.423888959114856E-003  7.284802535907033E-006  1.905853707362386E-001  1.104387590071671E-003  1.153661007271582E-010
  6.000000000000004E-001  3.211624095504364E-006  4.107440067797016E-003  6.383265725024695E-006  2.215076198750471E-001  1.283242983394328E-003  1.343256175498015E-010
  7.000000000000005E-001  2.973284306013295E-006  4.790774563648974E-003  5.689162687463858E-006  2.505960474691370E-001  1.468146115183915E-003  1.519634236751090E-010
  8.000000000000006E-001  2.765881552619375E-006  5.473959922769877E-003  5.139732045954476E-006  2.781705665970662E-001  1.660368399314548E-003  1.684681698443737E-010
  9.000000000000007E-001  2.583620469812695E-006  6.157023375134363E-003  4.693818542171509E-006  3.042739665104632E-001  1.861314288032322E-003  1.838399610007633E-010
  1.000000000000001E+000  2.422107644256221E-006  6.839986000026779E-003  4.324424061004402E-006  3.289321245132097E-001  2.072117672003945E-003  1.980838252672532E-010
  1.100000000000001E+000  2.277943511902969E-006  7.522864361475508E-003  4.013178512381004E-006  3.521583215190849E-001  2.293650672991391E-003  2.112110541057995E-010
  1.200000000000001E+000  2.148454133321942E-006  8.205671652326912E-003  3.747163471931711E-006  3.739563775319597E-001  2.526530067252356E-003  2.232402718995832E-010
  1.300000000000001E+000  2.031507502026963E-006  8.888418509674909E-003  3.517039973063623E-006  3.943231365479544E-001  2.771123498779873E-003  2.341976970598469E-010
  1.400000000000001E+000  1.925383236870876E-006  9.571113606058489E-003  3.315896111243125E-006  4.132505818888588E-001  3.027559569188410E-003  2.441163517764456E-010
  1.500000000000001E+000  1.828901732033743E-006  1.025377094614275E-002  3.139088758540589E-006  4.309573484735706E-001  3.293773169608691E-003  2.531895312115660E-010
  1.600000000000001E+000  1.740621708899591E-006  1.093638840221909E-002  2.981858560628263E-006  4.471846073505196E-001  3.571527157488803E-003  2.612794261166713E-010
  1.700000000000001E+000  1.659598004361171E-006  1.161897150363808E-002  2.841131480323918E-006  4.619350115385475E-001  3.860336863397964E-003  2.684399792453492E-010
  1.800000000000001E+000  1.585024625447411E-006  1.230152453420430E-002  2.714442362315981E-006  4.751980866138348E-001  4.159672278212984E-003  2.747123463546367E-010
  1.900000000000001E+000  1.516217895452557E-006  1.298405113159139E-002  2.599810907568746E-006  4.869662479415078E-001  4.468888185820976E-003  2.801333351405953E-010
  2.000000000000001E+000  1.452592251557797E-006  1.366655440341905E-002  2.495628250005106E-006  4.972361325598295E-001  4.787266639122227E-003  2.847347716127377E-010
