! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  1.472337060932731E-005  1.112790992514572E+000
  2.000000000000001E-001  7.206510889670454E-005  1.145612155031046E+000
  3.000000000000002E-001  1.706582044444570E-004  1.170346203542037E+000
  4.000000000000003E-001  3.028408119807707E-004  1.191854742646075E+000
  5.000000000000003E-001  4.577495172195311E-004  1.209922599275825E+000
  6.000000000000004E-001  6.288731176075303E-004  1.225546181650853E+000
  7.000000000000005E-001  8.129891504210726E-004  1.240035440425208E+000
  8.000000000000006E-001  1.005055274061436E-003  1.252653915294069E+000
  9.000000000000007E-001  1.203000780090691E-003  1.263785959359894E+000
  1.000000000000001E+000  1.405329821314537E-003  1.273699455659036E+000
  1.100000000000001E+000  1.610932764426697E-003  1.282592568916485E+000
  1.200000000000001E+000  1.818967017189023E-003  1.290617763451879E+000
  1.300000000000001E+000  2.028782988099188E-003  1.297895225453413E+000
  1.400000000000001E+000  2.239808616013126E-003  1.304467974738734E+000
  1.500000000000001E+000  2.451756314141819E-003  1.310441478602876E+000
  1.600000000000001E+000  2.664456061572051E-003  1.315920454856874E+000
  1.700000000000001E+000  2.877822636291090E-003  1.320938211798591E+000
  1.800000000000001E+000  3.092010094973128E-003  1.325508122797128E+000
  1.900000000000001E+000  3.307507943541545E-003  1.329619867620381E+000
  2.000000000000001E+000  3.525264832593439E-003  1.333235796362804E+000
  2.100000000000001E+000                     NaN  0.000000000000000E+000
  2.200000000000001E+000                     NaN  0.000000000000000E+000
  2.300000000000001E+000                     NaN  0.000000000000000E+000
  2.400000000000001E+000                     NaN  0.000000000000000E+000
  2.600000000000001E+000                     NaN  0.000000000000000E+000
  2.800000000000002E+000                     NaN  0.000000000000000E+000
  3.000000000000002E+000                     NaN  0.000000000000000E+000
  3.500000000000002E+000                     NaN  0.000000000000000E+000
  4.000000000000002E+000                     NaN  0.000000000000000E+000
  5.000000000000002E+000                     NaN  0.000000000000000E+000
  6.000000000000002E+000                     NaN  0.000000000000000E+000
  8.000000000000002E+000  1.371669511892594E-318  0.000000000000000E+000
  8.100000000000003E+000  1.474311681209902E-005  1.112860809898453E+000
  8.200000000000005E+000  7.240345974161585E-005  1.146075748005447E+000
  8.300000000000006E+000  1.717273892006633E-004  1.171308270521455E+000
  8.400000000000004E+000  3.038729704223957E-004  1.192637508645702E+000
  8.500000000000002E+000  4.586771021856350E-004  1.210583367546392E+000
  8.600000000000000E+000  6.296766530911343E-004  1.226114521800636E+000
  8.700000000000001E+000  8.136742542747096E-004  1.240526153618396E+000
  8.800000000000002E+000  1.005635120262685E-003  1.253083575505414E+000
  8.900000000000004E+000  1.203489742540465E-003  1.264166265946803E+000
  9.000000000000005E+000  1.405741402772351E-003  1.274039123655095E+000
  9.100000000000007E+000  1.611278858059467E-003  1.282898313513267E+000
  9.200000000000008E+000  1.819257768844256E-003  1.290894878826812E+000
  9.300000000000010E+000  2.029026909127644E-003  1.298147955797058E+000
  9.400000000000011E+000  2.240086968216152E-003  1.304752264237024E+000
  9.500000000000012E+000  2.452077519720114E-003  1.310781866024249E+000
  9.600000000000012E+000  2.664741072514089E-003  1.316260523063729E+000
  9.700000000000010E+000  2.878054988397938E-003  1.321246652846046E+000
  9.800000000000008E+000  3.092229554707269E-003  1.325785973054117E+000
  9.900000000000006E+000  3.307759885085320E-003  1.329867603421083E+000
  1.000000000000000E+001  3.525598508393995E-003  1.333453653242390E+000
  1.010000000000000E+001  3.747286328928524E-003  1.336477810438699E+000
  1.020000000000000E+001  3.975053375789761E-003  1.338849113798603E+000
  1.030000000000000E+001  4.211827212704939E-003  1.340464450811651E+000
  1.040000000000000E+001  4.461085680024028E-003  1.341231269544099E+000
  1.049999999999999E+001  4.726528979133303E-003  1.341097042391670E+000
  1.059999999999999E+001  5.011615255023381E-003  1.340076578874234E+000
  1.069999999999999E+001  5.319067766333872E-003  1.338266420539732E+000
  1.079999999999999E+001  5.650482728882518E-003  1.335839583578847E+000
  1.089999999999998E+001  6.006133597347803E-003  1.333021931652405E+000
  1.099999999999998E+001  6.385000393388940E-003  1.330058578154004E+000
  1.109999999999998E+001  6.784986241929142E-003  1.327181032073688E+000
  1.119999999999998E+001  7.203243629601296E-003  1.324583105220920E+000
  1.129999999999998E+001  7.638171140156453E-003  1.322459382836590E+000
  1.139999999999998E+001  8.083899856908350E-003  1.320883836336861E+000
  1.149999999999998E+001  8.537404367116261E-003  1.319886270092298E+000
  1.159999999999998E+001  8.995998322985317E-003  1.319462215676511E+000
  1.169999999999999E+001  9.457384657681986E-003  1.319582802956136E+000
  1.179999999999999E+001  9.919661443978416E-003  1.320203208674687E+000
  1.189999999999999E+001  1.038129920968973E-002  1.321269383001657E+000
  1.199999999999999E+001  1.084110248559469E-002  1.322723137385055E+000
  1.209999999999999E+001  1.129816481444124E-002  1.324505833038339E+000
  1.219999999999999E+001  1.175182324749057E-002  1.326560940539454E+000
  1.229999999999999E+001  1.220161584404749E-002  1.328835717383819E+000
  1.240000000000000E+001  1.264724390897856E-002  1.331282210602085E+000
  1.250000000000000E+001  1.308853954607499E-002  1.333857752742318E+000
  1.260000000000000E+001  1.352438460832768E-002  1.336583922530557E+000
  1.270000000000000E+001  1.395592450239659E-002  1.339357719546715E+000
  1.280000000000000E+001  1.438326092171645E-002  1.342153810758490E+000
  1.290000000000000E+001  1.480653495762496E-002  1.344951345478210E+000
  1.299999999999999E+001  1.522591709958209E-002  1.347733407754655E+000
  1.309999999999999E+001  1.564159912448653E-002  1.350486485923516E+000
  1.319999999999999E+001  1.605378752321038E-002  1.353199976403156E+000
  1.329999999999999E+001  1.646269817629347E-002  1.355865731507979E+000
  1.339999999999999E+001  1.686855204591595E-002  1.358477655728022E+000
  1.349999999999999E+001  1.727157169755008E-002  1.361031351204959E+000
  1.359999999999999E+001  1.767197850253847E-002  1.363523810670017E+000
  1.369999999999999E+001  1.806999040310641E-002  1.365953154593679E+000
  1.379999999999999E+001  1.846582014505388E-002  1.368318408474835E+000
  1.389999999999999E+001  1.885967390171924E-002  1.370619315862531E+000
  1.399999999999999E+001  1.925175022685625E-002  1.372856182696192E+000
  1.409999999999999E+001  1.964223928479510E-002  1.375029748749972E+000
  1.419999999999999E+001  2.003132231449185E-002  1.377141082286751E+000
  1.429999999999999E+001  2.041917129047081E-002  1.379191494406511E+000
  1.439999999999999E+001  2.080594874874083E-002  1.381182469971846E+000
  1.459999999999999E+001  2.157652992184865E-002  1.385005656256276E+000
  1.479999999999999E+001  2.234508621420977E-002  1.388607615058768E+000
  1.499999999999999E+001  2.311245571548547E-002  1.392002796305767E+000
  1.519999999999999E+001  2.387937040366001E-002  1.395205220712848E+000
  1.539999999999999E+001  2.464646301899414E-002  1.398228225936138E+000
  1.559999999999999E+001  2.541427521912545E-002  1.401084345856232E+000
  1.579999999999998E+001  2.618326630828284E-002  1.403785272764640E+000
  1.599999999999998E+001  2.695382202202339E-002  1.406341868601702E+000
  1.619999999999999E+001  2.772626300971089E-002  1.408764203031057E+000
