! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000001E-001  4.847143155811922E-004  8.836127812447500E-004  6.634363651625412E-004  3.593870166441925E-002  3.952652777187522E-004  2.015980883345258E-011
  2.000000000000001E-001  3.603306998839859E-004  1.634455028674372E-003  5.370083015783258E-004  5.621137786206164E-002  7.195526596154069E-004  3.210701734434485E-011
  3.000000000000002E-001  2.977016776684686E-004  2.315593196389668E-003  4.370832674966014E-004  7.175657429273262E-002  1.015838924937926E-003  4.143595958466498E-011
  4.000000000000003E-001  2.592124851222759E-004  2.949099903282752E-003  3.629403679837526E-004  8.460039402964982E-002  1.296967704268178E-003  4.920861582085320E-011
  5.000000000000003E-001  2.327534315807794E-004  3.544507754082862E-003  3.084065295138760E-004  9.566438245312557E-002  1.569690246555107E-003  5.592269632240144E-011
  6.000000000000004E-001  2.134306709120559E-004  4.105239957888297E-003  2.697200607782030E-004  1.053306916285127E-001  1.837012936784849E-003  6.178597369890753E-011
  7.000000000000005E-001  1.987919226412679E-004  4.633457616413062E-003  2.426866001970958E-004  1.138032723510139E-001  2.100283015969394E-003  6.691453155099466E-011
  8.000000000000006E-001  1.875875023077615E-004  5.126865045005251E-003  2.237698885835660E-004  1.210752750856690E-001  2.359569318517652E-003  7.130406706873102E-011
  9.000000000000007E-001  1.786802101744684E-004  5.592113032335333E-003  2.094351698142053E-004  1.274217829268217E-001  2.615804501408318E-003  7.512655419099150E-011
  1.000000000000001E+000  1.714919984314562E-004  6.031083907553319E-003  1.982353440290735E-004  1.329320213181527E-001  2.869269987305451E-003  7.843901715917376E-011
  1.100000000000001E+000  1.656129327111077E-004  6.445740615950878E-003  1.892309092782325E-004  1.376885956793529E-001  3.120176806928963E-003  8.129463299452736E-011
  1.200000000000001E+000  1.607484294240050E-004  6.838090687447326E-003  1.818239699667993E-004  1.417686091951147E-001  3.368679308711508E-003  8.374302954177718E-011
  1.300000000000001E+000  1.566820175761177E-004  7.210138397898822E-003  1.756207148022854E-004  1.452438169233210E-001  3.614883014169822E-003  8.583009414477992E-011
  1.400000000000001E+000  1.532514400166228E-004  7.563838210036768E-003  1.703491813784611E-004  1.481806749328608E-001  3.858853980139047E-003  8.759790336000031E-011
  1.500000000000001E+000  1.503329138615857E-004  7.901056073514788E-003  1.658134487603659E-004  1.506404104849043E-001  4.100628633983796E-003  8.908477266690140E-011
  1.600000000000001E+000  1.478305246202810E-004  8.223541131584447E-003  1.618677344271087E-004  1.526791230990820E-001  4.340222621310251E-003  9.032538042381643E-011
  1.700000000000001E+000  1.456689257085352E-004  8.532907884723375E-003  1.584009217695646E-004  1.543479210658665E-001  4.577638071041998E-003  9.135093679729050E-011
  1.800000000000001E+000  1.437882123777293E-004  8.830627487160058E-003  1.553267457246562E-004  1.556930979447714E-001  4.812869260643921E-003  9.218938179581146E-011
  1.900000000000001E+000  1.421402562396433E-004  9.118026285435390E-003  1.525772516710082E-004  1.567563487808649E-001  5.045906887902444E-003  9.286560222967519E-011
  2.000000000000001E+000  1.407154091553912E-004  9.394387649503242E-003  1.501337539499696E-004  1.575275417231141E-001  5.276168227813075E-003  9.337493073824763E-011
  2.100000000000001E+000  1.394426385246994E-004  9.663089903404068E-003  1.479033564421684E-004  1.581021137876824E-001  5.504201858125647E-003  9.377210716031472E-011
  2.200000000000002E+000  1.382983537279154E-004  9.924976358330758E-003  1.458561778818950E-004  1.585065358470073E-001  5.730008931424791E-003  9.407236075010404E-011
  2.300000000000002E+000  1.372627491240661E-004  1.018079063526638E-002  1.439658431267910E-004  1.587642792084309E-001  5.953594965837430E-003  9.428910240331143E-011
  2.400000000000002E+000  1.363192662034452E-004  1.043118633746223E-002  1.422102245536265E-004  1.588960723580472E-001  6.174970138040411E-003  9.443411073384529E-011
  2.500000000000002E+000  1.354540241718401E-004  1.067673640442307E-002  1.405708683485607E-004  1.589201445525536E-001  6.394149198591223E-003  9.451769138916375E-011
  2.600000000000002E+000  1.346553592527177E-004  1.091794197300112E-002  1.390323554897096E-004  1.588524614391678E-001  6.611151253753754E-003  9.454882729760062E-011
  2.700000000000002E+000  1.339134526620869E-004  1.115524063008387E-002  1.375817606980696E-004  1.587069508504815E-001  6.825999472497330E-003  9.453532020898419E-011
  2.800000000000002E+000  1.332200277441731E-004  1.138901399342496E-002  1.362082133047280E-004  1.584957165632225E-001  7.038720743351922E-003  9.448392270632436E-011
  2.900000000000002E+000  1.325681013573854E-004  1.161959459756896E-002  1.349025419920729E-004  1.582292383974734E-001  7.249345298422022E-003  9.440046011021322E-011
  3.000000000000002E+000  1.319517782622742E-004  1.184727209102669E-002  1.336569860380310E-004  1.579165576717187E-001  7.457906319040348E-003  9.428994205441613E-011
  3.100000000000002E+000  1.313660799748673E-004  1.207229877076489E-002  1.324649592559114E-004  1.575654475703390E-001  7.664439535358922E-003  9.415666380646340E-011
  3.200000000000002E+000  1.308068015427957E-004  1.229489449275607E-002  1.313208559891553E-004  1.571825684106586E-001  7.868982830065889E-003  9.400429762710983E-011
