! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.329830841317505E-001  4.448854097373678E-001  4.620715014489140E-001  2.556650115488470E-001
  2.000000000000000E-001  4.537172421592481E-001  4.445322768462718E-001  4.606455635249375E-001  2.556633163070841E-001
  3.000000000000000E-001  4.673823196775287E-001  4.441016501551423E-001  4.612232568339857E-001  2.556641159327023E-001
  4.000000000000001E-001  4.775363271379360E-001  4.436780745241428E-001  4.626268543028096E-001  2.556653951621806E-001
  5.000000000000001E-001  4.859106625936725E-001  4.432570536601536E-001  4.645978266397528E-001  2.556667385090001E-001
  6.000000000000002E-001  4.928635181747853E-001  4.428543654910309E-001  4.668034972686860E-001  2.556680537446560E-001
  7.000000000000003E-001  4.988452011593252E-001  4.424665116545327E-001  4.691817015975830E-001  2.556692921844270E-001
  8.000000000000004E-001  5.041272628838784E-001  4.420897577968950E-001  4.716848994326982E-001  2.556704325748924E-001
  9.000000000000005E-001  5.088855189201835E-001  4.417213782142125E-001  4.742759795644992E-001  2.556714665736639E-001
  1.000000000000000E+000  5.132390677462377E-001  4.413592857937126E-001  4.769251639316270E-001  2.556723926883310E-001
  1.100000000000001E+000  5.172710865807978E-001  4.410018495648176E-001  4.796080440385863E-001  2.556732133987228E-001
  1.200000000000001E+000  5.210410175595006E-001  4.406477954841407E-001  4.823043581674642E-001  2.556739335904749E-001
  1.300000000000001E+000  5.245922137897044E-001  4.402961461585537E-001  4.849972084229954E-001  2.556745595980004E-001
  1.400000000000001E+000  5.279569543154358E-001  4.399461785466610E-001  4.876725306299134E-001  2.556750985685204E-001
  1.500000000000001E+000  5.311598157381205E-001  4.395973895527773E-001  4.903187081395175E-001  2.556755580180685E-001
  1.600000000000001E+000  5.342199639653786E-001  4.392494649917426E-001  4.929262679816508E-001  2.556759455155624E-001
  1.700000000000001E+000  5.371527165620261E-001  4.389022502676332E-001  4.954876253896340E-001  2.556762684591239E-001
  1.800000000000001E+000  5.399706076046920E-001  4.385557224819862E-001  4.979968584677292E-001  2.556765339217261E-001
  1.900000000000001E+000  5.426841136931864E-001  4.382099642375924E-001  5.004495036077105E-001  2.556767485498223E-001
  2.000000000000001E+000  5.453202512563693E-001  4.378635521123588E-001  5.028738241516102E-001  2.556769096703884E-001
  2.100000000000001E+000  5.478661864727147E-001  4.375188995005611E-001  5.052267342610214E-001  2.556770343979194E-001
  2.200000000000002E+000  5.503290146739799E-001  4.371761743379568E-001  5.075096673884989E-001  2.556771273347930E-001
  2.300000000000002E+000  5.527149652550990E-001  4.368355661795192E-001  5.097241854850912E-001  2.556771926372780E-001
  2.400000000000002E+000  5.550295371923969E-001  4.364972886162046E-001  5.118720112364424E-001  2.556772340336718E-001
  2.500000000000002E+000  5.572776076983318E-001  4.361615663073595E-001  5.139550295897701E-001  2.556772548464609E-001
  2.600000000000002E+000  5.594635204956864E-001  4.358286247761726E-001  5.159752712746167E-001  2.556772580188875E-001
  2.700000000000002E+000  5.615911585822785E-001  4.354986825714379E-001  5.179348866720422E-001  2.556772461440159E-001
  2.800000000000002E+000  5.636640050503361E-001  4.351719454326360E-001  5.198361154840602E-001  2.556772214948566E-001
  2.900000000000002E+000  5.656851945381783E-001  4.348486021418900E-001  5.216812556991463E-001  2.556771860544750E-001
  3.000000000000002E+000  5.676575571787580E-001  4.345288217826834E-001  5.234726340233704E-001  2.556771415453074E-001
  3.100000000000002E+000  5.695836564085356E-001  4.342127521558940E-001  5.252125790453931E-001  2.556770894571396E-001
  3.200000000000002E+000  5.714658216541186E-001  4.339005191312398E-001  5.269033977928660E-001  2.556770310733899E-001
