! time                    int_diameter            frank_diameter          perfect_diameter        vac_diameter            faulted_diameter        void_diameter           
  4.200000000000001E+001  1.770015462226126E-001  6.889953461170044E-001  4.435257535157687E-001  1.406900485738481E-001  6.960432413680390E-001  2.556650319806100E-001
  4.400000000000001E+001  1.769643802568615E-001  6.913560819984257E-001  4.441999930043914E-001  1.406900502392397E-001  6.988587021339044E-001  2.556648922154293E-001
  4.600000000000001E+001  1.769299560363224E-001  6.935725020455605E-001  4.448842637887146E-001  1.406900543723840E-001  7.015384820547738E-001  2.556647717431320E-001
  4.800000000000001E+001  1.768980270102531E-001  6.956581107925768E-001  4.455763795851774E-001  1.406900607687662E-001  7.040951107344040E-001  2.556646689920826E-001
  5.000000000000001E+001  1.768683725842885E-001  6.976247470957652E-001  4.462744909978252E-001  1.406900692444704E-001  7.065395392824899E-001  2.556645825506238E-001
  5.200000000000001E+001  1.768407951269249E-001  6.994828366527900E-001  4.469770291583783E-001  1.406900796336160E-001  7.088813934274383E-001  2.556645111469114E-001
  5.400000000000001E+001  1.768151172736708E-001  7.012415999796360E-001  4.476826596656448E-001  1.406900917861892E-001  7.111291760619352E-001  2.556644536318663E-001
  5.600000000000001E+001  1.767911795608878E-001  7.029092243726752E-001  4.483902448639835E-001  1.406901055661933E-001  7.132904318291865E-001  2.556644089646561E-001
  5.800000000000001E+001  1.767688383602734E-001  7.044930068645777E-001  4.490988128403906E-001  1.406901208500593E-001  7.153718823954356E-001  2.556643762002542E-001
  6.000000000000001E+001  1.767479640771051E-001  7.059994737485654E-001  4.498075318409061E-001  1.406901375252731E-001  7.173795386527292E-001  2.556643544787119E-001
  6.200000000000001E+001  1.767284395771773E-001  7.074344810747488E-001  4.505156890708589E-001  1.406901554891840E-001  7.193187945119063E-001  2.556643430158708E-001
  6.400000000000000E+001  1.767101588112661E-001  7.088032996030638E-001  4.512226730542673E-001  1.406901746479663E-001  7.211945058414958E-001  2.556643410952803E-001
  6.600000000000000E+001  1.766930256100886E-001  7.101106869829295E-001  4.519279588944582E-001  1.406901949157099E-001  7.230110573103196E-001  2.556643480611398E-001
  6.800000000000000E+001  1.766769526265355E-001  7.113609493746477E-001  4.526310959094754E-001  1.406902162136223E-001  7.247724193003873E-001  2.556643633121117E-001
  7.000000000000000E+001  1.766618604053071E-001  7.125579942945773E-001  4.533316972195417E-001  1.406902384693249E-001  7.264821966105424E-001  2.556643862958794E-001
  7.500000000000000E+001  1.766281720817191E-001  7.153490277464876E-001  4.550684975949583E-001  1.406902976353085E-001  7.305865790582412E-001  2.556644737858157E-001
  8.000000000000000E+001  1.765990631664433E-001  7.178752287050214E-001  4.567830855018754E-001  1.406903615054573E-001  7.344226224475398E-001  2.556645995388737E-001
  8.500000000000000E+001  1.765738709109091E-001  7.201748590514461E-001  4.584730461126293E-001  1.406904293076899E-001  7.380290420001557E-001  2.556647578684570E-001
  9.000000000000000E+001  1.765519806351009E-001  7.222792057507667E-001  4.601367335183252E-001  1.406905004271943E-001  7.414366310828305E-001  2.556649440887708E-001
  9.500000000000000E+001  1.765328872770136E-001  7.242140184660842E-001  4.617731338504046E-001  1.406905743526782E-001  7.446704005251602E-001  2.556651542926237E-001
  1.000000000000000E+002  1.765161756252618E-001  7.260006647627425E-001  4.633816964526095E-001  1.406906506556274E-001  7.477509722571276E-001  2.556653851980734E-001
  1.050000000000000E+002  1.765015025189462E-001  7.276570210847265E-001  4.649622093136375E-001  1.406907289747942E-001  7.506955482007872E-001  2.556656340311659E-001
  1.100000000000000E+002  1.764885827287252E-001  7.291981582057626E-001  4.665147077724716E-001  1.406908090040483E-001  7.535186174264245E-001  2.556658984341015E-001
  1.150000000000000E+002  1.764771778522451E-001  7.306368722378818E-001  4.680394072842457E-001  1.406908904827363E-001  7.562324876359283E-001  2.556661763924468E-001
  1.200000000000000E+002  1.764670875569316E-001  7.319840996915210E-001  4.695366536216035E-001  1.406909731879631E-001  7.588476927627881E-001  2.556664661769095E-001
  1.250000000000000E+002  1.764581426389228E-001  7.332492448800592E-001  4.710068857874979E-001  1.406910569283626E-001  7.613733104257004E-001  2.556667662963997E-001
  1.300000000000000E+002  1.764501994901741E-001  7.344404404610980E-001  4.724506082624708E-001  1.406911415390376E-001  7.638172123138013E-001  2.556670754599201E-001
  1.350000000000000E+002  1.764431356625200E-001  7.355647564983187E-001  4.738683701576266E-001  1.406912268774208E-001  7.661862638150981E-001  2.556673925454235E-001
