! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.880741849635876E-001  4.318915710589208E-001  4.566016021525959E-001  2.556632624175063E-001
  2.000000000000001E-001  5.497629394349137E-001  4.415032104824873E-001  4.542357995315486E-001  2.556660909665768E-001
  3.000000000000002E-001  5.918386543702794E-001  4.537058032698701E-001  4.552019062328463E-001  2.556714809562124E-001
  4.000000000000003E-001  6.237297705982678E-001  4.674025237658936E-001  4.575899136895635E-001  2.556773360372298E-001
  5.000000000000003E-001  6.486124226769782E-001  4.821024413431533E-001  4.607370244099339E-001  2.556832511884057E-001
  6.000000000000004E-001  6.687773952561578E-001  4.974790170951427E-001  4.644878529416051E-001  2.556890818916191E-001
  7.000000000000005E-001  6.858412040493095E-001  5.132540830523818E-001  4.689665574279790E-001  2.556947207633709E-001
  8.000000000000006E-001  7.001993509003960E-001  5.293865153067704E-001  4.739335348213684E-001  2.557001708529429E-001
  9.000000000000007E-001  7.124770928542188E-001  5.457907060779116E-001  4.794367723509276E-001  2.557054070477441E-001
  1.000000000000001E+000  7.231052275628961E-001  5.624048436337119E-001  4.855113418787078E-001  2.557104099075264E-001
  1.100000000000001E+000  7.323937359520479E-001  5.791822468473101E-001  4.921848337146348E-001  2.557151637592807E-001
  1.200000000000001E+000  7.405734237937120E-001  5.960857472735440E-001  4.994776987375800E-001  2.557196553707276E-001
  1.300000000000001E+000  7.478210161591693E-001  6.130841997165871E-001  5.074020951801114E-001  2.557238732959934E-001
  1.400000000000001E+000  7.542594077777425E-001  6.301556060451021E-001  5.158002451583489E-001  2.557278320333122E-001
  1.500000000000001E+000  7.600130158736722E-001  6.472753854591216E-001  5.247201218984527E-001  2.557315201142856E-001
  1.600000000000001E+000  7.651853672758152E-001  6.644171479682383E-001  5.342830580105731E-001  2.557349080322394E-001
  1.700000000000001E+000  7.698476578756464E-001  6.815592822077362E-001  5.444519517423647E-001  2.557379892667714E-001
  1.800000000000001E+000  7.740599092258894E-001  6.986809830844211E-001  5.551830915360220E-001  2.557407584275402E-001
  1.900000000000001E+000  7.778732955002944E-001  7.157623612784600E-001  5.664258218924352E-001  2.557432113514377E-001
  2.000000000000001E+000  7.813318923692278E-001  7.327845704714930E-001  5.781230989369187E-001  2.557453452525063E-001
  2.100000000000001E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.200000000000001E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.300000000000001E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.400000000000001E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.600000000000001E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.800000000000002E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000002E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.500000000000002E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
