! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000001E-001  5.167830633536587E-006  6.860997855631166E-004  1.718617365590834E-005  3.114944972414616E-002  3.374981659877355E-004  3.116748119240715E-005
  2.000000000000001E-001  3.915213664097445E-006  1.370213864656881E-003  1.231675901541007E-005  5.075785104420369E-002  5.816699579656078E-004  2.061573377330801E-004
  3.000000000000002E-001  3.234773273268639E-006  2.053421586969386E-003  9.518216193014242E-006  6.364112236074448E-002  8.018357371477795E-004  6.272706448512842E-004
  4.000000000000003E-001  2.806196660006362E-006  2.736017781913086E-003  7.691960600205343E-006  7.252473842612507E-002  1.016059558302432E-003  1.374597283364377E-003
  5.000000000000003E-001  2.506051754078087E-006  3.418075169129421E-003  6.414704707072731E-006  7.887918550922296E-002  1.230179639510280E-003  2.482347831364953E-003
  6.000000000000004E-001  2.275802580157827E-006  4.099585666977089E-003  5.482040915429442E-006  8.352927425532164E-002  1.446490192529321E-003  3.937026372686271E-003
  7.000000000000005E-001  2.087206288335674E-006  4.780527094808467E-003  4.780691488152873E-006  8.698898852056271E-002  1.665939519320732E-003  5.686005809759685E-003
  8.000000000000006E-001  1.926769299377029E-006  5.460901843252101E-003  4.241065046231590E-006  8.959610048779269E-002  1.888694896260231E-003  7.663839179951971E-003
  9.000000000000007E-001  1.787566423634087E-006  6.140705418805559E-003  3.816544710844778E-006  9.154544472239395E-002  2.114810482099327E-003  9.817356895508840E-003
  1.000000000000001E+000  1.665611476433784E-006  6.819943720413917E-003  3.476083467004379E-006  9.297643543998299E-002  2.344246591128138E-003  1.209903884155551E-002
  1.100000000000001E+000  1.558228581568841E-006  7.498631604545340E-003  3.198367378712671E-006  9.399396655273071E-002  2.576903156396147E-003  1.446830013026082E-002
  1.200000000000001E+000  1.463367990462658E-006  8.176790621639604E-003  2.968398520977985E-006  9.467988515642654E-002  2.812641086887587E-003  1.689146314749101E-002
  1.300000000000001E+000  1.379330550352719E-006  8.854446724913003E-003  2.775397134548988E-006  9.509948257038357E-002  3.051298497392981E-003  1.934122821950190E-002
  1.400000000000001E+000  1.304658546898675E-006  9.531628291514986E-003  2.611468295302928E-006  9.530542426039096E-002  3.292703283894755E-003  2.179595029476997E-002
  1.500000000000001E+000  1.238149128572102E-006  1.020830401239198E-002  2.470507497897175E-006  9.532388186786374E-002  3.537077148024890E-003  2.423403578325531E-002
  1.600000000000001E+000  1.178676301478977E-006  1.088457183302857E-002  2.348415946023217E-006  9.521488082596771E-002  3.783842224672933E-003  2.664488013000091E-002
  1.700000000000001E+000  1.125273913356989E-006  1.156045840585109E-002  2.241713908534919E-006  9.500265067401306E-002  4.032828439445884E-003  2.902070301279136E-002
  1.800000000000001E+000  1.077122583034523E-006  1.223598916335566E-002  2.147711180396775E-006  9.470753404973108E-002  4.283884890572858E-003  3.135579853725143E-002
  1.900000000000001E+000  1.033527558081135E-006  1.291118807000938E-002  2.064300617837476E-006  9.434636654600850E-002  4.536877157348822E-003  3.364618426116121E-002
  2.000000000000001E+000  9.938993481877797E-007  1.358607751245445E-002  1.989810051824146E-006  9.393296501038995E-002  4.791685265371556E-003  3.588926784935749E-002
  2.100000000000001E+000  9.577371020325251E-007  1.426067828256912E-002  1.922896893544754E-006  9.347861179157474E-002  5.048202007267047E-003  3.808355274306180E-002
  2.200000000000001E+000  9.246144672740218E-007  1.493500961982082E-002  1.862471730155211E-006  9.299249165063475E-002  5.306331485334275E-003  4.022838928355826E-002
  2.300000000000000E+000  8.941676469948694E-007  1.560908928896281E-002  1.807642042608822E-006  9.248206835357289E-002  5.565987817351542E-003  4.232377028083596E-002
  2.400000000000000E+000  8.660853667293071E-007  1.628293367653141E-002  1.757670153913722E-006  9.195340108962380E-002  5.827093978798369E-003  4.437016658639922E-002
  2.500000000000000E+000  8.401004807878657E-007  1.695655789509450E-002  1.711941406850044E-006  9.141140623564092E-002  6.089580767440844E-003  4.636839697306573E-002
  2.599999999999999E+000  8.159829694509107E-007  1.762997588815760E-002  1.669939802452208E-006  9.086007178385222E-002  6.353385880578734E-003  4.831952651810583E-002
  2.699999999999999E+000  7.935341058606080E-007  1.830320053140292E-002  1.631229151405001E-006  9.030263189109368E-002  6.618453096310492E-003  5.022478814596451E-002
  2.799999999999998E+000  7.725816000460742E-007  1.897624372782568E-002  1.595438347684798E-006  8.974170841538641E-002  6.884731550175675E-003  5.208552268204686E-002
  2.899999999999998E+000  7.529755552972858E-007  1.964911649558261E-002  1.562249758316962E-006  8.917942543623350E-002  7.152175098399923E-003  5.390313351761052E-002
  2.999999999999998E+000  7.345850977213401E-007  2.032182904816985E-002  1.531389992476108E-006  8.861750183389226E-002  7.420741759011333E-003  5.567905269399647E-002
  3.099999999999997E+000  7.172955625984169E-007  2.099439086703892E-002  1.502622504377553E-006  8.805732613740354E-002  7.690393222376103E-003  5.741471584007267E-002
  3.199999999999997E+000  7.010061409001725E-007  2.166681076704308E-002  1.475741621833947E-006  8.750001708638820E-002  7.961094423175731E-003  5.911154392671950E-002
  3.299999999999997E+000  6.856279061281985E-007  2.233909695525277E-002  1.450567692234176E-006  8.694647270005702E-002  8.232813166452097E-003  6.077093023864899E-002
  3.399999999999996E+000  6.710821557230223E-007  2.301125708373779E-002  1.426943111059176E-006  8.639741010468081E-002  8.505519801018211E-003  6.239423131630251E-002
  3.499999999999996E+000  6.572990130044688E-007  2.368329829691938E-002  1.404729052450614E-006  8.585339792666379E-002  8.779186934222164E-003  6.398276090114913E-002
  3.599999999999996E+000  6.442162452674967E-007  2.435522727407000E-002  1.383802762059166E-006  8.531488269853894E-002  9.053789182725622E-003  6.553778613872749E-002
  3.699999999999995E+000  6.317782615936393E-007  2.502705026749620E-002  1.364055303124439E-006  8.478221043581612E-002  9.329302954593695E-003  6.706052546651460E-002
  3.799999999999995E+000  6.199352604353456E-007  2.569877313689126E-002  1.345389670113872E-006  8.425564431102117E-002  9.605706258578008E-003  6.855214774791696E-002
  3.899999999999995E+000  6.086425023399742E-007  2.637040138029275E-002  1.327719202165895E-006  8.373537916649704E-002  9.882978537003418E-003  7.001377231749324E-002
  3.999999999999994E+000  5.978596875155505E-007  2.704194016203189E-002  1.310966242415825E-006  8.322155346037188E-002  1.016110051914017E-002  7.144646968254756E-002
  4.099999999999994E+000  5.875504214802772E-007  2.771339433801536E-002  1.295061000034937E-006  8.271425912296031E-002  1.044005409235968E-002  7.285126268776913E-002
  4.199999999999994E+000  5.776817549299586E-007  2.838476847863917E-002  1.279940580224322E-006  8.221354970759316E-002  1.071982218873632E-002  7.422912799681734E-002
  4.299999999999994E+000  5.682408276237630E-007  2.905604852636415E-002  1.265538945430477E-006  8.172083447801039E-002  1.100059070400911E-002  7.557501814977464E-002
  4.399999999999993E+000  5.591806269714729E-007  2.972725797438877E-002  1.251814576385196E-006  8.123452236409831E-002  1.128214252449114E-002  7.689634204619376E-002
  4.499999999999993E+000  5.504768438968139E-007  3.039840061509409E-002  1.238720773249513E-006  8.075463466570544E-002  1.156446290591012E-002  7.819387452708437E-002
  4.599999999999993E+000  5.421072069717885E-007  3.106948001986919E-002  1.226214914939211E-006  8.028116210296850E-002  1.184753784110677E-002  7.946836637204543E-002
  4.699999999999992E+000  5.340512852972655E-007  3.174049955735277E-002  1.214258132263842E-006  7.981407153909709E-002  1.213135399881510E-002  8.072054237927814E-002
  4.799999999999992E+000  5.262903077968782E-007  3.241146240931841E-002  1.202814905462029E-006  7.935331150066034E-002  1.241589866770158E-002  8.195110048801486E-002
  4.899999999999991E+000  5.188070012950312E-007  3.308237158463378E-002  1.191852711920623E-006  7.889881652935765E-002  1.270115970552389E-002  8.316071161280346E-002
  4.999999999999991E+000  5.115854458809574E-007  3.375322993163155E-002  1.181341717165220E-006  7.845051056115279E-002  1.298712549313060E-002  8.435001995355322E-002
  5.099999999999991E+000  5.046109458749021E-007  3.442404014915852E-002  1.171254503132916E-006  7.800830954349453E-002  1.327378489294804E-002  8.551964361543643E-002
  5.199999999999990E+000  4.978699147323308E-007  3.509480479651342E-002  1.161565828641127E-006  7.757212347017346E-002  1.356112721156975E-002  8.667017542326212E-002
  5.299999999999990E+000  4.913497723298247E-007  3.576552630244155E-002  1.152252417726060E-006  7.714185797422488E-002  1.384914216606101E-002  8.780218385069950E-002
  5.399999999999990E+000  4.850388532171218E-007  3.643620697331993E-002  1.143292772164110E-006  7.671741558471602E-002  1.413781985360577E-002  8.891621400980491E-002
  5.499999999999989E+000  4.789263245676849E-007  3.710684900064218E-002  1.134667005028363E-006  7.629869672605284E-002  1.442715072414713E-002  9.001278866380964E-002
  5.599999999999989E+000  4.730021127028978E-007  3.777745446789091E-002  1.126356692586822E-006  7.588560051808292E-002  1.471712555570186E-002  9.109240923830006E-002
  5.699999999999989E+000  4.672568371971329E-007  3.844802535687065E-002  1.118344742232592E-006  7.547802542037001E-002  1.500773543205895E-002  9.215555681437952E-002
  5.799999999999988E+000  4.616817516903444E-007  3.911856355356150E-002  1.110615274460627E-006  7.507586975319799E-002  1.529897172260251E-002  9.320269309326028E-002
  5.899999999999988E+000  4.562686906412998E-007  3.978907085354440E-002  1.103153517180357E-006  7.467903212000644E-002  1.559082606402667E-002  9.423426132579057E-002
  5.999999999999988E+000  4.510100213485383E-007  4.045954896704041E-002  1.095945710886697E-006  7.428741175022592E-002  1.588329034373639E-002  9.525068720321257E-002
  6.099999999999987E+000  4.458986006487030E-007  4.112999952360147E-002  1.088979023410274E-006  7.390090877726184E-002  1.617635668475147E-002  9.625237970736365E-002
  6.199999999999987E+000  4.409277357740834E-007  4.180042407648375E-002  1.082241473136748E-006  7.351942446323587E-002  1.647001743195198E-002  9.723973191983612E-002
  6.299999999999986E+000  4.360911489142413E-007  4.247082410673179E-002  1.075721859729586E-006  7.314286137973047E-002  1.676426513952219E-002  9.821312179048396E-002
  6.399999999999986E+000  4.313829450815510E-007  4.314120102699739E-002  1.069409701514377E-006  7.277112355198240E-002  1.705909255946656E-002  9.917291286624132E-002
  6.499999999999986E+000  4.267975829283675E-007  4.381155618511499E-002  1.063295178788995E-006  7.240411657257981E-002  1.735449263108628E-002  1.001194549815855E-001
  6.599999999999985E+000  4.223298482052922E-007  4.448189086745283E-002  1.057369082415317E-006  7.204174768963111E-002  1.765045847131731E-002  1.010530849122006E-001
  6.699999999999985E+000  4.179748295864006E-007  4.515220630205705E-002  1.051622767127069E-006  7.168392587351444E-002  1.794698336584267E-002  1.019741269935163E-001
  6.799999999999985E+000  4.137278966190755E-007  4.582250366160415E-002  1.046048109056505E-006  7.133056186562822E-002  1.824406076090160E-002  1.028828937058553E-001
  6.899999999999984E+000  4.095846795838493E-007  4.649278406617618E-002  1.040637467041707E-006  7.098156821200613E-002  1.854168425572652E-002  1.037796862279218E-001
  6.999999999999984E+000  4.055410510739420E-007  4.716304858587110E-002  1.035383647327558E-006  7.063685928420763E-002  1.883984759554721E-002  1.046647949603402E-001
  7.099999999999984E+000  4.015931091254606E-007  4.783329824326020E-002  1.030279871318089E-006  7.029635128951876E-002  1.913854466510765E-002  1.055385000209043E-001
  7.199999999999983E+000  3.977371617478789E-007  4.850353401570315E-002  1.025319746076788E-006  6.995996227218933E-002  1.943776948264740E-002  1.064010717131358E-001
  7.299999999999983E+000  3.939697127208186E-007  4.917375683753045E-002  1.020497237305510E-006  6.962761210717321E-002  1.973751619430438E-002  1.072527709696814E-001
  7.399999999999983E+000  3.902874485375698E-007  4.984396760210222E-002  1.015806644562363E-006  6.929922248762065E-002  2.003777906890063E-002  1.080938497720039E-001
  7.499999999999982E+000  3.866872263885048E-007  5.051416716375155E-002  1.011242578505096E-006  6.897471690718822E-002  2.033855249307659E-002  1.089245515477475E-001
  7.599999999999982E+000  3.831660630887520E-007  5.118435633962028E-002  1.006799939969459E-006  6.865402063807671E-002  2.063983096674328E-002  1.097451115470831E-001
  7.699999999999982E+000  3.797211248644134E-007  5.185453591139372E-002  1.002473900712230E-006  6.833706070557469E-002  2.094160909882463E-002  1.105557571992631E-001
  7.799999999999981E+000  3.763497179203878E-007  5.252470662694133E-002  9.982598856664393E-007  6.802376585977311E-002  2.124388160326518E-002  1.113567084505463E-001
  7.899999999999981E+000  3.730492797206383E-007  5.319486920186894E-002  9.941535565720670E-007  6.771406654501995E-002  2.154664329528097E-002  1.121481780845840E-001
  7.999999999999980E+000  3.698173709186610E-007  5.386502432098834E-002  9.901507968594620E-007  6.740789486760067E-002  2.184988908783336E-002  1.129303720262914E-001
  8.099999999999980E+000  3.666516678820424E-007  5.453517263970935E-002  9.862476976750705E-007  6.710518456206081E-002  2.215361398830785E-002  1.137034896301675E-001
  8.199999999999980E+000  3.635499557604785E-007  5.520531478535889E-002  9.824405449500701E-007  6.680587095652435E-002  2.245781309538142E-002  1.144677239539663E-001
  8.299999999999979E+000  3.605101220514946E-007  5.587545135843198E-002  9.787258074222544E-007  6.650989093731073E-002  2.276248159606363E-002  1.152232620185687E-001
  8.399999999999979E+000  3.575301506224704E-007  5.654558293377824E-002  9.751001255302216E-007  6.621718291310724E-002  2.306761476289805E-002  1.159702850548479E-001
  8.499999999999979E+000  3.546081161514651E-007  5.721571006172824E-002  9.715603011066849E-007  6.592768677891496E-002  2.337320795131195E-002  1.167089687382757E-001
  8.599999999999978E+000  3.517421789528292E-007  5.788583326916290E-002  9.681032878046498E-007  6.564134387995287E-002  2.367925659710317E-002  1.174394834119691E-001
  8.699999999999978E+000  3.489305801567145E-007  5.855595306052951E-002  9.647261821964108E-007  6.535809697567567E-002  2.398575621405399E-002  1.181619942988310E-001
  8.799999999999978E+000  3.461716372144028E-007  5.922606991880729E-002  9.614262154908778E-007  6.507789020403627E-002  2.429270239166316E-002  1.188766617034038E-001
  8.899999999999977E+000  3.434637397038976E-007  5.989618430642568E-002  9.582007458197283E-007  6.480066904610167E-002  2.460009079298744E-002  1.195836412040084E-001
  8.999999999999977E+000  3.408053454124941E-007  6.056629666613762E-002  9.550472510473493E-007  6.452638029111282E-002  2.490791715258523E-002  1.202830838357137E-001
  9.099999999999977E+000  3.381949766750901E-007  6.123640742185082E-002  9.519633220635798E-007  6.425497200206327E-002  2.521617727455536E-002  1.209751362646423E-001
  9.199999999999976E+000  3.356312169488443E-007  6.190651697941908E-002  9.489466565218730E-007  6.398639348185667E-002  2.552486703066443E-002  1.216599409540897E-001
  9.299999999999976E+000  3.331127076064586E-007  6.257662572739602E-002  9.459950529887679E-007  6.372059524009235E-002  2.583398235855720E-002  1.223376363229043E-001
  9.399999999999975E+000  3.306381449318696E-007  6.324673403775323E-002  9.431064054735312E-007  6.345752896051715E-002  2.614351926004433E-002  1.230083568965486E-001
  9.499999999999975E+000  3.282062773034938E-007  6.391684226656473E-002  9.402786983094678E-007  6.319714746917304E-002  2.645347379946299E-002  1.236722334512359E-001
  9.599999999999975E+000  3.258159025514146E-007  6.458695075465978E-002  9.375100013608330E-007  6.293940470326309E-002  2.676384210210518E-002  1.243293931515135E-001
  9.699999999999974E+000  3.234658654760176E-007  6.525705982824540E-002  9.347984655314597E-007  6.268425568075077E-002  2.707462035271037E-002  1.249799596816412E-001
  9.799999999999974E+000  3.211550555165979E-007  6.592716979950058E-002  9.321423185531859E-007  6.243165647070321E-002  2.738580479401782E-002  1.256240533710912E-001
  9.899999999999974E+000  3.188824045593945E-007  6.659728096714336E-002  9.295398610339799E-007  6.218156416438323E-002  2.769739172537576E-002  1.262617913144804E-001
