! time                    visible_void_density    visible_void_diameter   
  1.700000000000001E+001  3.613090850281759E-051  1.004020614991104E+000
  1.750000000000001E+001  8.705309537714851E-051  1.004043180753863E+000
  1.800000000000001E+001  2.032231970669635E-050  1.004065668356836E+000
  1.900000000000001E+001  6.918756912984442E-049  1.004387716321021E+000
  2.000000000000001E+001  6.882190297045488E-048  1.004510290438341E+000
  2.100000000000001E+001  4.451589832114866E-047  1.004603295209935E+000
  2.200000000000001E+001  2.224777304236538E-046  1.004683136162583E+000
  2.300000000000001E+001  9.272063513513607E-046  1.004755172602333E+000
  2.400000000000001E+001  3.364071967684373E-045  1.004821909561119E+000
  2.500000000000001E+001  1.092259708034387E-044  1.004884750058372E+000
  2.600000000000001E+001  3.234981422280417E-044  1.004944571296841E+000
  2.700000000000001E+001  8.863420978884214E-044  1.005001963977847E+000
  2.800000000000001E+001  2.270758447725278E-043  1.005057347743233E+000
  2.900000000000001E+001  5.485870928708451E-043  1.005111033020760E+000
  3.000000000000001E+001  1.258288560384484E-042  1.005163256839709E+000
  3.100000000000001E+001  2.755521759470519E-042  1.005214204860004E+000
  3.200000000000001E+001  5.788219877855310E-042  1.005264025588415E+000
  3.300000000000001E+001  1.170903014253389E-041  1.005312839919845E+000
  3.400000000000001E+001  2.288767444111546E-041  1.005360747753645E+000
  3.500000000000001E+001  4.335690286788349E-041  1.005407832710118E+000
  3.600000000000001E+001  7.979927355972981E-041  1.005454165573239E+000
  3.800000000000001E+001  4.314777019175881E-040  1.005699497101435E+000
  4.000000000000001E+001  1.694990074711666E-039  1.005876814793128E+000
  4.200000000000001E+001  5.464179204115873E-039  1.006024170762506E+000
  4.400000000000001E+001  1.530445735355373E-038  1.006154184083470E+000
  4.600000000000001E+001  3.849405033810184E-038  1.006272648419050E+000
  4.800000000000001E+001  8.883543568971253E-038  1.006382740810117E+000
  5.000000000000001E+001  1.909574697338600E-037  1.006486410353697E+000
  5.200000000000001E+001  3.866069662546502E-037  1.006584948902285E+000
  5.400000000000001E+001  7.434994965025798E-037  1.006679262401561E+000
  5.600000000000001E+001  1.367358652576241E-036  1.006770014083362E+000
  5.800000000000001E+001  2.417817453745136E-036  1.006857706206108E+000
