! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  7.845742504312415E-005
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  7.845742504312415E-005
  1.000000000000000E-001  1.991055110057121E-006  6.738571866352212E-004  1.910136805696566E-006  4.210504671868141E-002  4.247167474393362E-004  7.845744820548387E-005
  2.000000000000001E-001  1.603593116558876E-006  1.313841967861729E-003  1.559933881428805E-006  6.864189291767384E-002  8.158580277146697E-004  7.845746334221373E-005
  3.000000000000001E-001  1.402419114336675E-006  1.910858136129485E-003  1.372862372916388E-006  8.772914211144868E-002  1.183234833462245E-003  7.845747451117455E-005
  4.000000000000002E-001  1.278131728155915E-006  2.465940780055356E-003  1.253302798910680E-006  1.022927494037049E-001  1.533931526348782E-003  7.845748317159470E-005
  5.000000000000002E-001  1.194615496235004E-006  2.980487680915276E-003  1.170035051779612E-006  1.136027675218501E-001  1.871768304184769E-003  7.845748996721090E-005
  6.000000000000003E-001  1.136772375266190E-006  3.452477999490809E-003  1.110024438714701E-006  1.221834141892403E-001  2.198040813207622E-003  7.845749516383457E-005
  7.000000000000004E-001  1.093785278318888E-006  3.891393723187351E-003  1.063778160628882E-006  1.289610817336985E-001  2.516088094357293E-003  7.845749929715902E-005
  8.000000000000005E-001  1.060959508886419E-006  4.300835529697306E-003  1.027137444940403E-006  1.342971179685706E-001  2.827037242352741E-003  7.845750257630253E-005
  9.000000000000006E-001  1.035332777804307E-006  4.684412930167327E-003  9.974363505821921E-007  1.384719502971978E-001  3.131698731708816E-003  7.845750516674455E-005
  1.000000000000001E+000  1.014945278414373E-006  5.045557423829424E-003  9.728810942327850E-007  1.417079583453994E-001  3.430663725900541E-003  7.845750720095254E-005
  1.100000000000001E+000  9.984517861615250E-007  5.387405864032735E-003  9.522191932540912E-007  1.441838736624505E-001  3.724371456972908E-003  7.845750878569439E-005
