! time                    int_density             vac_density             
  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007
  1.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  2.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  3.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  4.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  5.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  6.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  7.000000000000000E-001  1.059902626678702E-003  1.060116685201974E-003
  7.999999999999999E-001  1.059902626678702E-003  1.060116685201974E-003
  8.999999999999999E-001  1.059902626678702E-003  1.060116685201974E-003
  9.999999999999999E-001  1.059902626678702E-003  1.060116685201974E-003
  1.100000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.200000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.300000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.400000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.500000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.600000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.700000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.800000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  1.900000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.000000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  2.100000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.200000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.300000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.400000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.500000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.600000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.700000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.800000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  2.900000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  3.000000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  3.100000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  3.200000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.300000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.400000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.500000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.600000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.700000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.800000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  3.900000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  4.000000000000002E+000  1.059902626678702E-003  1.060116685201974E-003
  4.100000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  4.200000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  4.300000000000001E+000  1.059902626678702E-003  1.060116685201974E-003
  4.400000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  4.500000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  4.600000000000000E+000  1.059902626678702E-003  1.060116685201974E-003
  4.699999999999999E+000  1.059902626678702E-003  1.060116685201974E-003
  4.799999999999999E+000  1.059902626678702E-003  1.060116685201974E-003
  4.899999999999999E+000  1.059902626678702E-003  1.060116685201974E-003
  4.999999999999998E+000  1.059902626678702E-003  1.060116685201974E-003
  5.099999999999998E+000  1.059902626678702E-003  1.060116685201974E-003
  5.199999999999998E+000  1.059902626678702E-003  1.060116685201974E-003
  5.299999999999997E+000  1.059902626678702E-003  1.060116685201974E-003
  5.399999999999997E+000  1.059902626678702E-003  1.060116685201974E-003
  5.499999999999996E+000  1.059902626678702E-003  1.060116685201974E-003
  5.599999999999996E+000  1.059902626678702E-003  1.060116685201974E-003
  5.699999999999996E+000  1.059902626678702E-003  1.060116685201974E-003
  5.799999999999995E+000  1.059902626678702E-003  1.060116685201974E-003
  5.899999999999995E+000  1.059902626678702E-003  1.060116685201974E-003
  5.999999999999995E+000  1.059902626678702E-003  1.060116685201974E-003
  6.099999999999994E+000  1.059902626678702E-003  1.060116685201974E-003
  6.199999999999994E+000  1.059902626678702E-003  1.060116685201974E-003
  6.299999999999994E+000  1.059902626678702E-003  1.060116685201974E-003
  6.399999999999993E+000  1.059902626678702E-003  1.060116685201974E-003
  6.499999999999993E+000  1.059902626678702E-003  1.060116685201974E-003
  6.599999999999993E+000  1.059902626678702E-003  1.060116685201974E-003
  6.699999999999992E+000  1.059902626678702E-003  1.060116685201974E-003
  6.799999999999992E+000  1.059902626678702E-003  1.060116685201974E-003
  6.899999999999991E+000  1.059902626678702E-003  1.060116685201974E-003
  6.999999999999991E+000  1.059902626678702E-003  1.060116685201974E-003
  7.099999999999991E+000  1.059902626678702E-003  1.060116685201974E-003
  7.199999999999990E+000  1.059902626678702E-003  1.060116685201974E-003
  7.299999999999990E+000  1.059902626678702E-003  1.060116685201974E-003
  7.399999999999990E+000  1.059902626678702E-003  1.060116685201974E-003
  7.499999999999989E+000  1.059902626678702E-003  1.060116685201974E-003
  7.599999999999989E+000  1.059902626678702E-003  1.060116685201974E-003
  7.699999999999989E+000  1.059902626678702E-003  1.060116685201974E-003
  7.799999999999988E+000  1.059902626678702E-003  1.060116685201974E-003
  7.899999999999988E+000  1.059902626678702E-003  1.060116685201974E-003
  7.999999999999988E+000  1.059902626678702E-003  1.060116685201974E-003
  8.099999999999987E+000  1.059902626678702E-003  1.060116685201974E-003
  8.199999999999987E+000  1.059902626678702E-003  1.060116685201974E-003
  8.299999999999986E+000  1.059902626678702E-003  1.060116685201974E-003
  8.399999999999986E+000  1.059902626678702E-003  1.060116685201974E-003
  8.499999999999986E+000  1.059902626678702E-003  1.060116685201974E-003
  8.599999999999985E+000  1.059902626678702E-003  1.060116685201974E-003
  8.699999999999985E+000  1.059902626678702E-003  1.060116685201974E-003
  8.799999999999985E+000  1.059902626678702E-003  1.060116685201974E-003
  8.899999999999984E+000  1.059902626678702E-003  1.060116685201974E-003
  8.999999999999984E+000  1.059902626678702E-003  1.060116685201974E-003
  9.099999999999984E+000  1.059902626678702E-003  1.060116685201974E-003
  9.199999999999983E+000  1.059902626678702E-003  1.060116685201974E-003
  9.299999999999983E+000  1.059902626678702E-003  1.060116685201974E-003
  9.399999999999983E+000  1.059902626678702E-003  1.060116685201974E-003
  9.499999999999982E+000  1.059902626678702E-003  1.060116685201974E-003
  9.599999999999982E+000  1.059902626678702E-003  1.060116685201974E-003
  9.699999999999982E+000  1.059902626678702E-003  1.060116685201974E-003
  9.799999999999981E+000  1.059902626678702E-003  1.060116685201974E-003
  9.899999999999981E+000  1.059902626678702E-003  1.060116685201974E-003
  9.999999999999980E+000  1.059902626678702E-003  1.060116685201974E-003
