! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.329713442755520E-001  4.505352541241957E-001  4.620715612760870E-001  2.556650114263969E-001
  2.000000000000000E-001  4.537087489589707E-001  4.549608210293772E-001  4.606456512309762E-001  2.556633163104250E-001
  3.000000000000000E-001  4.673754079677611E-001  4.588127341189071E-001  4.612233714588773E-001  2.556641159848241E-001
  4.000000000000001E-001  4.775303611080987E-001  4.623354234691455E-001  4.626269936922555E-001  2.556653952387669E-001
  5.000000000000001E-001  4.859053407174505E-001  4.654888121781913E-001  4.645979892495721E-001  2.556667385974954E-001
  6.000000000000002E-001  4.928586649659586E-001  4.683879184974286E-001  4.668036805211037E-001  2.556680538380516E-001
  7.000000000000003E-001  4.988407078512027E-001  4.710415949522272E-001  4.691819029358270E-001  2.556692922781091E-001
  8.000000000000004E-001  5.041230569820925E-001  4.734599494873324E-001  4.716851163441975E-001  2.556704326657112E-001
  9.000000000000005E-001  5.088815494403417E-001  4.756551993212536E-001  4.742762095914319E-001  2.556714666594671E-001
  1.000000000000000E+000  5.132352973067454E-001  4.776410466999612E-001  4.769254046916530E-001  2.556723927676910E-001
  1.100000000000001E+000  5.172674868508803E-001  4.794321300735733E-001  4.796082932513859E-001  2.556732134707588E-001
  1.200000000000001E+000  5.210375664895456E-001  4.810435486401605E-001  4.823046136813179E-001  2.556739336547222E-001
  1.300000000000001E+000  5.245888938472609E-001  4.824904622290146E-001  4.849974682376582E-001  2.556745596543115E-001
  1.400000000000001E+000  5.279537513153713E-001  4.837877668073483E-001  4.876727929139236E-001  2.556750986169853E-001
  1.500000000000001E+000  5.311567180374527E-001  4.849498427206781E-001  4.903189712413671E-001  2.556755580589508E-001
  1.600000000000001E+000  5.342169618899677E-001  4.859903696629170E-001  4.929265304350432E-001  2.556759455492477E-001
  1.700000000000001E+000  5.371498019860089E-001  4.869222001491845E-001  4.954878859134713E-001  2.556762684860783E-001
  1.800000000000001E+000  5.399677736342187E-001  4.877572821903428E-001  4.979971159616824E-001  2.556765339424636E-001
  1.900000000000001E+000  5.426813544239369E-001  4.885066218102271E-001  5.004497571442661E-001  2.556767485648792E-001
  2.000000000000001E+000  5.453175615298829E-001  4.891626257239824E-001  5.028740726276922E-001  2.556769096804296E-001
  2.100000000000001E+000  5.478635618831292E-001  4.897566306571654E-001  5.052269771851717E-001  2.556770344034520E-001
  2.200000000000002E+000  5.503264513349307E-001  4.902959960387259E-001  5.075099043743556E-001  2.556771273363026E-001
  2.300000000000002E+000  5.527124597106500E-001  4.907873545741290E-001  5.097244162441986E-001  2.556771926352220E-001
  2.400000000000002E+000  5.550270863460427E-001  4.912366583822564E-001  5.118722355692362E-001  2.556772340284759E-001
  2.500000000000002E+000  5.572752087560849E-001  4.916492232434942E-001  5.139552473756746E-001  2.556772548385177E-001
  2.600000000000002E+000  5.594611709202307E-001  4.920297756258691E-001  5.159754824618968E-001  2.556772580085549E-001
  2.700000000000002E+000  5.615888560558600E-001  4.923825007396828E-001  5.179350912678568E-001  2.556772461316179E-001
  2.800000000000002E+000  5.636617474445792E-001  4.927110902962306E-001  5.198363135450150E-001  2.556772214806844E-001
  2.900000000000002E+000  5.656829798894031E-001  4.930187889968436E-001  5.216814473225300E-001  2.556771860387885E-001
  3.000000000000002E+000  5.676553836676763E-001  4.933084390558563E-001  5.234728193391878E-001  2.556771415283375E-001
  3.100000000000002E+000  5.695815223434366E-001  4.935825222792312E-001  5.252127582092425E-001  2.556770894390898E-001
  3.200000000000002E+000  5.714637254568437E-001  4.938431993916904E-001  5.269035709796709E-001  2.556770310544389E-001
  3.300000000000002E+000  5.733041168710347E-001  4.940923464390122E-001  5.285475233267943E-001  2.556769674757796E-001
  3.400000000000003E+000  5.751046393936379E-001  4.943315881963795E-001  5.301468233710441E-001  2.556768996448511E-001
  3.500000000000003E+000  5.768670761763088E-001  4.945623285940783E-001  5.317036089179762E-001  2.556768283640296E-001
  3.600000000000003E+000  5.785930693139992E-001  4.947857782329801E-001  5.332199378322002E-001  2.556767543146038E-001
  3.700000000000003E+000  5.802841360048259E-001  4.950029791075937E-001  5.346977811977999E-001  2.556766780731093E-001
  3.800000000000003E+000  5.819416825839893E-001  4.952148266868359E-001  5.361390188992006E-001  2.556766001258338E-001
  3.900000000000003E+000  5.835670167065548E-001  4.954220895243601E-001  5.375454372594458E-001  2.556765208816131E-001
  4.000000000000003E+000  5.851613579211472E-001  4.956254265832475E-001  5.389187283906175E-001  2.556764406830598E-001
  4.100000000000002E+000  5.867258468480565E-001  4.958254024657469E-001  5.402604909380213E-001  2.556763598163600E-001
  4.200000000000002E+000  5.882615531498330E-001  4.960225007390270E-001  5.415722319315879E-001  2.556762785197847E-001
  4.300000000000002E+000  5.897694824596422E-001  4.962171355438106E-001  5.428553694918401E-001  2.556761969910441E-001
  4.400000000000001E+000  5.912505824120879E-001  4.964096616653692E-001  5.441112361716942E-001  2.556761153936193E-001
  4.500000000000001E+000  5.927057479026739E-001  4.966003832366181E-001  5.453410827478853E-001  2.556760338621894E-001
  4.600000000000001E+000  5.941358256854722E-001  4.967895612317235E-001  5.465460823061398E-001  2.556759525072650E-001
  4.700000000000000E+000  5.955416184037035E-001  4.969774198963596E-001  5.477273344917526E-001  2.556758714191305E-001
  4.800000000000000E+000  5.969238881347882E-001  4.971641522480693E-001  5.488858698218095E-001  2.556757906711863E-001
  5.000000000000000E+000  5.996324102840519E-001  4.975328808720031E-001  5.511528885640492E-001  2.556756307751182E-001
  5.200000000000000E+000  6.022536704153305E-001  4.978990732933604E-001  5.533378708677568E-001  2.556754728367722E-001
  5.400000000000000E+000  6.047927873287623E-001  4.982634604321468E-001  5.554472900784276E-001  2.556753170352669E-001
  5.600000000000001E+000  6.072544224185520E-001  4.986266157950330E-001  5.574868342057155E-001  2.556751634804560E-001
  5.699999999999998E+000  6.084493150984553E-001  4.988090280451932E-001  5.584717864052441E-001  2.556750871443185E-001
  5.799999999999998E+000  6.096283205758765E-001  4.989911133144331E-001  5.594434844007011E-001  2.556750115091713E-001
  5.899999999999998E+000  6.107924804030613E-001  4.991728047911415E-001  5.604032186537177E-001  2.556749366014027E-001
  5.999999999999997E+000  6.119399863845182E-001  4.993544177656370E-001  5.613486760472706E-001  2.556748622885065E-001
  6.199999999999998E+000  6.141942506792162E-001  4.997164738506329E-001  5.632080094562240E-001  2.556747158544583E-001
  6.399999999999998E+000  6.163860272980148E-001  5.000785741264023E-001  5.650144224142277E-001  2.556745716998341E-001
  6.599999999999998E+000  6.185184085674007E-001  5.004409404783992E-001  5.667710779571218E-001  2.556744298153200E-001
  6.799999999999998E+000  6.205942518330058E-001  5.008037483639755E-001  5.684808467254365E-001  2.556742901784356E-001
  6.999999999999998E+000  6.226162061912915E-001  5.011671380758277E-001  5.701463397985815E-001  2.556741527582408E-001
