! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  5.646430517507082E-006  6.864884742310290E-004  1.745561266512935E-005  4.746357315938869E-002  3.306394065554255E-004  2.729573647181386E-011
  2.000000000000001E-001  4.837651389626117E-006  1.371696898390113E-003  1.257217037724677E-005  8.801490823924982E-002  5.548018443385372E-004  5.201858388868957E-011
  3.000000000000001E-001  4.304083233871868E-006  2.056290950917267E-003  9.801673022456708E-006  1.254407762835030E-001  7.456173092593248E-004  7.516633339459430E-011
  4.000000000000002E-001  3.890823099197392E-006  2.740430538007693E-003  8.013590115861129E-006  1.603626493371040E-001  9.243125575388316E-004  9.680165606175934E-011
  5.000000000000002E-001  3.552634519411430E-006  3.424247745835198E-003  6.766080722778733E-006  1.932863396008306E-001  1.100680073606273E-003  1.171346884765146E-010
  6.000000000000003E-001  3.268108342090877E-006  4.107818747241082E-003  5.847079977651655E-006  2.244390395350180E-001  1.279239862303409E-003  1.362371787803790E-010
  7.000000000000004E-001  3.023943691693104E-006  4.791168924748010E-003  5.140484558346442E-006  2.537234103452569E-001  1.463963968774278E-003  1.539913449799636E-010
  8.000000000000005E-001  2.812079701466084E-006  5.474367379952568E-003  4.581364324318873E-006  2.814717178155827E-001  1.656088488737861E-003  1.705942061361135E-010
  9.000000000000006E-001  2.626290213121900E-006  6.157441975406287E-003  4.127714578794388E-006  3.077313938749245E-001  1.857010588280146E-003  1.860488068024330E-010
  1.000000000000001E+000  2.461914813815221E-006  6.840414225255258E-003  3.751998872292553E-006  3.325315601126814E-001  2.067860778613053E-003  2.003624861150211E-010
  1.100000000000001E+000  2.315380390307310E-006  7.523301003560875E-003  3.435490110420733E-006  3.558877682007489E-001  2.289508960199247E-003  2.135484304039845E-010
  1.200000000000001E+000  2.183895828305314E-006  8.206115731172900E-003  3.165024135634664E-006  3.778054139636864E-001  2.522569399269699E-003  2.256268997463605E-010
  1.300000000000001E+000  2.065247508684660E-006  8.888869217316043E-003  2.931087585731435E-006  3.982824143982555E-001  2.767406170324479E-003  2.366255845466478E-010
  1.400000000000001E+000  1.957656698371225E-006  9.571570267283792E-003  2.726641572931526E-006  4.173114611444327E-001  3.024142920083163E-003  2.465788539187999E-010
  1.500000000000001E+000  1.859892785564469E-006  1.025423307682324E-002  2.546889134598642E-006  4.351128472305120E-001  3.290700374443631E-003  2.556821587110512E-010
  1.600000000000001E+000  1.770492783030606E-006  1.093685549856309E-002  2.387071107842257E-006  4.514265880488187E-001  3.568843494429207E-003  2.637975070767133E-010
  1.700000000000001E+000  1.688486293091610E-006  1.161944313822827E-002  2.244052340901333E-006  4.662556029861104E-001  3.858079242436770E-003  2.709798352792516E-010
  1.800000000000001E+000  1.613048301561883E-006  1.230200033774588E-002  2.115323125496159E-006  4.795895100827161E-001  4.157869367743813E-003  2.772710259359047E-010
  1.900000000000001E+000  1.543480202776242E-006  1.298453078321748E-002  1.998867963513196E-006  4.914207728696808E-001  4.467560534641896E-003  2.827083794366702E-010
  2.000000000000001E+000  1.479184521238678E-006  1.366703762302418E-002  1.893049822945666E-006  5.017460684044620E-001  4.786427265796233E-003  2.873240018716624E-010
  2.100000000000001E+000  1.419645610893165E-006  1.434952356079043E-002  1.796525812794884E-006  5.105674954924095E-001  5.113709684539383E-003  2.911450313083732E-010
  2.200000000000002E+000  1.364414802773606E-006  1.503199092939539E-002  1.708184440667202E-006  5.178936053755260E-001  5.448644858553378E-003  2.941945257204863E-010
  2.300000000000002E+000  1.313098889567131E-006  1.571444175052481E-002  1.627097749082240E-006  5.237402386382288E-001  5.790491084974123E-003  2.964928059311401E-010
  2.400000000000002E+000  1.265351123589425E-006  1.639687778306096E-002  1.552483853191420E-006  5.281311557232923E-001  6.138545054355829E-003  2.980590174611030E-010
  2.500000000000002E+000  1.220864106957217E-006  1.707930056275574E-002  1.483677078887273E-006  5.310984528651488E-001  6.492152426407708E-003  2.989126868665349E-010
  2.600000000000002E+000  1.179364100049608E-006  1.776171143501650E-002  1.420104092037015E-006  5.326827595625793E-001  6.850712837579327E-003  2.990750920150432E-010
  2.700000000000002E+000  1.140606387299804E-006  1.844411158218707E-002  1.361265101384631E-006  5.329332175058388E-001  7.213680655063264E-003  2.985703267746491E-010
  2.800000000000002E+000  1.104371430865895E-006  1.912650204637976E-002  1.306719468048074E-006  5.319072442642269E-001  7.580562854578594E-003  2.974260049116601E-010
  2.900000000000002E+000  1.070461619056174E-006  1.980888374867567E-002  1.256075032497880E-006  5.296700885889513E-001  7.950915252541687E-003  2.956736037690295E-010
  3.000000000000002E+000  1.038698478884112E-006  2.049125750533583E-002  1.208980380142918E-006  5.262941885833956E-001  8.324338042198993E-003  2.933484874611378E-010
  3.100000000000002E+000  1.008920269828385E-006  2.117362404153775E-002  1.165119250475503E-006  5.218583496809491E-001  8.700471263161095E-003  2.904896695817480E-010
  3.200000000000002E+000  9.809799078960502E-007  2.185598400305554E-002  1.124206389022157E-006  5.164467662450481E-001  9.078990552059201E-003  2.871393800437695E-010
  3.300000000000002E+000  9.547431861036492E-007  2.253833796622769E-002  1.085984306990180E-006  5.101479179006269E-001  9.459603318351056E-003  2.833424957640897E-010
  3.400000000000002E+000  9.300833301850493E-007  2.322068565915604E-002  1.050201118765221E-006  5.029467705924805E-001  9.842287737366614E-003  2.790892435804609E-010
  3.500000000000002E+000  9.068940521380918E-007  2.390302839470802E-002  1.016673541414316E-006  4.950641409971872E-001  1.022651411736221E-002  2.744954415154753E-010
  3.600000000000001E+000  8.850707241753368E-007  2.458536658168890E-002  9.852106553688004E-007  4.865931282075489E-001  1.061207213067433E-002  2.696094721797181E-010
  3.700000000000001E+000  8.645170001049742E-007  2.526770058776394E-002  9.556405014522481E-007  4.776259560956380E-001  1.099877124110035E-002  2.644793639313644E-010
  3.800000000000001E+000  8.451439912810310E-007  2.595003074420608E-002  9.278083353238411E-007  4.682528876365502E-001  1.138643891716768E-002  2.591522351117224E-010
  3.900000000000000E+000  8.268694936376850E-007  2.663235735002479E-002  9.015747725043832E-007  4.585612336231661E-001  1.177491894140251E-002  2.536737488067622E-010
  4.000000000000000E+000  8.096172862521569E-007  2.731468067556116E-002  8.768140899752071E-007  4.486344685925391E-001  1.216406987512358E-002  2.480876160656614E-010
  4.100000000000000E+000  7.933164993258090E-007  2.799700096562197E-002  8.534126853113668E-007  4.385514629551278E-001  1.255376369160264E-002  2.424351607706824E-010
  4.199999999999999E+000  7.779010546136333E-007  2.867931844221606E-002  8.312676939288942E-007  4.283858376429104E-001  1.294388457248982E-002  2.367549526630035E-010
  4.299999999999999E+000  7.633091819642773E-007  2.936163330694927E-002  8.102857621818507E-007  4.182054456369246E-001  1.333432785476578E-002  2.310825120448681E-010
  4.399999999999999E+000  7.494830132229134E-007  3.004394574312655E-002  7.903819700132838E-007  4.080719828936183E-001  1.372499911215106E-002  2.254500878209980E-010
  4.499999999999998E+000  7.363682509589186E-007  3.072625591760422E-002  7.714788928882827E-007  3.980407290294712E-001  1.411581335366783E-002  2.198865089350931E-010
  4.599999999999998E+000  7.239139056775023E-007  3.140856398242863E-002  7.535057896937947E-007  3.881604154943831E-001  1.450669432199325E-002  2.144171076010669E-010
  4.699999999999998E+000  7.120720922155344E-007  3.209087007629226E-002  7.363979015838925E-007  3.784732159722369E-001  1.489757387492986E-002  2.090637109941925E-010
