 time    0.0000000000000000     
          -1   1  1.899974588521735E-002
 time    8.0000000000000002E-002
          -5   1  5.996495753035942E-004
          -4   1  9.873615435988157E-004
          -3   1  1.883955078757326E-003
          -2   1  4.792241523773440E-003
          -1   1  2.533299451362313E-002
 time   0.10000000000000001     
          -5   1  7.495619691294926E-004
          -4   1  1.234201929498519E-003
          -3   1  2.354943848446658E-003
          -2   1  5.990301904716800E-003
          -1   1  3.166624314202891E-002
 time   0.15000000000000002     
          -5   1  1.124342953694239E-003
          -4   1  1.851302894247779E-003
          -3   1  3.532415772669986E-003
          -2   1  8.985452857075199E-003
          -1   1  4.749936471304336E-002
 time   0.20000000000000001     
          -5   1  1.499123938258985E-003
          -4   1  2.468403858997039E-003
          -3   1  4.709887696893315E-003
          -2   1  1.198060380943360E-002
          -1   1  6.333248628405783E-002
 time   0.30000000000000004     
          -5   1  2.248685907388478E-003
          -4   1  3.702605788495559E-003
          -3   1  7.064831545339973E-003
          -2   1  1.797090571415040E-002
          -1   1  9.499872942608673E-002
 time   0.40000000000000002     
          -5   1  2.998247876517971E-003
          -4   1  4.936807717994078E-003
          -3   1  9.419775393786630E-003
          -2   1  2.396120761886720E-002
          -1   1  1.266649725681157E-001
 time   0.60000000000000009     
          -5   1  4.497371814776957E-003
          -4   1  7.405211576991117E-003
          -3   1  1.412966309067995E-002
          -2   1  3.594181142830079E-002
          -1   1  1.899974588521735E-001
 time   0.80000000000000004     
          -5   1  5.996495753035942E-003
          -4   1  9.873615435988156E-003
          -3   1  1.883955078757326E-002
          -2   1  4.792241523773440E-002
          -1   1  2.533299451362313E-001
 time    1.0000000000000000     
          -5   1  7.495619691294929E-003
          -4   1  1.234201929498520E-002
          -3   1  2.354943848446658E-002
          -2   1  5.990301904716799E-002
          -1   1  3.166624314202892E-001
 time    1.5000000000000000     
          -5   1  1.124342953694239E-002
          -4   1  1.851302894247779E-002
          -3   1  3.532415772669986E-002
          -2   1  8.985452857075198E-002
          -1   1  4.749936471304337E-001
 time    2.0000000000000000     
          -5   1  1.499123938258986E-002
          -4   1  2.468403858997039E-002
          -3   1  4.709887696893314E-002
          -2   1  1.198060380943360E-001
          -1   1  6.333248628405783E-001
 time    3.0000000000000000     
          -5   1  2.248685907388478E-002
          -4   1  3.702605788495559E-002
          -3   1  7.064831545339972E-002
          -2   1  1.797090571415040E-001
          -1   1  9.499872942608674E-001
 time    4.0000000000000000     
          -5   1  2.998247876517971E-002
          -4   1  4.936807717994079E-002
          -3   1  9.419775393786628E-002
          -2   1  2.396120761886719E-001
          -1   1  1.266649725681157E+000
 time    6.0000000000000000     
          -5   1  4.497371814776956E-002
          -4   1  7.405211576991118E-002
          -3   1  1.412966309067994E-001
          -2   1  3.594181142830079E-001
          -1   1  1.899974588521735E+000
 time    8.0000000000000000     
          -5   1  5.996495753035943E-002
          -4   1  9.873615435988158E-002
          -3   1  1.883955078757326E-001
          -2   1  4.792241523773438E-001
          -1   1  2.533299451362313E+000
 time    10.000000000000000     
          -5   1  7.495619691294927E-002
          -4   1  1.234201929498520E-001
          -3   1  2.354943848446658E-001
          -2   1  5.990301904716800E-001
          -1   1  3.166624314202891E+000
 time    15.000000000000000     
          -5   1  1.124342953694239E-001
          -4   1  1.851302894247780E-001
          -3   1  3.532415772669986E-001
          -2   1  8.985452857075199E-001
          -1   1  4.749936471304338E+000
 time    20.000000000000000     
          -5   1  1.499123938258985E-001
          -4   1  2.468403858997039E-001
          -3   1  4.709887696893315E-001
          -2   1  1.198060380943360E+000
          -1   1  6.333248628405782E+000
 time    30.000000000000000     
          -5   1  2.248685907388478E-001
          -4   1  3.702605788495559E-001
          -3   1  7.064831545339972E-001
          -2   1  1.797090571415040E+000
          -1   1  9.499872942608674E+000
 time    40.000000000000000     
          -5   1  2.998247876517970E-001
          -4   1  4.936807717994078E-001
          -3   1  9.419775393786630E-001
          -2   1  2.396120761886719E+000
          -1   1  1.266649725681156E+001
 time    60.000000000000000     
