! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  3.000000000000000E-005 -2.002355162512493E-015 -3.167303438844989E-008  1.762604344009112E-009  0.000000000000000E+000  2.991042804208562E-008
  4.000000000000000E-005 -9.791652245274584E-015 -5.491671641734287E-008  3.080684071283563E-009  0.000000000000000E+000  5.183602255440706E-008
  5.999999999999999E-005 -9.791652682025947E-015 -1.227080777842541E-007  7.011268903830721E-009  0.000000000000000E+000  1.156967990887707E-007
  7.999999999999999E-005 -9.791653621703123E-015 -2.109214296997781E-007  1.222435442650660E-008  0.000000000000000E+000  1.986970654816179E-007
  9.999999999999999E-005 -9.791653065837751E-015 -3.187589183479676E-007  1.870850799924950E-008  0.000000000000000E+000  3.000504005570650E-007
  1.500000000000000E-004 -9.791654283447613E-015 -7.009710346674829E-007  4.269979370201503E-008  0.000000000000000E+000  6.582712311738136E-007
  2.000000000000000E-004 -9.791656189271744E-015 -1.187596201031728E-006  7.432118659237704E-008  0.000000000000000E+000  1.113275004647695E-006
  3.000000000000000E-004 -9.791659789161770E-015 -2.531081396767898E-006  1.670207481563043E-007  0.000000000000000E+000  2.364060638819934E-006
  4.000000000000000E-004 -9.791688164765503E-015 -4.209179576228944E-006  2.882196176754113E-007  0.000000000000000E+000  3.920959948761845E-006
  5.999999999999999E-004 -9.791885523442213E-015 -8.716885409563898E-006  6.380558998446027E-007  0.000000000000000E+000  8.078829499927410E-006
  7.999999999999999E-004 -9.791831313333589E-015 -1.424426032856435E-005  1.089541591316956E-006  0.000000000000000E+000  1.315471872745556E-005
  1.000000000000000E-003 -9.791683929600767E-015 -2.069271704821626E-005  1.637459621050635E-006  0.000000000000000E+000  1.905525741737394E-005
  1.500000000000000E-003 -9.786821960483527E-015 -4.160204215959487E-005  3.542438111568778E-006  0.000000000000000E+000  3.805960403823926E-005
  2.000000000000000E-003 -9.793008689130273E-015 -6.661795089019451E-005  5.924938602652502E-006  0.000000000000000E+000  6.069301227774900E-005
  2.500000000000000E-003 -9.797582667045446E-015 -9.522037111569018E-005  8.734846808858059E-006  0.000000000000000E+000  8.648552429703454E-005
  3.000000000000000E-003 -9.792893492649446E-015 -1.269899752675724E-004  1.192815809673840E-005  0.000000000000000E+000  1.150618171610411E-004
  3.500000000000000E-003 -9.789478255806117E-015 -1.615762168649137E-004  1.546599280922087E-005  0.000000000000000E+000  1.461102240459034E-004
  4.000000000000000E-003 -9.791917710694209E-015 -1.986791762075501E-004  1.931386597453232E-005  0.000000000000000E+000  1.793653102232259E-004
  5.000000000000000E-003 -9.788177213199134E-015 -2.810914855972437E-004  2.802841160499848E-005  0.000000000000000E+000  2.530630739824570E-004
  6.000000000000000E-003 -9.785195657224799E-015 -3.702389920175080E-004  3.758334337028591E-005  0.000000000000000E+000  3.326556486374369E-004
  7.000000000000000E-003 -9.783352513531574E-015 -4.649451209446667E-004  4.783435347587733E-005  0.000000000000000E+000  4.171107674590061E-004
  8.000000000000000E-003 -9.781672000164221E-015 -5.642619758152218E-004  5.866434922415477E-005  0.000000000000000E+000  5.055976265812854E-004
