! time                    void_density            void_size               
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  4.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  6.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  7.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  7.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  8.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  9.999999999999999E-001  0.000000000000000E+000  0.000000000000000E+000
  1.100000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.200000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.400000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.600000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.800000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.200000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.400000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.600000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.800000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  3.200000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  3.400000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  3.600000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  3.800000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  4.500000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  5.500000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
