! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.868450488730128E-001  4.329527222843118E-001  4.563246409810282E-001  2.556632623100713E-001
  2.000000000000001E-001  5.470087158977063E-001  4.430820346408861E-001  4.539386420203000E-001  2.556660848731871E-001
  3.000000000000002E-001  5.878057606136818E-001  4.559439277228225E-001  4.548417281414555E-001  2.556714724122589E-001
  4.000000000000003E-001  6.186669468396663E-001  4.703388815666313E-001  4.571253962646083E-001  2.556773289151291E-001
  5.000000000000003E-001  6.427662913288776E-001  4.857427763585596E-001  4.601313695744891E-001  2.556832494501540E-001
  6.000000000000004E-001  6.623343266967000E-001  5.018150997064030E-001  4.637078637444877E-001  2.556890897828868E-001
  7.000000000000005E-001  6.789399039320044E-001  5.182676662244686E-001  4.679675273437477E-001  2.556947434164711E-001
  8.000000000000006E-001  6.929492704477318E-001  5.350594128541161E-001  4.726866612917588E-001  2.557002130868173E-001
  9.000000000000007E-001  7.049604303096678E-001  5.521028149827922E-001  4.779129756470282E-001  2.557054739020919E-001
  1.000000000000001E+000  7.153842143827505E-001  5.693352646406374E-001  4.836823540620744E-001  2.557105065840025E-001
  1.100000000000001E+000  7.245157049831307E-001  5.867099445455478E-001  4.900243631395413E-001  2.557152955510574E-001
  1.200000000000001E+000  7.325744181799833E-001  6.041899930251791E-001  4.969626030096716E-001  2.557198275824306E-001
  1.300000000000001E+000  7.397284107824282E-001  6.217448647923525E-001  5.045134888403019E-001  2.557240911635033E-001
  1.400000000000001E+000  7.461094907325363E-001  6.393479887211967E-001  5.126847563768098E-001  2.557280761567373E-001
  1.500000000000001E+000  7.517996270366445E-001  6.569841774054852E-001  5.211757306519139E-001  2.557318224813846E-001
  1.600000000000001E+000  7.569228428509559E-001  6.746236300967130E-001  5.303324423342120E-001  2.557352705037620E-001
  1.700000000000001E+000  7.615448209146268E-001  6.922462620771413E-001  5.401013699350696E-001  2.557384162820916E-001
  1.800000000000001E+000  7.657228506106989E-001  7.098318677652349E-001  5.504438616549358E-001  2.557412540748348E-001
  1.900000000000001E+000  7.695059392311102E-001  7.273609257176996E-001  5.613142880445758E-001  2.557437792827177E-001
  2.000000000000001E+000  7.729364462631779E-001  7.448147344415177E-001  5.726602150169082E-001  2.557459885824275E-001
  2.100000000000001E+000  7.760513293683078E-001  7.621755357574436E-001  5.844232679983149E-001  2.557478800973473E-001
  2.200000000000002E+000  7.788831092590407E-001  7.794265848184295E-001  5.965404181542105E-001  2.557494535873417E-001
  2.300000000000002E+000  7.814606247035552E-001  7.965521490127320E-001  6.089454704944736E-001  2.557507106373958E-001
  2.400000000000002E+000  7.838096250459118E-001  8.135374507381621E-001  6.215705851407868E-001  2.557516548241350E-001
  2.500000000000002E+000  7.859532331200559E-001  8.303685951431641E-001  6.343477144838118E-001  2.557522918415213E-001
  2.600000000000002E+000  7.879123039226720E-001  8.470325297960795E-001  6.472098899333296E-001  2.557526295715242E-001
  2.700000000000002E+000  7.897057011735059E-001  8.635170663931163E-001  6.600923375930325E-001  2.557526780911809E-001
  2.800000000000002E+000  7.913505121534933E-001  8.798109656789992E-001  6.729334345732709E-001  2.557524496131868E-001
  2.900000000000002E+000  7.928622189849174E-001  8.959040615912663E-001  6.856755299046815E-001  2.557519583621722E-001
  3.000000000000002E+000  7.942548411319076E-001  9.117873896510835E-001  6.982656447034915E-001  2.557512203926903E-001
  3.100000000000002E+000  7.955410597919831E-001  9.274532881596680E-001  7.106560418423566E-001  2.557502533575982E-001
  3.200000000000002E+000  7.967323308933493E-001  9.428954524130592E-001  7.228046290366124E-001  2.557490762372053E-001
  3.300000000000002E+000  7.978389902915514E-001  9.581089349026725E-001  7.346751460256562E-001  2.557477090405880E-001
  3.400000000000002E+000  7.988688477998247E-001  9.730807415954470E-001  7.463209558075502E-001  2.557461496142783E-001
  3.500000000000002E+000  7.998320723790131E-001  9.878166198016499E-001  7.576148545281652E-001  2.557444464754540E-001
  3.600000000000001E+000  8.007362397459880E-001  1.002315447298839E+000  7.685395654242008E-001  2.557426206401651E-001
  3.700000000000001E+000  8.015881463473828E-001  1.016577066883685E+000  7.790814395426046E-001  2.557406928131475E-001
  3.800000000000001E+000  8.023938901859871E-001  1.030602094462953E+000  7.892298614591842E-001  2.557386831628077E-001
  3.900000000000000E+000  8.031589429336395E-001  1.044391808383297E+000  7.989768129375168E-001  2.557366110907792E-001
  4.000000000000000E+000  8.038882136840876E-001  1.057948059596258E+000  8.083166163523808E-001  2.557344950309589E-001
  4.100000000000000E+000  8.045861048798671E-001  1.071273201949051E+000  8.172458378452013E-001  2.557323522794250E-001
  4.199999999999999E+000  8.052565611232982E-001  1.084370038780284E+000  8.257633009621396E-001  2.557301988559422E-001
  4.299999999999999E+000  8.059031117164798E-001  1.097241780526249E+000  8.338701500639634E-001  2.557280493973423E-001
  4.399999999999999E+000  8.065289078454122E-001  1.109892008047781E+000  8.415699071023599E-001  2.557259170826937E-001
  4.499999999999998E+000  8.071367553235937E-001  1.122324637400048E+000  8.488684798172218E-001  2.557238135896859E-001
  4.599999999999998E+000  8.077291437497247E-001  1.134543883248172E+000  8.557740977872740E-001  2.557217490810518E-001
  4.699999999999998E+000  8.083082728297271E-001  1.146554219631613E+000  8.622971701155850E-001  2.557197322191631E-001
  4.799999999999997E+000  8.088793506162152E-001  1.158344393248524E+000  8.684424973839946E-001  2.557177818161788E-001
  4.899999999999997E+000  8.094408347061079E-001  1.169935859885785E+000  8.742323992402089E-001  2.557158916073257E-001
  4.999999999999996E+000  8.099941602335650E-001  1.181333601574473E+000  8.796828971808912E-001  2.557140659003992E-001
  5.099999999999996E+000  8.105405634661746E-001  1.192542708157174E+000  8.848109414858587E-001  2.557123077370631E-001
  5.199999999999996E+000  8.110811009344396E-001  1.203568298631939E+000  8.896340891625530E-001  2.557106191043892E-001
  5.299999999999995E+000  8.116166675315135E-001  1.214415483863146E+000  8.941702077392994E-001  2.557090010467616E-001
  5.399999999999995E+000  8.121480136142180E-001  1.225089333346491E+000  8.984372108332708E-001  2.557074537789313E-001
  5.499999999999995E+000  8.126757611073036E-001  1.235594846343205E+000  9.024528287819044E-001  2.557059767981691E-001
  5.599999999999994E+000  8.132004185969279E-001  1.245936927454843E+000  9.062344153681977E-001  2.557045689931671E-001
  5.699999999999994E+000  8.137223953934160E-001  1.256120366528151E+000  9.097987899303888E-001  2.557032287477485E-001
  5.799999999999994E+000  8.142420145449929E-001  1.266149822654246E+000  9.131621129107858E-001  2.557019540378667E-001
  5.899999999999993E+000  8.147595247911038E-001  1.276029811944329E+000  9.163397920948484E-001  2.557007425208079E-001
  5.999999999999993E+000  8.152751114543404E-001  1.285764698715820E+000  9.193464163324530E-001  2.556995916158900E-001
  6.099999999999993E+000  8.157889062822239E-001  1.295358689700313E+000  9.221957133351835E-001  2.556984985763005E-001
  6.199999999999992E+000  8.163009962628895E-001  1.304815830881332E+000  9.249005281345907E-001  2.556974605520098E-001
  6.299999999999992E+000  8.168114314509752E-001  1.314140006580303E+000  9.274728189087927E-001  2.556964746439396E-001
  6.399999999999991E+000  8.173202318509748E-001  1.323334940429018E+000  9.299236670934591E-001  2.556955379497619E-001
  6.499999999999991E+000  8.178273934144439E-001  1.332404197893022E+000  9.322632989543684E-001  2.556946476018475E-001
  6.599999999999991E+000  8.183328932144019E-001  1.341351190040124E+000  9.345011160873381E-001  2.556938007979850E-001
  6.799999999999991E+000  8.193512294019295E-001  1.358860204468198E+000  9.387077408554557E-001  2.556922525194847E-001
  6.999999999999991E+000  8.203609297610917E-001  1.375920256816884E+000  9.426157039645700E-001  2.556908359711352E-001
  7.199999999999991E+000  8.213616998441853E-001  1.392552763350325E+000  9.462681172326810E-001  2.556895365106030E-001
  7.399999999999991E+000  8.223531933375741E-001  1.408777514107665E+000  9.497013416087191E-001  2.556883407131628E-001
  7.599999999999992E+000  8.233350520440499E-001  1.424612791935352E+000  9.529458070351547E-001  2.556872365513516E-001
  7.799999999999992E+000  8.243069315096759E-001  1.440075516339224E+000  9.560268461183445E-001  2.556862134039556E-001
  7.999999999999992E+000  8.252685162595920E-001  1.455181380402239E+000  9.589654831304748E-001  2.556852619909623E-001
