 time    0.0000000000000000     
          -1   1  3.362739440591335E-003
 time    8.0000000000000002E-003
          -5   1  1.505565137819980E-007
          -4   1  2.811067330674683E-007
          -3   1  5.668600212896050E-007
          -2   1  1.081492033986272E-006
          -1   1  4.413419996466598E-003
 time    1.0000000000000000E-002
          -5   1  1.506439681669459E-007
          -4   1  2.811823996285511E-007
          -3   1  5.669365921676983E-007
          -2   1  1.087758722963425E-006
          -1   1  5.439110587749248E-003
 time    1.2000000000000000E-002
          -5   1  1.507279464274313E-007
          -4   1  2.812559810252675E-007
          -3   1  5.670111183182779E-007
          -2   1  1.095141760860872E-006
          -1   1  6.442206118109221E-003
 time    1.4000000000000000E-002
          -5   1  1.508089948060512E-007
          -4   1  2.813276787042859E-007
          -3   1  5.670837752738209E-007
          -2   1  1.103578116749611E-006
          -1   1  7.424736549655534E-003
 time    1.6000000000000000E-002
          -5   1  1.508874967521704E-007
          -4   1  2.813976324818112E-007
          -3   1  5.671546874642120E-007
          -2   1  1.113013167252758E-006
          -1   1  8.388441414354148E-003
 time    1.8000000000000002E-002
          -5   1  1.509637341551823E-007
          -4   1  2.814659476181514E-007
          -3   1  5.672239510889390E-007
          -2   1  1.123399150626397E-006
          -1   1  9.334825420083192E-003
 time    2.0000000000000004E-002
          -5   1  1.510379224504610E-007
          -4   1  2.815327088578199E-007
          -3   1  5.672916458529622E-007
          -2   1  1.134693958710300E-006
          -1   1  1.026520082832479E-002
 time    2.5000000000000005E-002
          -5   1  1.512203453336938E-007
          -4   1  2.816980639603333E-007
          -3   1  5.674593132158402E-007
          -2   1  1.166315946180011E-006
          -1   1  1.250431947903672E-002
 time    3.0000000000000006E-002
          -5   1  1.513915442915253E-007
          -4   1  2.818536837369431E-007
          -3   1  5.676171321482522E-007
          -2   1  1.202857140024065E-006
          -1   1  1.466962647431585E-002
 time    3.5000000000000003E-002
          -5   1  1.515532480578975E-007
          -4   1  2.820007568032144E-007
          -3   1  5.677662981913499E-007
          -2   1  1.243954787495738E-006
          -1   1  1.677109988401727E-002
 time    4.0000000000000001E-002
          -5   1  1.517067063381844E-007
          -4   1  2.821402307854122E-007
          -3   1  5.679077951016028E-007
          -2   1  1.289308296343191E-006
          -1   1  1.881658313766532E-002
 time    4.4999999999999998E-002
          -5   1  1.518528852519998E-007
          -4   1  2.822728861041659E-007
          -3   1  5.680424384255513E-007
          -2   1  1.338665096067745E-006
          -1   1  2.081235856298505E-002
 time    4.9999999999999996E-002
          -5   1  1.519925597252625E-007
          -4   1  2.823993798597077E-007
          -3   1  5.681709174874970E-007
          -2   1  1.391808378431189E-006
          -1   1  2.276353645301982E-002
 time    5.4999999999999993E-002
          -5   1  1.521263672200413E-007
          -4   1  2.825202730938697E-007
          -3   1  5.682938222562564E-007
          -2   1  1.448548602216506E-006
