 time    0.0000000000000000     
           3   4  6.540625640628642E-009
           4   4  4.037855584139850E-009
 time    3.9999999999999998E-007
           1   4  5.620308248250087E-008
           2   4  1.731073513181516E-008
           3   4  8.686385579324276E-009
           4   4  5.366952571233698E-009
 time    5.9999999999999997E-007
           1   4  8.303485680417730E-008
           2   4  2.570045154044148E-008
           3   4  1.292778695121008E-008
           4   4  7.999526961648309E-009
 time    7.9999999999999996E-007
           1   4  1.093973309377470E-007
           2   4  3.398253937968619E-008
           3   4  1.712503114786574E-008
           4   4  1.060901483954240E-008
 time    9.9999999999999995E-007
           1   4  1.353519505105009E-007
           2   4  4.217085120832837E-008
           3   4  2.128297298937014E-008
           4   4  1.319757345036329E-008
 time    1.5000000000000000E-006
           1   4  1.981719853602213E-007
           2   4  6.217932710502661E-008
           3   4  3.148126755769484E-008
           4   4  1.956183912315378E-008
 time    1.9999999999999999E-006
           1   4  2.592109401566770E-007
           2   4  8.180003740045517E-008
           3   4  4.151541963868206E-008
           4   4  2.583578375465433E-008
 time    3.0000000000000001E-006
           1   4  3.754163486420485E-007
           2   4  1.197879610877950E-007
           3   4  6.106411025602177E-008
           4   4  3.809920794804331E-008
 time    3.9999999999999998E-006
           1   4  4.865556164911178E-007
           2   4  1.566972345209291E-007
           3   4  8.017239753682976E-008
           4   4  5.012434455784733E-008
 time    6.0000000000000002E-006
           1   4  6.922394385131791E-007
           2   4  2.269632651157530E-007
           3   4  1.169479071452152E-007
           4   4  7.340526735160992E-008
 time    7.9999999999999996E-006
           1   4  8.836740175499713E-007
           2   4  2.941664572387844E-007
           3   4  1.524789056764445E-007
           4   4  9.602452728912407E-008
 time    9.9999999999999991E-006
           1   4  1.062498679330832E-006
           2   4  3.586510878919949E-007
           3   4  1.869021969106183E-007
           4   4  1.180545767631478E-007
 time    1.4999999999999999E-005
           1   4  1.445913573871677E-006
           2   4  5.059397252367739E-007
           3   4  2.672700777579402E-007
           4   4  1.700937297119158E-007
 time    1.9999999999999998E-005
           1   4  1.776126152267576E-006
           2   4  6.412815804225813E-007
           3   4  3.427421546000739E-007
           4   4  2.195165928130128E-007
 time    2.9999999999999997E-005
           1   4  2.277853401420125E-006
           2   4  8.734391031493568E-007
           3   4  4.777081021245685E-007
           4   4  3.097988828749725E-007
 time    3.9999999999999996E-005
           1   4  2.659521664040934E-006
           2   4  1.073409765367599E-006
           3   4  5.990470784986771E-007
           4   4  3.927354062323247E-007
 time    4.9999999999999996E-005
           1   4  2.949905207164118E-006
           2   4  1.246005106072318E-006
           3   4  7.084669630770115E-007
           4   4  4.691861499815145E-007
 time    5.9999999999999995E-005
           1   4  3.170764219046041E-006
           2   4  1.395108140378317E-006
           3   4  8.073079205163748E-007
           4   4  5.398063243076451E-007
 time    7.9999999999999993E-005
           1   4  3.441341964194259E-006
           2   4  1.622004156657413E-006
           3   4  9.705182677704715E-007
           4   4  6.614382324335561E-007
 time    9.9999999999999991E-005
           1   4  3.606585420098595E-006
           2   4  1.794584132378127E-006
           3   4  1.105375417082324E-006
           4   4  7.663265273905542E-007
 time    1.1999999999999999E-004
           1   4  3.707031955431872E-006
           2   4  1.925754162440665E-006
           3   4  1.216818149727545E-006
           4   4  8.568100750939839E-007
 time    1.3999999999999999E-004
           1   4  3.767640083652754E-006
           2   4  2.025352140476242E-006
           3   4  1.308893148449427E-006
           4   4  9.348556167440751E-007
 time    1.5999999999999999E-004
           1   4  3.803767351082168E-006
           2   4  2.100884467003064E-006
           3   4  1.384938098879994E-006
           4   4  1.002142892517183E-006
 time    1.7999999999999998E-004
           1   4  3.824858142220935E-006
           2   4  2.158078582961555E-006
           3   4  1.447713563439030E-006
           4   4  1.060117936629067E-006
 time    1.9999999999999998E-004
           1   4  3.836717314442218E-006
