! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  2.500000000000002E+000  5.566271554622839E-001  4.888538227489042E-001  5.140816585628254E-001  2.556772524839344E-001
  2.600000000000002E+000  5.588206068429065E-001  4.891991489139452E-001  5.160993928303608E-001  2.556772544401603E-001
  2.700000000000002E+000  5.609554817402053E-001  4.895183002107763E-001  5.180564914066151E-001  2.556772415002105E-001
  2.800000000000002E+000  5.630352819895414E-001  4.898147884791177E-001  5.199552168050072E-001  2.556772159223763E-001
  2.900000000000002E+000  5.650631591098583E-001  4.900916995141737E-001  5.217978858141336E-001  2.556771796756371E-001
  3.000000000000002E+000  5.670419585529582E-001  4.903517354474795E-001  5.235868402972339E-001  2.556771344691572E-001
  3.100000000000002E+000  5.689742577601453E-001  4.905972548264240E-001  5.253244207476874E-001  2.556770817803787E-001
  3.200000000000002E+000  5.708623990496535E-001  4.908303100924656E-001  5.270129432384730E-001  2.556770228813630E-001
  3.300000000000002E+000  5.727085181218750E-001  4.910526822867561E-001  5.286546799996962E-001  2.556769588631773E-001
  3.400000000000003E+000  5.745145688063233E-001  4.912659129123033E-001  5.302518435935438E-001  2.556768906582250E-001
  3.500000000000003E+000  5.762823445599630E-001  4.914713329594327E-001  5.318065744887320E-001  2.556768190605048E-001
  3.600000000000003E+000  5.780134971441738E-001  4.916700891604643E-001  5.333209317376473E-001  2.556767447438361E-001
  3.700000000000003E+000  5.797095528459557E-001  4.918631675835053E-001  5.347968864082433E-001  2.556766682781346E-001
  3.800000000000003E+000  5.813719265607482E-001  4.920514147067505E-001  5.362363174045772E-001  2.556765901438515E-001
  3.900000000000003E+000  5.830019340148205E-001  4.922355561359012E-001  5.376410093139126E-001  2.556765107447021E-001
  4.000000000000003E+000  5.846008023717704E-001  4.924162131400933E-001  5.390126519368230E-001  2.556764304188255E-001
  4.100000000000002E+000  5.861696794385108E-001  4.925939171876845E-001  5.403528411840640E-001  2.556763494485176E-001
  4.200000000000002E+000  5.877096416602504E-001  4.927691226637761E-001  5.416630810560963E-001  2.556762680686751E-001
  4.300000000000002E+000  5.892217010707629E-001  4.929422179476265E-001  5.429447864551631E-001  2.556761864740948E-001
  4.400000000000001E+000  5.907068113433890E-001  4.931135350212222E-001  5.441992866137200E-001  2.556761048257485E-001
  4.500000000000001E+000  5.921658730694378E-001  4.932833577710620E-001  5.454278289554966E-001  2.556760232561586E-001
  4.600000000000001E+000  5.935997383738788E-001  4.934519291344752E-001  5.466315832356280E-001  2.556759418739888E-001
  4.700000000000000E+000  5.950092149632350E-001  4.936194572301142E-001  5.478116458336820E-001  2.556758607679434E-001
  4.800000000000000E+000  5.963950696873389E-001  4.937861206001724E-001  5.489690440977802E-001  2.556757800100745E-001
  5.000000000000000E+000  5.991105158231769E-001  4.941155975606558E-001  5.512339209058430E-001  2.556756201172162E-001
  5.200000000000000E+000  6.017383516683179E-001  4.944434203086457E-001  5.534169404144189E-001  2.556754621998447E-001
  5.400000000000000E+000  6.042837258314079E-001  4.947702506229800E-001  5.555245539773649E-001  2.556753064329513E-001
  5.600000000000001E+000  6.067513261025919E-001  4.950966022356398E-001  5.575624308351382E-001  2.556751529232610E-001
  5.699999999999998E+000  6.079490753529657E-001  4.952607800116937E-001  5.585466062907807E-001  2.556750766114142E-001
  5.799999999999998E+000  6.091308782892145E-001  4.954248219283222E-001  5.595175532048793E-001  2.556750010032763E-001
  5.899999999999998E+000  6.102977807736243E-001  4.955886623550732E-001  5.604765601408210E-001  2.556749261247306E-001
  5.999999999999997E+000  6.114479704536023E-001  4.957525850280304E-001  5.614213154983345E-001  2.556748518425421E-001
  6.199999999999998E+000  6.137074567066261E-001  4.960798117171686E-001  5.632793064068452E-001  2.556747054740883E-001
  6.399999999999998E+000  6.159042429148315E-001  4.964076610776620E-001  5.650844640425726E-001  2.556745613885035E-001
  6.599999999999998E+000  6.180414365293870E-001  4.967363217395692E-001  5.668399423816647E-001  2.556744195758117E-001
  6.799999999999998E+000  6.201219085222729E-001  4.970659390590256E-001  5.685486042923757E-001  2.556742800129843E-001
  6.999999999999998E+000  6.221483203097312E-001  4.973966259985487E-001  5.702130541391870E-001  2.556741426686281E-001
  7.199999999999998E+000  6.241231454342747E-001  4.977284701233421E-001  5.718356674500168E-001  2.556740075059750E-001
  7.399999999999999E+000  6.260486878040094E-001  4.980615387362394E-001  5.734186172213874E-001  2.556738744849492E-001
