! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  1.392517998915019E-005  1.109732808135701E+000
  2.000000000000001E-001  6.952855190720222E-005  1.143114263903724E+000
  3.000000000000002E-001  1.650499853894061E-004  1.168271887922450E+000
  4.000000000000003E-001  2.922915918245383E-004  1.189636113134496E+000
  5.000000000000003E-001  4.412759930639317E-004  1.207436821101454E+000
  6.000000000000004E-001  6.059777446242324E-004  1.222744473481280E+000
  7.000000000000005E-001  7.835136141255847E-004  1.236886414176638E+000
  8.000000000000006E-001  9.690700935448155E-004  1.249181669452144E+000
  9.000000000000007E-001  1.160668859065775E-003  1.260019991029050E+000
  1.000000000000001E+000  1.356857846039988E-003  1.269670095804557E+000
  1.100000000000001E+000  1.556541912230527E-003  1.278328781357064E+000
  1.200000000000001E+000  1.758875177116552E-003  1.286146209616018E+000
  1.300000000000001E+000  1.963193006104385E-003  1.293240103979507E+000
  1.400000000000001E+000  2.168972241808626E-003  1.299703966914375E+000
  1.500000000000001E+000  2.375691294668401E-003  1.305525771827752E+000
  1.600000000000001E+000  2.583278491765384E-003  1.310879794536916E+000
  1.700000000000001E+000  2.791562625370511E-003  1.315795233625005E+000
  1.800000000000001E+000  3.000584048338105E-003  1.320290234822458E+000
  1.900000000000001E+000  3.210664254524089E-003  1.324362247236401E+000
  2.000000000000001E+000  3.422514741961515E-003  1.327984383609735E+000
  2.100000000000001E+000  3.637363565029365E-003  1.331102861778463E+000
  2.200000000000002E+000  3.857070882559030E-003  1.333638070386621E+000
  2.300000000000002E+000  4.084181223442608E-003  1.335492693857108E+000
  2.400000000000002E+000  4.321849504810494E-003  1.336569381693934E+000
  2.500000000000002E+000  4.573599678350444E-003  1.336796729915109E+000
  2.600000000000002E+000  4.842930522632509E-003  1.336157128605997E+000
  2.700000000000002E+000  5.132847520531033E-003  1.334706652175802E+000
  2.800000000000002E+000  5.445437197796739E-003  1.332578621289422E+000
  2.900000000000002E+000  5.781590049910503E-003  1.329968635382894E+000
  3.000000000000002E+000  6.140927681255341E-003  1.327106225799737E+000
  3.100000000000002E+000  6.521926241654689E-003  1.324222579473924E+000
  3.200000000000002E+000  6.922179470987101E-003  1.321523278396544E+000
  3.300000000000002E+000  7.338724725993606E-003  1.319171125629298E+000
  3.400000000000002E+000  7.769752506586829E-003  1.317337230840013E+000
  3.500000000000002E+000  8.209877771965451E-003  1.316056673902021E+000
  3.600000000000001E+000  8.656300521288905E-003  1.315341195924850E+000
  3.700000000000001E+000  9.106570786131871E-003  1.315174183244679E+000
  3.800000000000001E+000  9.558616973691706E-003  1.315519490639174E+000
  3.900000000000000E+000  1.001073916611294E-002  1.316328756161204E+000
  4.000000000000000E+000  1.046158090473014E-002  1.317547109437332E+000
  4.100000000000000E+000  1.091008992748197E-002  1.319117425372411E+000
  4.199999999999999E+000  1.135547517126057E-002  1.320983362723857E+000
  4.299999999999999E+000  1.179716466133409E-002  1.323091431714954E+000
  4.399999999999999E+000  1.223476687428114E-002  1.325392306576511E+000
  4.499999999999998E+000  1.266803675457288E-002  1.327841563064565E+000
  4.599999999999998E+000  1.309684667214225E-002  1.330399987772358E+000
  4.699999999999998E+000  1.352116209323668E-002  1.333033577941104E+000
  4.799999999999997E+000  1.393998091789772E-002  1.335759580234136E+000
  4.899999999999997E+000  1.435453985956370E-002  1.338497524702098E+000
  4.999999999999996E+000  1.476498930180103E-002  1.341228792656783E+000
  5.099999999999996E+000  1.517150609316321E-002  1.343938368425012E+000
  5.199999999999996E+000  1.557428618304071E-002  1.346614339722362E+000
  5.299999999999995E+000  1.597353861415907E-002  1.349247434931963E+000
  5.399999999999995E+000  1.636948062440374E-002  1.351830604628095E+000
  5.499999999999995E+000  1.676233365845046E-002  1.354358650147351E+000
  5.599999999999994E+000  1.715232012900640E-002  1.356827898922012E+000
  5.699999999999994E+000  1.753966079926205E-002  1.359235924305223E+000
  5.799999999999994E+000  1.792457268345881E-002  1.361581306445522E+000
  5.899999999999993E+000  1.830726738232466E-002  1.363863430176562E+000
  5.999999999999993E+000  1.868794978550043E-002  1.366082315696367E+000
