! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  4.035482754078670E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  4.035482754078670E+000
  1.000000000000000E-001  4.299254924559097E-001  4.485900312571426E-001  4.623711720537808E-001  4.031813851222008E+000
  2.000000000000000E-001  4.503899688202406E-001  4.526457499325386E-001  4.609302790655466E-001  4.029990072638412E+000
  3.000000000000000E-001  4.640055159861765E-001  4.558952849549426E-001  4.615168587300099E-001  4.028678500258573E+000
  4.000000000000001E-001  4.741729228565696E-001  4.587922558336742E-001  4.629414462475394E-001  4.027623264389359E+000
  5.000000000000001E-001  4.825894508245316E-001  4.613487071632821E-001  4.649398454825197E-001  4.026750389977789E+000
  6.000000000000002E-001  4.895953937423435E-001  4.636830206850990E-001  4.671730142959320E-001  4.025986179776526E+000
  7.000000000000003E-001  4.956354567237668E-001  4.658087730590866E-001  4.695769810889732E-001  4.025304119110791E+000
  8.000000000000004E-001  5.009781789897123E-001  4.677372549046574E-001  4.721031819056034E-001  4.024686661618880E+000
  9.000000000000005E-001  5.057975452448399E-001  4.694801107759420E-001  4.747139317808604E-001  4.024121528934365E+000
  1.000000000000000E+000  5.102114544694115E-001  4.710495219269623E-001  4.773791727813619E-001  4.023599755259138E+000
  1.100000000000001E+000  5.143022842937256E-001  4.724580773903287E-001  4.800744213825589E-001  4.023114570400673E+000
  1.200000000000001E+000  5.181289656780539E-001  4.737185452465739E-001  4.827794870471903E-001  4.022660722089251E+000
  1.300000000000001E+000  5.217345604423658E-001  4.748436302830386E-001  4.854776467661078E-001  4.022234044464073E+000
  1.400000000000001E+000  5.251512227452210E-001  4.758457553247217E-001  4.881550824187645E-001  4.021831172173090E+000
  1.500000000000001E+000  5.284035244503783E-001  4.767368814757625E-001  4.908004690681922E-001  4.021449344514271E+000
  1.600000000000001E+000  5.315107072255644E-001  4.775283713420190E-001  4.934046510209150E-001  4.021086267354538E+000
  1.700000000000001E+000  5.345148419957557E-001  4.782090155126500E-001  4.960042358937592E-001  4.020743735498617E+000
  1.800000000000001E+000  5.373976336997747E-001  4.788160706324909E-001  4.985352072777128E-001  4.020415821392906E+000
  1.900000000000001E+000  5.401704917844545E-001  4.793576971611173E-001  5.009975497599274E-001  4.020101236759213E+000
  2.000000000000001E+000  5.428431287118264E-001  4.798413876532138E-001  5.033913913169080E-001  4.019798865274952E+000
  2.100000000000001E+000  5.454239042591269E-001  4.802739845042763E-001  5.057171297220300E-001  4.019507734143614E+000
  2.200000000000002E+000  5.479200816684567E-001  4.806616950818816E-001  5.079754829063786E-001  4.019226991319600E+000
  2.300000000000002E+000  5.503380208074600E-001  4.810101172639407E-001  5.101674929983956E-001  4.018955887035780E+000
  2.400000000000002E+000  5.526833264307025E-001  4.813242720796135E-001  5.122945031684161E-001  4.018693758655740E+000
