! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  7.845461600677299E-005  4.035591442362354E+000
  0.000000000000000E+000  7.845461600677299E-005  4.035591442362354E+000
  1.000000000000000E-001  7.845455516043876E-005  4.035585520918834E+000
  2.000000000000000E-001  7.845449498357877E-005  4.035579521070084E+000
  3.000000000000000E-001  7.845443622353808E-005  4.035573514552683E+000
  4.000000000000000E-001  7.845437852714587E-005  4.035567503689905E+000
  5.000000000000000E-001  7.845432184177346E-005  4.035561489120839E+000
  6.000000000000000E-001  7.845426611842133E-005  4.035555471392188E+000
  8.000000000000000E-001  7.845415818029481E-005  4.035543426906172E+000
  1.000000000000000E+000  7.845405343377461E-005  4.035531376435200E+000
  1.200000000000000E+000  7.845395158987432E-005  4.035519322775310E+000
  1.400000000000000E+000  7.845385238435673E-005  4.035507268528890E+000
  1.600000000000000E+000  7.845375557537462E-005  4.035495216127668E+000
  1.800000000000000E+000  7.845366094160233E-005  4.035483167838274E+000
  2.000000000000000E+000  7.845356828065126E-005  4.035471125761200E+000
  2.500000000000000E+000  7.845334651898965E-005  4.035441083373184E+000
  3.000000000000000E+000  7.845313256330625E-005  4.035411124812568E+000
  3.500000000000000E+000  7.845292475867427E-005  4.035381265709697E+000
  4.000000000000000E+000  7.845272180201958E-005  4.035351516896001E+000
  4.500000000000000E+000  7.845252267500868E-005  4.035321885194366E+000
  5.000000000000000E+000  7.845232658755169E-005  4.035292374217655E+000
  6.000000000000000E+000  7.845194275829612E-005  4.035233830035023E+000
  7.000000000000000E+000  7.845156478737897E-005  4.035175747378647E+000
  8.000000000000000E+000  7.845119122469485E-005  4.035118100416907E+000
  9.000000000000000E+000  7.845082125775986E-005  4.035060860064306E+000
  1.000000000000000E+001  7.845045445709164E-005  4.035003997658690E+000
  1.100000000000000E+001  7.845009061640130E-005  4.034947486836381E+000
  1.200000000000000E+001  7.844972965373120E-005  4.034891304317551E+000
  1.400000000000000E+001  7.844901925451161E-005  4.034780116860853E+000
  1.600000000000000E+001  7.844832041452296E-005  4.034670007609517E+000
  1.800000000000000E+001  7.844763308057705E-005  4.034560906192604E+000
  2.000000000000000E+001  7.844695706154208E-005  4.034452762945614E+000
  2.200000000000000E+001  7.844629204266724E-005  4.034345542732076E+000
  2.400000000000000E+001  7.844563761863636E-005  4.034239220384217E+000
  2.600000000000000E+001  7.844499332702514E-005  4.034133777458239E+000
  2.800000000000000E+001  7.844435867607308E-005  4.034029199970463E+000
  3.000000000000000E+001  7.844373316564142E-005  4.033925476836937E+000
  3.500000000000000E+001  7.844221951108664E-005  4.033671411191855E+000
  4.000000000000000E+001  7.844074963846044E-005  4.033422464014978E+000
  4.500000000000000E+001  7.843931820421917E-005  4.033178516259330E+000
  5.000000000000000E+001  7.843792076543741E-005  4.032939446476421E+000
  5.500000000000000E+001  7.843655364664481E-005  4.032705130409054E+000
  6.000000000000000E+001  7.843521380632188E-005  4.032475441949411E+000
  6.500000000000000E+001  7.843389871806515E-005  4.032250254456640E+000
  7.000000000000000E+001  7.843260627075251E-005  4.032029442006465E+000
  7.500000000000000E+001  7.843133468727309E-005  4.031812880418906E+000
  8.000000000000000E+001  7.843008245953218E-005  4.031600448034750E+000
  9.000000000000000E+001  7.842764673903430E-005  4.031191279554974E+000
  1.000000000000000E+002  7.842527259026881E-005  4.030796918972555E+000
  1.100000000000000E+002  7.842295434760840E-005  4.030416546432475E+000
  1.200000000000000E+002  7.842068743464290E-005  4.030049400904697E+000
  1.300000000000000E+002  7.841846808549713E-005  4.029694776265694E+000
  1.400000000000000E+002  7.841629315008333E-005  4.029352017077830E+000
  1.500000000000000E+002  7.841415995481023E-005  4.029020514423256E+000
  1.600000000000000E+002  7.841206620077644E-005  4.028699701965063E+000
  1.700000000000000E+002  7.841000988789593E-005  4.028389052307536E+000
  1.800000000000000E+002  7.840798925737037E-005  4.028088073674173E+000
  1.900000000000000E+002  7.840600274741687E-005  4.027796306895460E+000
  2.000000000000000E+002  7.840404895875448E-005  4.027513322686047E+000
  2.100000000000000E+002  7.840212662739596E-005  4.027238719186271E+000
  2.200000000000000E+002  7.840023460298771E-005  4.026972119742282E+000
  2.300000000000000E+002  7.839837183141627E-005  4.026713170900032E+000
  2.400000000000000E+002  7.839653734073140E-005  4.026461540590460E+000
  2.500000000000000E+002  7.839473022967161E-005  4.026216916485341E+000
  2.600000000000000E+002  7.839294965824889E-005  4.025979004505438E+000
  2.700000000000000E+002  7.839119483997425E-005  4.025747527464820E+000
  2.800000000000000E+002  7.838946503539931E-005  4.025522223836833E+000
  2.900000000000000E+002  7.838775954672838E-005  4.025302846631083E+000
  2.950000000000000E+002  7.838691276297098E-005  4.025194602830293E+000
  3.000000000000000E+002  7.838607185882076E-005  4.025087776237772E+000
  3.010000000000000E+002  7.838590391151887E-005  4.025066467020602E+000
  3.020000000000000E+002  7.838573619704353E-005  4.025045213859934E+000
  3.030000000000000E+002  7.838556871485417E-005  4.025024016534507E+000
  3.035000000000000E+002  7.838548503167885E-005  4.025013431783756E+000
  3.040000000000000E+002  7.838540140636904E-005  4.025002860929856E+000
  3.045000000000000E+002  7.838531783885304E-005  4.024992303945303E+000
  3.050000000000000E+002  7.838523432905412E-005  4.024981760804498E+000
  3.055000000000000E+002  7.838515087688934E-005  4.024971231475913E+000
  3.056000000000000E+002  7.838513418876766E-005  4.024969126160860E+000
  3.058000000000000E+002  7.838510082173128E-005  4.024964917738627E+000
  3.060000000000000E+002  7.838506746390319E-005  4.024960711521712E+000
  3.065000000000000E+002  7.838498412678932E-005  4.024950209743446E+000
  3.070000000000000E+002  7.838490084708821E-005  4.024939721697220E+000
  3.075000000000000E+002  7.838481762471420E-005  4.024929247355295E+000
  3.080000000000000E+002  7.838473445958859E-005  4.024918786690463E+000
  3.081000000000000E+002  7.838471782885875E-005  4.024916695102706E+000
  3.082000000000000E+002  7.838470120041501E-005  4.024914604061393E+000
  3.084000000000000E+002  7.838466795267142E-005  4.024910424163807E+000
  3.086000000000000E+002  7.838463471407180E-005  4.024906246448946E+000
  3.088000000000000E+002  7.838460148461640E-005  4.024902070915298E+000
  3.090000000000000E+002  7.838456826429735E-005  4.024897897560948E+000
  3.095000000000000E+002  7.838448527049503E-005  4.024887477775917E+000
  3.100000000000000E+002  7.838440233364866E-005  4.024877071560610E+000
  3.105000000000000E+002  7.838431945366796E-005  4.024866678887383E+000
  3.110000000000000E+002  7.838423663047949E-005  4.024856299729553E+000
  3.111000000000000E+002  7.838422006811793E-005  4.024854224436788E+000
  3.112000000000000E+002  7.838420350802639E-005  4.024852149684102E+000
  3.114000000000000E+002  7.838417039690747E-005  4.024848002337216E+000
  3.116000000000000E+002  7.838413729485821E-005  4.024843857147411E+000
  3.118000000000000E+002  7.838410420187531E-005  4.024839714112843E+000
  3.120000000000000E+002  7.838407111795353E-005  4.024835573231844E+000
  3.125000000000000E+002  7.838398846472775E-005  4.024825234471246E+000
  3.130000000000000E+002  7.838390586800485E-005  4.024814909120361E+000
  3.131000000000000E+002  7.838388935092121E-005  4.024812844584554E+000
  3.132000000000000E+002  7.838387283609245E-005  4.024810780584502E+000
  3.134000000000000E+002  7.838383981545670E-005  4.024806654726428E+000
  3.136000000000000E+002  7.838380680384987E-005  4.024802531007983E+000
  3.138000000000000E+002  7.838377380126486E-005  4.024798409428480E+000
  3.140000000000000E+002  7.838374080768780E-005  4.024794289984748E+000
  3.145000000000000E+002  7.838365838002390E-005  4.024784004714006E+000
  3.146000000000000E+002  7.838364189674012E-005  4.024781948191047E+000
  3.148000000000000E+002  7.838360893916129E-005  4.024777837275652E+000
  3.150000000000000E+002  7.838357599057098E-005  4.024773728488414E+000
  3.155000000000000E+002  7.838349367523135E-005  4.024763469805405E+000
  3.156000000000000E+002  7.838347721440157E-005  4.024761418597622E+000
  3.158000000000000E+002  7.838344430172640E-005  4.024757318304847E+000
  3.160000000000000E+002  7.838341139800998E-005  4.024753220131552E+000
  3.165000000000000E+002  7.838332919468110E-005  4.024742987930097E+000
  3.170000000000000E+002  7.838324704727512E-005  4.024732768929273E+000
  3.171000000000000E+002  7.838323062002253E-005  4.024730725655094E+000
  3.172000000000000E+002  7.838321419501875E-005  4.024728682908790E+000
  3.174000000000000E+002  7.838318135392196E-005  4.024724599524321E+000
  3.176000000000000E+002  7.838314852175793E-005  4.024720518246697E+000
  3.178000000000000E+002  7.838311569851763E-005  4.024716439073689E+000
  3.180000000000000E+002  7.838308288418713E-005  4.024712362003706E+000
  3.185000000000000E+002  7.838300090404832E-005  4.024702182458170E+000
  3.190000000000000E+002  7.838291897952510E-005  4.024692016010241E+000
  3.195000000000000E+002  7.838283711054208E-005  4.024681862633590E+000
  3.200000000000000E+002  7.838275529703335E-005  4.024671722303326E+000
