! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.140585232712487E-007  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  3.170387779972145E-008  6.766386506052755E-004  4.417729623828245E-008  3.340616007661915E-002  3.758491975292041E-004  1.880174566873368E-011
  2.000000000000000E-001  2.264712277585055E-008  1.333977197175591E-003  2.913058165393671E-008  5.342848355307414E-002  6.975787121457686E-004  3.062065480976097E-011
  3.000000000000000E-001  1.831077433651100E-008  1.967052634040662E-003  2.269779813793130E-008  6.908763526073106E-002  9.949318982442471E-004  4.003466265123380E-011
  4.000000000000001E-001  1.570469067560558E-008  2.574451450353108E-003  1.903138991396071E-008  8.224543102524470E-002  1.278032020818443E-003  4.800518817533657E-011
  5.000000000000001E-001  1.398245543323433E-008  3.151058133486583E-003  1.667339670206441E-008  9.337400954646038E-002  1.550298814117019E-003  5.475881222378538E-011
  6.000000000000002E-001  1.274666660793240E-008  3.700369682939867E-003  1.500810483595943E-008  1.031092070075982E-001  1.815890461739897E-003  6.066402578594586E-011
  7.000000000000003E-001  1.182200993990991E-008  4.222337922274483E-003  1.377148576496613E-008  1.116499146632242E-001  2.076372871057564E-003  6.583361932657731E-011
  8.000000000000004E-001  1.110888589960757E-008  4.717390240387543E-003  1.281939930832739E-008  1.191401013507470E-001  2.332806600428419E-003  7.035419261151283E-011
  9.000000000000005E-001  1.054611987363815E-008  5.186363855932017E-003  1.206603185584898E-008  1.256933792926116E-001  2.585915775022752E-003  7.429719707870127E-011
  1.000000000000000E+000  1.009388395012786E-008  5.630433766954622E-003  1.145688760802306E-008  1.314054448939093E-001  2.836193415600780E-003  7.772443477995711E-011
  1.100000000000001E+000  9.725054842447447E-009  6.051033717926820E-003  1.095558541521984E-008  1.363605671005221E-001  3.083970831776666E-003  8.069091185516293E-011
  1.200000000000001E+000  9.420491924648363E-009  6.449774768509681E-003  1.053685263057206E-008  1.406349848550599E-001  3.329465160396170E-003  8.324635783239234E-011
  1.300000000000001E+000  9.166293796427925E-009  6.828367641219141E-003  1.018255871427285E-008  1.442986591912578E-001  3.572812846232409E-003  8.543605503720672E-011
  1.400000000000001E+000  8.952122044933770E-009  7.188554204246654E-003  9.879348200864178E-009  1.474161541557057E-001  3.814093685287375E-003  8.730131279418235E-011
  1.500000000000001E+000  8.770133411574604E-009  7.532051428295689E-003  9.617164647432322E-009  1.500470743878426E-001  4.053348320144780E-003  8.887976580140987E-011
  1.600000000000001E+000  8.614275539703381E-009  7.860508958756651E-003  9.388295207403997E-009  1.522462967978505E-001  4.290591073153783E-003  9.020559312993548E-011
  1.700000000000001E+000  8.479808913988264E-009  8.175479688446537E-003  9.186732061843861E-009  1.540641250434579E-001  4.525819391251144E-003  9.130970812162518E-011
  1.800000000000001E+000  8.362974390133484E-009  8.478401624273569E-003  9.007733605560326E-009  1.555464326138631E-001  4.759020787903897E-003  9.221994334923412E-011
  1.900000000000001E+000  8.260757141548366E-009  8.770588864977511E-003  8.847515495245831E-009  1.567348243348263E-001  4.990177913060678E-003  9.296124025302620E-011
  2.000000000000001E+000  8.172519246998659E-009  9.051234153063283E-003  8.704917445333788E-009  1.576168486207601E-001  5.218734283718269E-003  9.352772027049982E-011
  2.100000000000001E+000  8.093879564723805E-009  9.323834867292250E-003  8.574961763593158E-009  1.582912226099240E-001  5.445189732203174E-003  9.397608248041623E-011
  2.200000000000002E+000  8.023345147991127E-009  9.589254892491249E-003  8.455778841894902E-009  1.587849628349891E-001  5.669535596918120E-003  9.432187464319750E-011
  2.300000000000002E+000  7.959673245516650E-009  9.848261548910732E-003  8.345820557768304E-009  1.591221869041781E-001  5.891768254164851E-003  9.457889255649748E-011
  2.400000000000002E+000  7.901824930776475E-009  1.010153370661906E-002  8.243798661704388E-009  1.593243236938643E-001  6.111889131840716E-003  9.475932323861421E-011
  2.500000000000002E+000  7.848928642644507E-009  1.034967000708034E-002  8.148636552400231E-009  1.594103279321682E-001  6.329904614206786E-003  9.487388754146985E-011
  2.600000000000002E+000  7.800251200376840E-009  1.059319691852914E-002  8.059431125787987E-009  1.593968941310423E-001  6.545825852572735E-003  9.493197922494595E-011
  2.700000000000002E+000  7.755174516750159E-009  1.083257643350940E-002  7.975422296214114E-009  1.592986657701679E-001  6.759668499484638E-003  9.494179829947570E-011
  2.800000000000002E+000  7.713176703925813E-009  1.106821328503031E-002  7.895968432685001E-009  1.591284365892082E-001  6.971452384430656E-003  9.491047709750619E-011
  2.900000000000002E+000  7.673816604243608E-009  1.130046161095576E-002  7.820526407944781E-009  1.588973416959836E-001  7.181201148137871E-003  9.484419808032980E-011
  3.000000000000002E+000  7.636721022078626E-009  1.152963103580465E-002  7.748635283423884E-009  1.586150369238058E-001  7.388941850845227E-003  9.474830282275960E-011
  3.100000000000002E+000  7.601574110268623E-009  1.175599216735955E-002  7.679902888540730E-009  1.582898654733869E-001  7.594704567901418E-003  9.462739195707673E-011
  3.200000000000002E+000  7.568108494371951E-009  1.197978152475371E-002  7.613994725183101E-009  1.579290113638495E-001  7.798521983902747E-003  9.448541611547017E-011
  3.300000000000002E+000  7.536097813498398E-009  1.220120592718678E-002  7.550624755694452E-009  1.575386396065267E-001  8.000428994505159E-003  9.432575810179392E-011
  3.400000000000003E+000  7.505350427165294E-009  1.242044637988863E-002  7.489547727984704E-009  1.571240233179123E-001  8.200462323104179E-003  9.415130666180510E-011
  3.500000000000003E+000  7.475704090370667E-009  1.263766149781788E-002  7.430552763335419E-009  1.566896582170214E-001  8.398660157823703E-003  9.396452231682733E-011
  3.600000000000003E+000  7.447021438737860E-009  1.285299050891699E-002  7.373457987350539E-009  1.562393651191565E-001  8.595061812709979E-003  9.376749578774679E-011
  3.700000000000003E+000  7.419186155705756E-009  1.306655587834945E-002  7.318106026801742E-009  1.557763811530122E-001  8.789707415696534E-003  9.356199957147432E-011
  3.800000000000003E+000  7.392099716871420E-009  1.327846559360284E-002  7.264360228061070E-009  1.553034405003677E-001  8.982637624782635E-003  9.334953324628370E-011
  3.900000000000003E+000  7.365678624587419E-009  1.348881514807801E-002  7.212101478744899E-009  1.548228454953721E-001  9.173893372941153E-003  9.313136308048437E-011
  4.000000000000003E+000  7.339852060114328E-009  1.369768925810315E-002  7.161225534820797E-009  1.543365289306329E-001  9.363515641524951E-003  9.290855650460742E-011
  4.100000000000002E+000  7.314559891998823E-009  1.390516334542654E-002  7.111640772005208E-009  1.538461084060524E-001  9.551545261356573E-003  9.268201198389325E-011
  4.200000000000002E+000  7.289750988590243E-009  1.411130481430365E-002  7.063266293730724E-009  1.533529335288393E-001  9.738022740244472E-003  9.245248479802773E-011
  4.300000000000002E+000  7.265381790230914E-009  1.431617414940519E-002  7.016030338973704E-009  1.528581267337401E-001  9.922988115351940E-003  9.222060920096267E-011
  4.400000000000001E+000  7.241415103024320E-009  1.451982585800120E-002  6.969868942320513E-009  1.523626184450279E-001  1.010648082863320E-002  9.198691739705969E-011
  4.500000000000001E+000  7.217819081467850E-009  1.472230927726622E-002  6.924724806201757E-009  1.518671772491645E-001  1.028853962342737E-002  9.175185573214357E-011
  4.600000000000001E+000  7.194566371828028E-009  1.492366926512689E-002  6.880546351534215E-009  1.513724356918208E-001  1.046920246024933E-002  9.151579846046874E-011
  4.700000000000000E+000  7.171633392080342E-009  1.512394679084898E-002  6.837286918308054E-009  1.508789122570342E-001  1.064850644982213E-002  9.127905941195828E-011
  4.800000000000000E+000  7.148999727641124E-009  1.532317943953901E-002  6.794904092119846E-009  1.503870300312326E-001  1.082648780144507E-002  9.104190184900869E-011
  5.000000000000000E+000  7.104658889173249E-009  1.571769458639174E-002  6.712795692136183E-009  1.494116760457692E-001  1.117741740814548E-002  9.056770857288694E-011
  5.200000000000000E+000  7.061312447056442E-009  1.610848948230082E-002  6.633739441879472E-009  1.484463613636745E-001  1.152357621290627E-002  9.009419035721680E-011
  5.400000000000000E+000  7.018875374721541E-009  1.649576729593878E-002  6.557508652994024E-009  1.474921497935862E-001  1.186521013842591E-002  8.962223062543846E-011
  5.600000000000001E+000  6.977278220742896E-009  1.687970928638878E-002  6.483904728924173E-009  1.465497074118350E-001  1.220254939662389E-002  8.915248304452863E-011
  5.699999999999998E+000  6.956724712945904E-009  1.707120198209371E-002  6.447920605719461E-009  1.460804532298241E-001  1.237059684043898E-002  8.891764884169721E-011
  5.799999999999998E+000  6.936367382931142E-009  1.726177337558676E-002  6.412551940287878E-009  1.456149898371231E-001  1.253744820769285E-002  8.868385991696681E-011
  5.899999999999998E+000  6.916206013826104E-009  1.745138171428720E-002  6.377788691858163E-009  1.451534813077635E-001  1.270305574692319E-002  8.845117803769352E-011
  5.999999999999997E+000  6.896223459958515E-009  1.764024038800310E-002  6.343583767674198E-009  1.446951264208697E-001  1.286769794179725E-002  8.821931225171572E-011
  6.199999999999998E+000  6.856823884309764E-009  1.801506637710909E-002  6.276883413430212E-009  1.437903959528247E-001  1.319329765512643E-002  8.775908414116102E-011
  6.399999999999998E+000  6.818084876605258E-009  1.838712601547675E-002  6.212212697872403E-009  1.428977505503885E-001  1.351538837325403E-002  8.730222716414719E-011
  6.599999999999998E+000  6.779971933449824E-009  1.875653467610372E-002  6.149454486117719E-009  1.420171700963662E-001  1.383413390920592E-002  8.684896753142376E-011
  6.799999999999998E+000  6.742454937616641E-009  1.912339918686399E-002  6.088502315381820E-009  1.411485553173683E-001  1.414968725203323E-002  8.639946303871737E-011
  6.999999999999998E+000  6.705507200601694E-009  1.948781881331341E-002  6.029258924986205E-009  1.402917558372724E-001  1.446219145137223E-002  8.595382431861645E-011
  7.199999999999998E+000  6.669104786079147E-009  1.984988610547355E-002  5.971635082370565E-009  1.394465884478934E-001  1.477178040131706E-002  8.551212806054270E-011
  7.399999999999999E+000  6.633226018311478E-009  2.020968761527033E-002  5.915548626357791E-009  1.386128493740906E-001  1.507857954945733E-002  8.507442573084221E-011
  7.599999999999999E+000  6.597851115379675E-009  2.056730450330449E-002  5.860923673810711E-009  1.377903226103952E-001  1.538270654398870E-002  8.464074957712053E-011
  7.799999999999999E+000  6.562961908678615E-009  2.092281305487733E-002  5.807689951921967E-009  1.369787856197529E-001  1.568427182642637E-002  8.421111689570097E-011
  7.999999999999999E+000  6.528541623366145E-009  2.127628512266768E-002  5.755782229001679E-009  1.361780132390962E-001  1.598337917512245E-002  8.378553314727545E-011
  8.199999999999999E+000  6.494574702806424E-009  2.162778851012371E-002  5.705139823897702E-009  1.353877803574384E-001  1.628012620373528E-002  8.336399428850055E-011
  8.399999999999999E+000  6.461046665440789E-009  2.197738730658211E-002  5.655706179255320E-009  1.346078637493302E-001  1.657460481828468E-002  8.294648855784953E-011
  8.599999999999998E+000  6.427943986068462E-009  2.232514218264984E-002  5.607428487410045E-009  1.338380433241325E-001  1.686690163613186E-002  8.253299787332249E-011
  8.799999999999997E+000  6.395253995889363E-009  2.267111065247380E-002  5.560257360274233E-009  1.330781029689281E-001  1.715709837000792E-002  8.212349894794169E-011
  8.999999999999996E+000  6.362964797263653E-009  2.301534730808406E-002  5.514146536439809E-009  1.323278311069139E-001  1.744527218002326E-002  8.171796419532820E-011
  9.199999999999996E+000  6.331065190238154E-009  2.335790402991771E-002  5.469052620089291E-009  1.315870210551237E-001  1.773149599640140E-002  8.131636247551504E-011
  9.399999999999995E+000  6.299544608647165E-009  2.369883017682118E-002  5.424934847331405E-009  1.308554712395382E-001  1.801583881548904E-002  8.091865971644219E-011
  9.599999999999994E+000  6.268393064125888E-009  2.403817275821575E-002  5.381754876356526E-009  1.301329853080684E-001  1.829836597140319E-002  8.052481943669605E-011
