! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.326794453725427E-001  4.494069740395936E-001  4.620620307480712E-001  2.556650084413468E-001
  2.000000000000000E-001  4.534234519243222E-001  4.543966052355331E-001  4.606381103682050E-001  2.556633166968508E-001
  3.000000000000000E-001  4.671182920036798E-001  4.583431200705129E-001  4.612170835125063E-001  2.556641163745806E-001
  4.000000000000001E-001  4.772979786615344E-001  4.618674722024002E-001  4.626212550398445E-001  2.556653950593012E-001
  5.000000000000001E-001  4.856943089966641E-001  4.649946781398731E-001  4.645923190332957E-001  2.556667378588199E-001
  6.000000000000002E-001  4.926649305790901E-001  4.678594276160548E-001  4.667978303698835E-001  2.556680526467969E-001
  7.000000000000003E-001  4.986612776436769E-001  4.704760899663333E-001  4.691757267839572E-001  2.556692907696810E-001
  8.000000000000004E-001  5.039556536217449E-001  4.728577915258566E-001  4.716785386948033E-001  2.556704309714559E-001
  9.000000000000005E-001  5.087244001942127E-001  4.750181051627034E-001  4.742692037763651E-001  2.556714648944870E-001
  1.000000000000000E+000  5.130869978091801E-001  4.769713244010018E-001  4.769179776971986E-001  2.556723910270864E-001
  1.100000000000001E+000  5.171269089822397E-001  4.787322977807340E-001  4.796004748130611E-001  2.556732118295013E-001
  1.200000000000001E+000  5.209037933657664E-001  4.803161348233448E-001  4.822964482637720E-001  2.556739321691713E-001
  1.300000000000001E+000  5.244611723439057E-001  4.817378990999195E-001  4.849890090580926E-001  2.556745583644431E-001
  1.400000000000001E+000  5.278314565390634E-001  4.830123347306217E-001  4.876640974760191E-001  2.556750975488574E-001
  1.500000000000001E+000  5.310393263193699E-001  4.841536438666286E-001  4.903100980227160E-001  2.556755572271445E-001
  1.600000000000001E+000  5.341040300677996E-001  4.851753189447108E-001  4.929175364743946E-001  2.556759449591427E-001
  1.700000000000001E+000  5.370409514239624E-001  4.860900265078640E-001  4.954788251077544E-001  2.556762681358890E-001
  1.800000000000001E+000  5.398626778497382E-001  4.869095360255634E-001  4.979880379244954E-001  2.556765338250074E-001
  1.900000000000001E+000  5.425797294695333E-001  4.876446859268285E-001  5.004407065067165E-001  2.556767486690739E-001
  2.000000000000001E+000  5.452191757004053E-001  4.882879654251637E-001  5.028650957473177E-001  2.556769099889522E-001
  2.100000000000001E+000  5.477681920341497E-001  4.888702773198054E-001  5.052181053355291E-001  2.556770349009714E-001
  2.200000000000002E+000  5.502338994193776E-001  4.893988582443007E-001  5.075011639111396E-001  2.556771280068943E-001
  2.300000000000002E+000  5.526225489061186E-001  4.898802364799246E-001  5.097158288575864E-001  2.556771934628873E-001
  2.400000000000002E+000  5.549396579284422E-001  4.903202706121769E-001  5.118638186164151E-001  2.556772349975350E-001
  2.500000000000002E+000  5.571901195509198E-001  4.907241930762366E-001  5.139470142640475E-001  2.556772559338968E-001
  2.600000000000002E+000  5.593782912056650E-001  4.910966564148302E-001  5.159674430586824E-001  2.556772592159881E-001
  2.700000000000002E+000  5.615080678219482E-001  4.914417805324495E-001  5.179272523170388E-001  2.556772474377761E-001
  2.800000000000002E+000  5.635829429357866E-001  4.917631996537216E-001  5.198286790771927E-001  2.556772228732508E-001
  2.900000000000002E+000  5.656060603746246E-001  4.920641080341165E-001  5.216740190471227E-001  2.556771875064892E-001
  3.000000000000002E+000  5.675802583947290E-001  4.923473037411265E-001  5.234655970116669E-001  2.556771430609377E-001
  3.100000000000002E+000  5.695081076445899E-001  4.926152300368336E-001  5.252057399686909E-001  2.556770910273676E-001
  3.200000000000002E+000  5.713919439791472E-001  4.928700140599792E-001  5.268967536540705E-001  2.556770326901385E-001
  3.300000000000002E+000  5.732338969106466E-001  4.931135026366779E-001  5.285409027050803E-001  2.556769691515546E-001
  3.400000000000003E+000  5.750359143174918E-001  4.933472951510744E-001  5.301403944422044E-001  2.556769013541992E-001
  3.500000000000003E+000  5.767997839176322E-001  4.935727734862045E-001  5.316973660784058E-001  2.556768301012238E-001
  3.600000000000003E+000  5.785271519306547E-001  4.937911291054198E-001  5.332138750631580E-001  2.556767560746223E-001
  3.700000000000003E+000  5.802195392913667E-001  4.940033873893718E-001  5.346918922152434E-001  2.556766798515674E-001
  3.800000000000003E+000  5.818783557298517E-001  4.942104293754598E-001  5.361332972785152E-001  2.556766019189167E-001
  3.900000000000003E+000  5.835049119940190E-001  4.944130110680772E-001  5.375398765376885E-001  2.556765226860137E-001
  4.000000000000003E+000  5.851004304577033E-001  4.946117805008312E-001  5.389133221488994E-001  2.556764424959195E-001
  4.100000000000002E+000  5.866660543286071E-001  4.948072927378140E-001  5.402552328665520E-001  2.556763616352160E-001
  4.200000000000002E+000  5.882028556448439E-001  4.950000230013629E-001  5.415671158797842E-001  2.556762803425198E-001
