! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  3.513745443439675E-006  1.084357656748964E+000
  2.000000000000000E-001  1.218979383869806E-005  1.092509030998526E+000
  3.000000000000000E-001  2.471424454882734E-005  1.098424975503990E+000
  4.000000000000001E-001  4.002114719275829E-005  1.102917979896175E+000
  5.000000000000001E-001  5.775721417294945E-005  1.106844389540577E+000
  6.000000000000002E-001  7.705990427411796E-005  1.110043504490410E+000
  7.000000000000003E-001  9.752601972201963E-005  1.112736360400111E+000
  8.000000000000004E-001  1.188449596605640E-004  1.115054084677522E+000
  9.000000000000005E-001  1.407793611939908E-004  1.117082521754225E+000
  1.000000000000000E+000  1.631506264126254E-004  1.118881751984473E+000
  1.100000000000001E+000  1.858273996561677E-004  1.120495876977413E+000
  1.200000000000001E+000  2.087160958095611E-004  1.121958425521754E+000
  1.300000000000001E+000  2.317530183030604E-004  1.123295567779466E+000
  1.400000000000001E+000  2.548977943033679E-004  1.124528140803821E+000
  1.500000000000001E+000  2.781279366470999E-004  1.125672987199413E+000
  1.600000000000001E+000  3.014343795660558E-004  1.126743875705288E+000
  1.700000000000001E+000  3.248178552695570E-004  1.127752155836236E+000
  1.800000000000001E+000  3.482859920642994E-004  1.128707236842424E+000
  1.900000000000001E+000  3.718956495915702E-004  1.129637673090906E+000
  2.000000000000001E+000  3.956358123449126E-004  1.130528197478918E+000
  2.100000000000001E+000  4.195196677242072E-004  1.131384256045359E+000
  2.200000000000002E+000  4.435611713969613E-004  1.132210358981919E+000
  2.300000000000002E+000  4.677743825393150E-004  1.133010235638047E+000
  2.400000000000002E+000  4.921729847752888E-004  1.133786962238750E+000
  2.500000000000002E+000  5.167699521241197E-004  1.134543068858296E+000
  2.600000000000002E+000  5.415773268481838E-004  1.135280630038165E+000
  2.700000000000002E+000  5.666060827749748E-004  1.136001342020013E+000
  2.800000000000002E+000  5.918660533260119E-004  1.136706588661789E+000
  2.900000000000002E+000  6.173659081050095E-004  1.137397497554722E+000
  3.000000000000002E+000  6.431131655511186E-004  1.138074987538887E+000
  3.100000000000002E+000  6.691142319819231E-004  1.138739808636060E+000
  3.200000000000002E+000  6.953744594907132E-004  1.139392575317504E+000
  3.300000000000002E+000  7.218982167773439E-004  1.140033793959619E+000
  3.400000000000003E+000  7.486889682176615E-004  1.140663885287077E+000
  3.500000000000003E+000  7.757493574233210E-004  1.141283202548164E+000
  3.600000000000003E+000  8.030812922949852E-004  1.141892046105569E+000
  3.700000000000003E+000  8.306860291862619E-004  1.142490675057735E+000
  3.800000000000003E+000  8.585642543123961E-004  1.143079316433397E+000
  3.900000000000003E+000  8.867161609810631E-004  1.143658172428308E+000
  4.000000000000003E+000  9.151415216069695E-004  1.144227426081508E+000
  4.100000000000002E+000  9.438397538052799E-004  1.144787245721394E+000
  4.200000000000002E+000  9.728099801456252E-004  1.145337788451003E+000
  4.300000000000002E+000  1.002051081391282E-003  1.145879202888411E+000
  4.400000000000001E+000  1.031561743249368E-003  1.146411631332314E+000
  4.500000000000001E+000  1.061340496819921E-003  1.146935211484483E+000
  4.600000000000001E+000  1.091385753057399E-003  1.147450077829457E+000
  4.800000000000001E+000  1.152536258459239E-003  1.148472915739851E+000
  5.000000000000001E+000  1.214731233429521E-003  1.149460222995423E+000
  5.200000000000001E+000  1.277955052299891E-003  1.150413346338591E+000
  5.400000000000001E+000  1.342192074358341E-003  1.151333625712054E+000
  5.600000000000001E+000  1.407426664588681E-003  1.152222399685791E+000
  5.800000000000002E+000  1.473643169615708E-003  1.153081006853760E+000
  6.000000000000002E+000  1.540825870574957E-003  1.153910784139314E+000
  6.200000000000002E+000  1.608958928877678E-003  1.154713062875993E+000
  6.400000000000002E+000  1.678026335741546E-003  1.155489163441124E+000
  6.600000000000002E+000  1.748011872133135E-003  1.156240389112101E+000
  6.800000000000002E+000  1.818899082484863E-003  1.156968019695783E+000
  7.000000000000003E+000  1.890671263155502E-003  1.157673305359388E+000
  7.200000000000003E+000  1.963311464980477E-003  1.158357460974951E+000
  7.400000000000003E+000  2.036802508259620E-003  1.159021661185341E+000
  7.600000000000003E+000  2.111127008008552E-003  1.159667036311198E+000
  7.800000000000003E+000  2.186267407122323E-003  1.160294669146880E+000
  8.000000000000004E+000  2.262206015154848E-003  1.160905592638744E+000
  8.200000000000003E+000  2.338925050616856E-003  1.161500788399661E+000
  8.400000000000002E+000  2.416406684972333E-003  1.162081185987376E+000
  8.600000000000001E+000  2.494633086821516E-003  1.162647662858725E+000
  8.800000000000001E+000  2.573586465065605E-003  1.163201044904673E+000
  9.000000000000000E+000  2.653249110134651E-003  1.163742107470285E+000
  9.199999999999999E+000  2.733603432614568E-003  1.164271576767437E+000
  9.399999999999999E+000  2.814631998826931E-003  1.164790131594764E+000
  9.599999999999998E+000  2.896317563095785E-003  1.165298405287667E+000
  9.799999999999997E+000  2.978643096580764E-003  1.165796987830515E+000
  9.999999999999996E+000  3.061591812669180E-003  1.166286428072544E+000
  1.050000000000000E+001  3.272632815862488E-003  1.167506485350411E+000
  1.100000000000000E+001  3.487106027225178E-003  1.168677130844558E+000
  1.150000000000000E+001  3.704781622999147E-003  1.169804361405497E+000
  1.200000000000000E+001  3.925441601967631E-003  1.170893064701535E+000
  1.250000000000000E+001  4.148881140757324E-003  1.171947261889043E+000
  1.300000000000000E+001  4.374908687263378E-003  1.172970284267989E+000
  1.350000000000000E+001  4.603345552772182E-003  1.173964908812169E+000
  1.400000000000000E+001  4.834025299242215E-003  1.174933464857247E+000
  1.409999999999999E+001  4.880214091768335E-003  1.175117761083231E+000
  1.420000000000000E+001  4.926504738075633E-003  1.175301644972846E+000
  1.430000000000000E+001  4.972902199018861E-003  1.175485335259131E+000
  1.440000000000000E+001  5.019383456052700E-003  1.175668180102566E+000
  1.459999999999999E+001  5.112671270940765E-003  1.176033884419349E+000
  1.479999999999999E+001  5.206275348192317E-003  1.176396252794673E+000
  1.499999999999999E+001  5.300186828291270E-003  1.176755377215639E+000
  1.549999999999999E+001  5.536763411168287E-003  1.177656938207720E+000
  1.599999999999999E+001  5.775020879438944E-003  1.178538708058306E+000
  1.649999999999999E+001  6.014845689320701E-003  1.179401811784859E+000
  1.699999999999999E+001  6.256130861062762E-003  1.180247199879470E+000
  1.749999999999999E+001  6.498776497457653E-003  1.181075701540834E+000
  1.799999999999999E+001  6.742689555165418E-003  1.181888052338798E+000
