! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  4.023902704077658E-007  1.066513025232570E+000
  2.000000000000001E-001  1.698681153830543E-006  1.068535187782810E+000
  3.000000000000001E-001  3.895987541619061E-006  1.071036873393628E+000
  4.000000000000002E-001  6.870728113475030E-006  1.073392224929032E+000
  5.000000000000002E-001  1.053432917318879E-005  1.075575022663876E+000
  6.000000000000003E-001  1.490697253193757E-005  1.077773619006209E+000
  7.000000000000004E-001  1.983262691704973E-005  1.079756231591921E+000
  8.000000000000005E-001  2.526250630707946E-005  1.081569369957451E+000
  9.000000000000006E-001  3.116004563381234E-005  1.083245267654299E+000
  1.000000000000001E+000  3.749849299853406E-005  1.084807979103321E+000
  1.100000000000001E+000  4.425869983340271E-005  1.086276195938772E+000
  1.200000000000001E+000  5.142723642550836E-005  1.087664771041011E+000
  1.300000000000001E+000  5.899485493444072E-005  1.088985652757435E+000
  1.400000000000001E+000  6.695527666667642E-005  1.090248512770191E+000
  1.500000000000001E+000  7.530426337132473E-005  1.091461196015493E+000
  1.600000000000001E+000  8.414037928474104E-005  1.092684807553336E+000
  1.700000000000001E+000  9.336375989488421E-005  1.093862020663700E+000
  1.800000000000001E+000  1.029719415427651E-004  1.094998204392592E+000
  1.900000000000001E+000  1.129629049748664E-004  1.096097593642570E+000
  2.000000000000001E+000  1.233349126835051E-004  1.097163547111808E+000
  2.100000000000001E+000  1.340863908865374E-004  1.098198747548788E+000
  2.200000000000002E+000  1.452158433912968E-004  1.099205359001109E+000
  2.300000000000002E+000  1.567217885017520E-004  1.100185150521321E+000
  2.400000000000002E+000  1.686027130377808E-004  1.101139592958656E+000
  2.500000000000002E+000  1.808570395405566E-004  1.102069933885516E+000
  2.600000000000002E+000  1.934831040197284E-004  1.102977254761354E+000
  2.700000000000002E+000  2.064791423570885E-004  1.103862513792531E+000
