! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000001E-001  3.678843586631560E-006  1.066202898293919E+000
  2.000000000000001E-001  4.997451208884692E-005  1.102320926462492E+000
  3.000000000000002E-001  1.704560950764887E-004  1.135533430077413E+000
  4.000000000000003E-001  3.381810670370025E-004  1.163065112746258E+000
  5.000000000000003E-001  5.254888099898838E-004  1.185619178129358E+000
  6.000000000000004E-001  7.197302837096667E-004  1.203839705363282E+000
  7.000000000000005E-001  9.171024548233127E-004  1.218591690607171E+000
  8.000000000000006E-001  1.117132689908914E-003  1.230770686339513E+000
  9.000000000000007E-001  1.320062690362529E-003  1.241032912984785E+000
  1.000000000000001E+000  1.526032345245366E-003  1.249854026302853E+000
  1.100000000000001E+000  1.734925007328764E-003  1.257574262400687E+000
  1.200000000000001E+000  1.946431695363745E-003  1.264435795864334E+000
  1.300000000000001E+000  2.160151011357076E-003  1.270611432672565E+000
  1.400000000000001E+000  2.375672939728068E-003  1.276224680952332E+000
  1.500000000000001E+000  2.592647043591432E-003  1.281362467364700E+000
  1.600000000000001E+000  2.810849030927394E-003  1.286082226807942E+000
  1.700000000000001E+000  3.030258477100468E-003  1.290415026001677E+000
  1.800000000000001E+000  3.251156624122389E-003  1.294366061249331E+000
  1.900000000000001E+000  3.474248812916290E-003  1.297913670254401E+000
  2.000000000000001E+000  3.700805102833305E-003  1.301008460671184E+000
  2.100000000000001E+000  3.932788285970062E-003  1.303575413063762E+000
  2.200000000000002E+000  4.172907493712734E-003  1.305522808002313E+000
  2.300000000000002E+000  4.424522666135674E-003  1.306760649464080E+000
  2.400000000000002E+000  4.691355220103079E-003  1.307226984194081E+000
  2.500000000000002E+000  4.977031069695378E-003  1.306914922695993E+000
  2.600000000000002E+000  5.284557924525220E-003  1.305890126909919E+000
  2.700000000000002E+000  5.615875102622804E-003  1.304290963072859E+000
  2.800000000000002E+000  5.971590968815551E-003  1.302310547653427E+000
  2.900000000000002E+000  6.350956498656711E-003  1.300167243825317E+000
  3.000000000000002E+000  6.752049537951358E-003  1.298073557016726E+000
  3.100000000000002E+000  7.172094477070883E-003  1.296211781044494E+000
  3.200000000000002E+000  7.607828158046297E-003  1.294720298983877E+000
  3.300000000000002E+000  8.057083519308087E-003  1.293758986698335E+000
  3.400000000000002E+000  8.514480443016392E-003  1.293327331620563E+000
  3.500000000000001E+000  8.977192686635918E-003  1.293424199977144E+000
  3.600000000000001E+000  9.442794373002437E-003  1.294024742965732E+000
  3.700000000000001E+000  9.909270989061600E-003  1.295088426123546E+000
  3.800000000000000E+000  1.037499858703085E-002  1.296565455089505E+000
  3.900000000000000E+000  1.083870494576965E-002  1.298401650754074E+000
  4.000000000000000E+000  1.129942294324197E-002  1.300542000704437E+000
  4.100000000000000E+000  1.175644288725528E-002  1.302933147299101E+000
  4.199999999999999E+000  1.220926776198916E-002  1.305525047304523E+000
  4.299999999999999E+000  1.265757336270555E-002  1.308271996427082E+000
  4.399999999999999E+000  1.310117400129574E-002  1.311133172963146E+000
  4.499999999999998E+000  1.353999370180908E-002  1.314072823473946E+000
  4.599999999999998E+000  1.397404240480567E-002  1.317060189307294E+000
  4.699999999999998E+000  1.440230288022336E-002  1.320114388595557E+000
  4.799999999999997E+000  1.482610450419198E-002  1.323159063495846E+000
  4.899999999999997E+000  1.524562248677621E-002  1.326178046118465E+000
  4.999999999999996E+000  1.566105447627062E-002  1.329158498548950E+000
  5.099999999999996E+000  1.607261364182007E-002  1.332090433979315E+000
  5.199999999999996E+000  1.648052312557618E-002  1.334966276429601E+000
  5.299999999999995E+000  1.688501156250405E-002  1.337780464703309E+000
  5.399999999999995E+000  1.728630946648872E-002  1.340529102620018E+000
  5.499999999999995E+000  1.768464632624350E-002  1.343209654805581E+000
  5.599999999999994E+000  1.808024828653374E-002  1.345820685527231E+000
  5.699999999999994E+000  1.847333631505082E-002  1.348361637015149E+000
  5.799999999999994E+000  1.886412477459946E-002  1.350832643204991E+000
  5.899999999999993E+000  1.925282033520642E-002  1.353234374700860E+000
  5.999999999999993E+000  1.963962117225032E-002  1.355567910867203E+000
  6.099999999999993E+000  2.002471640554615E-002  1.357834635216334E+000
  6.199999999999992E+000  2.040828574115791E-002  1.360036150598060E+000
  6.299999999999992E+000  2.079049928309350E-002  1.362174211072048E+000
  6.399999999999991E+000  2.117151748636923E-002  1.364250667721641E+000
  6.499999999999991E+000  2.155149122652156E-002  1.366267426030145E+000
  6.599999999999991E+000  2.193056196370842E-002  1.368226412776495E+000
  6.699999999999990E+000  2.230886198222964E-002  1.370129550710951E+000
  6.799999999999990E+000  2.268651468870167E-002  1.371978739541445E+000
  6.999999999999990E+000  2.344022067546436E-002  1.375530680688691E+000
  7.199999999999990E+000  2.419301611320691E-002  1.378886847137035E+000
  7.399999999999991E+000  2.494550397334179E-002  1.382060750607279E+000
  7.599999999999991E+000  2.569820648381573E-002  1.385065001919582E+000
  7.799999999999991E+000  2.645157214182352E-002  1.387911309261805E+000
  7.999999999999991E+000  2.720598296617675E-002  1.390610512918529E+000
  8.199999999999990E+000  2.796176162624715E-002  1.393172638730920E+000
  8.399999999999990E+000  2.871917822539921E-002  1.395606959106633E+000
  8.599999999999989E+000  2.947845660436133E-002  1.397922054879415E+000
  8.799999999999988E+000  3.023978009586014E-002  1.400125874294766E+000
  8.999999999999988E+000  3.100329670938969E-002  1.402225787311038E+000
  9.199999999999987E+000  3.176912375714366E-002  1.404228634583868E+000
  9.399999999999986E+000  3.253735195210700E-002  1.406140771185592E+000
  9.599999999999985E+000  3.330804902019558E-002  1.407968105471091E+000
  9.799999999999985E+000  3.408126287287085E-002  1.409716133656847E+000
  9.999999999999984E+000  3.485702438704370E-002  1.411389970712335E+000
  1.019999999999998E+001  3.563534983696858E-002  1.412994378127050E+000
  1.039999999999998E+001  3.641624301938365E-002  1.414533789047704E+000
  1.059999999999998E+001  3.719969710914493E-002  1.416012331200471E+000
  1.079999999999998E+001  3.798569627851518E-002  1.417433847935263E+000
  1.099999999999998E+001  3.877421710936735E-002  1.418801917659549E+000
  1.149999999999998E+001  4.076143574329009E-002  1.422023036871053E+000
  1.199999999999998E+001  4.276347080381146E-002  1.424979526519559E+000
  1.249999999999998E+001  4.477939182506883E-002  1.427709053265366E+000
  1.299999999999998E+001  4.680832860069618E-002  1.430243215132312E+000
  1.349999999999998E+001  4.884944088757553E-002  1.432608418347709E+000
  1.399999999999998E+001  5.090191542676371E-002  1.434826734072141E+000
  1.449999999999998E+001  5.296497057750517E-002  1.436916647643713E+000
  1.499999999999998E+001  5.503786150228494E-002  1.438893687029292E+000
  1.549999999999998E+001  5.711988384530826E-002  1.440770941193403E+000
  1.599999999999998E+001  5.921037565105045E-002  1.442559484908635E+000
  1.649999999999998E+001  6.130871781604657E-002  1.444268726200793E+000
  1.699999999999998E+001  6.341433346084799E-002  1.445906690527354E+000
  1.749999999999998E+001  6.552668656267152E-002  1.447480253438335E+000
  1.799999999999998E+001  6.764528011425466E-002  1.448995331337602E+000
  1.849999999999998E+001  6.976965400547505E-002  1.450457038161228E+000
  1.899999999999998E+001  7.189938276906209E-002  1.451869814309189E+000
  1.949999999999998E+001  7.403407328960794E-002  1.453237532964602E+000
  1.999999999999998E+001  7.617336254362710E-002  1.454563587962465E+000
  2.049999999999998E+001  7.831691541520445E-002  1.455850966584572E+000
  2.099999999999998E+001  8.046442261486941E-002  1.457102310022242E+000
  2.149999999999998E+001  8.261559871721962E-002  1.458319963734660E+000
  2.199999999999998E+001  8.477018032431458E-002  1.459506019514302E+000
  2.249999999999998E+001  8.692792435605697E-002  1.460662350733368E+000
  2.299999999999998E+001  8.908860646495136E-002  1.461790641971527E+000
  2.349999999999998E+001  9.125201957023868E-002  1.462892414003216E+000
  2.399999999999998E+001  9.341797250501752E-002  1.463969044942780E+000
  2.449999999999998E+001  9.558628876927316E-002  1.465021788199710E+000
  2.499999999999998E+001  9.775680538151020E-002  1.466051787777882E+000
  2.549999999999998E+001  9.992937182175547E-002  1.467060091356600E+000
  2.599999999999998E+001  1.021038490589588E-001  1.468047661513304E+000
  2.649999999999998E+001  1.042801086561784E-001  1.469015385384392E+000
  2.699999999999998E+001  1.064580319473537E-001  1.469964083009087E+000
  2.749999999999998E+001  1.086375092798997E-001  1.470894514559219E+000
  2.799999999999998E+001  1.108184393177882E-001  1.471807386623510E+000
