! time                    visible_loop_density    visible_loop_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  1.497854026399338E-005  1.114033854828022E+000
  2.000000000000001E-001  7.162258564297585E-005  1.146398057722894E+000
  3.000000000000002E-001  1.674024864160508E-004  1.170596696525395E+000
  4.000000000000003E-001  2.947795075062860E-004  1.191416286701751E+000
  5.000000000000003E-001  4.437712108635957E-004  1.208821130674591E+000
  6.000000000000004E-001  6.084473068880991E-004  1.223827541867228E+000
  7.000000000000005E-001  7.859746611177916E-004  1.237723830711233E+000
  8.000000000000006E-001  9.715482614119074E-004  1.249829817483989E+000
  9.000000000000007E-001  1.163190719884520E-003  1.260518974200022E+000
  1.000000000000001E+000  1.359446901259130E-003  1.270049654629014E+000
  1.100000000000001E+000  1.559217334060485E-003  1.278611593542268E+000
  1.200000000000001E+000  1.761651802511371E-003  1.286349914531628E+000
  1.300000000000001E+000  1.966081875429564E-003  1.293378625131743E+000
  1.400000000000001E+000  2.171981390627548E-003  1.299788410338500E+000
  1.500000000000001E+000  2.378825551862656E-003  1.305565168093237E+000
  1.600000000000001E+000  2.586543213970455E-003  1.310881170182780E+000
  1.700000000000001E+000  2.794963131686315E-003  1.315764260578937E+000
  1.800000000000001E+000  3.004127372274173E-003  1.320231395059352E+000
  1.900000000000001E+000  3.214361170437708E-003  1.324278959662410E+000
  2.000000000000001E+000  3.426382111975396E-003  1.327879104679422E+000
  2.100000000000001E+000  3.641426764713962E-003  1.330977196088665E+000
  2.200000000000002E+000  3.861365717000160E-003  1.333492941607855E+000
  2.300000000000002E+000  4.088754397265325E-003  1.335328627071896E+000
  2.400000000000002E+000  4.326756684826701E-003  1.336386912607151E+000
  2.500000000000002E+000  4.578900735971108E-003  1.336596882742446E+000
  2.600000000000002E+000  4.848682544879909E-003  1.335941829368089E+000
  2.700000000000002E+000  5.139097135995897E-003  1.334478924308511E+000
  2.800000000000002E+000  5.452214141520657E-003  1.332342475390784E+000
  2.900000000000002E+000  5.788903495007533E-003  1.329728684112866E+000
  3.000000000000002E+000  6.148765939798581E-003  1.326867157508453E+000
  3.100000000000002E+000  6.530259451305463E-003  1.323988654781919E+000
  3.200000000000002E+000  6.930964226621195E-003  1.321297970900754E+000
  3.300000000000002E+000  7.347909428936224E-003  1.318956951502906E+000
  3.400000000000002E+000  7.779274477330468E-003  1.317136070498642E+000
  3.500000000000002E+000  8.219684382899632E-003  1.315869035277584E+000
  3.600000000000001E+000  8.666343457608389E-003  1.315166950291294E+000
  3.700000000000001E+000  9.116807315391016E-003  1.315012747687037E+000
  3.800000000000001E+000  9.569010423925831E-003  1.315369985462409E+000
  3.900000000000000E+000  1.002125885279791E-002  1.316190130929189E+000
  4.000000000000000E+000  1.047220171622558E-002  1.317418238439438E+000
  4.100000000000000E+000  1.092079173103448E-002  1.318997176551974E+000
  4.199999999999999E+000  1.136624215319506E-002  1.320870645034337E+000
  4.299999999999999E+000  1.180798467386790E-002  1.322985225656773E+000
  4.399999999999999E+000  1.224563083014236E-002  1.325291682011363E+000
  4.499999999999998E+000  1.267893808890808E-002  1.327745687660354E+000
  4.599999999999998E+000  1.310778087732744E-002  1.330308128748714E+000
  4.699999999999998E+000  1.353212632411924E-002  1.332945099204863E+000
  4.799999999999997E+000  1.395097358190390E-002  1.335673830050153E+000
  4.899999999999997E+000  1.436556080238590E-002  1.338414061998276E+000
  4.999999999999996E+000  1.477603908843995E-002  1.341147249551120E+000
  5.099999999999996E+000  1.518258584425286E-002  1.343858440816152E+000
  5.199999999999996E+000  1.558539743884444E-002  1.346535778470001E+000
  5.299999999999995E+000  1.598468322159497E-002  1.349170037787908E+000
  5.399999999999995E+000  1.638066064327540E-002  1.351754208992052E+000
  5.499999999999995E+000  1.677355128376508E-002  1.354283126661394E+000
