! time                    visible_void_density    visible_void_diameter   
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000001E-001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000002E-001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000003E-001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000003E-001  2.358426051906648E-094  0.000000000000000E+000
  6.000000000000004E-001  9.986622731642969E-087  0.000000000000000E+000
  7.000000000000005E-001  7.085380687688262E-067  0.000000000000000E+000
  8.000000000000006E-001  4.502597314455099E-062  0.000000000000000E+000
  9.000000000000007E-001  3.993885265352165E-058  0.000000000000000E+000
  1.000000000000001E+000  8.380132213004233E-055  0.000000000000000E+000
  1.100000000000001E+000  4.923327293526645E-052  0.000000000000000E+000
  1.200000000000001E+000  2.517732681714896E-050  0.000000000000000E+000
  1.300000000000001E+000 -4.778708405317566E-047  0.000000000000000E+000
  1.400000000000001E+000 -1.432703951780144E-044  0.000000000000000E+000
  1.500000000000001E+000 -1.527685342573934E-043  0.000000000000000E+000
  1.600000000000001E+000 -2.017461177963147E-042  0.000000000000000E+000
  1.700000000000001E+000 -3.074378570763242E-041  0.000000000000000E+000
  1.800000000000001E+000 -5.153591072817507E-040  0.000000000000000E+000
  1.900000000000001E+000 -8.970818113857488E-039  0.000000000000000E+000
  2.000000000000001E+000 -1.532031387378690E-037  0.000000000000000E+000
  2.100000000000001E+000 -2.443203783149932E-036  0.000000000000000E+000
  2.200000000000002E+000 -3.501945420354210E-035  0.000000000000000E+000
  2.300000000000002E+000 -4.394754351877593E-034  0.000000000000000E+000
  2.400000000000002E+000 -4.754201387950758E-033  0.000000000000000E+000
  2.500000000000002E+000 -4.401552540169907E-032  0.000000000000000E+000
  2.600000000000002E+000 -3.483384756677627E-031  0.000000000000000E+000
  2.700000000000002E+000 -2.363287389127864E-030  0.000000000000000E+000
  2.800000000000002E+000 -1.382087955669818E-029  0.000000000000000E+000
