 time    0.0000000000000000     
           3   4  6.540625641784608E-009
           4   4  4.037855601717504E-009
 time    3.9999999999999998E-007
           1   4  5.620308243857520E-008
           2   4  1.731073512127934E-008
           3   4  8.686385582020160E-009
           4   4  5.366952612121792E-009
 time    5.9999999999999997E-007
           1   4  8.303485665710302E-008
           2   4  2.570045150498818E-008
           3   4  1.292778696035986E-008
           4   4  7.999527101451227E-009
 time    7.9999999999999996E-007
           1   4  1.093973306016008E-007
           2   4  3.398253929845333E-008
           3   4  1.712503116897672E-008
           4   4  1.060901516428744E-008
 time    9.9999999999999995E-007
           1   4  1.353519498772835E-007
           2   4  4.217085105495541E-008
           3   4  2.128297302932063E-008
           4   4  1.319757407026258E-008
 time    1.5000000000000000E-006
           1   4  1.981719830658257E-007
           2   4  6.217932654284680E-008
           3   4  3.148126770131531E-008
           4   4  1.956184146031041E-008
 time    1.9999999999999999E-006
           1   4  2.592109350122566E-007
           2   4  8.180003612825101E-008
           3   4  4.151541995644415E-008
           4   4  2.583578913315398E-008
 time    3.0000000000000001E-006
           1   4  3.754163315555692E-007
           2   4  1.197879567593305E-007
           3   4  6.106411126307286E-008
           4   4  3.809922693715619E-008
 time    3.9999999999999998E-006
           1   4  4.865555793661688E-007
           2   4  1.566972249496791E-007
           3   4  8.017239963701333E-008
           4   4  5.012438771003379E-008
 time    6.0000000000000002E-006
           1   4  6.922393212344024E-007
           2   4  2.269632335591671E-007
           3   4  1.169479130445172E-007
           4   4  7.340541899670826E-008
 time    7.9999999999999996E-006
           1   4  8.836737710939967E-007
           2   4  2.941663887512939E-007
           3   4  1.524789168217575E-007
           4   4  9.602487198420846E-008
 time    9.9999999999999991E-006
           1   4  1.062498248495831E-006
           2   4  3.586509645258918E-007
           3   4  1.869022142856295E-007
           4   4  1.180552234217925E-007
 time    1.4999999999999999E-005
           1   4  1.445912345340833E-006
           2   4  5.059393330452447E-007
           3   4  2.672701067403182E-007
           4   4  1.700960637320659E-007
 time    1.9999999999999998E-005
           1   4  1.776123807951975E-006
           2   4  6.412807639558237E-007
           3   4  3.427421780564737E-007
           4   4  2.195219107888419E-007
 time    2.9999999999999997E-005
           1   4  2.277848220059760E-006
           2   4  8.734368316343590E-007
           3   4  4.777079730280814E-007
           4   4  3.098172336770526E-007
 time    3.9999999999999996E-005
           1   4  2.659513841403287E-006
           2   4  1.073405507244200E-006
           3   4  5.990465980876084E-007
           4   4  3.927762547632805E-007
 time    4.9999999999999996E-005
           1   4  2.949895789190486E-006
           2   4  1.245998505533581E-006
           3   4  7.084659196865231E-007
           4   4  4.692610190684980E-007
 time    5.9999999999999995E-005
           1   4  3.170755020732540E-006
           2   4  1.395099081999022E-006
           3   4  8.073061344560827E-007
           4   4  5.399284593934954E-007
 time    7.9999999999999993E-005
           1   4  3.441343989170510E-006
           2   4  1.621991734508093E-006
           3   4  9.705149648070436E-007
           4   4  6.617128478636941E-007
 time    9.9999999999999991E-005
           1   4  3.606611700631409E-006
           2   4  1.794571864641451E-006
           3   4  1.105371495675733E-006
           4   4  7.668183629053801E-007
 time    1.1999999999999999E-004
           1   4  3.707096248035218E-006
           2   4  1.925747182169508E-006
           3   4  1.216815541778507E-006
           4   4  8.575873475201913E-007
 time    1.3999999999999999E-004
           1   4  3.767755926291748E-006
           2   4  2.025356754569912E-006
           3   4  1.308894789740457E-006
           4   4  9.359874476676694E-007
 time    1.5999999999999999E-004
           1   4  3.803947559038136E-006
           2   4  2.100907723937040E-006
           3   4  1.384947816891054E-006
           4   4  1.003697363258294E-006
 time    1.7999999999999998E-004
           1   4  3.825114590884208E-006
           2   4  2.158127900525076E-006
           3   4  1.447735923833876E-006
           4   4  1.062160660471623E-006
 time    1.9999999999999998E-004
           1   4  3.837060888207803E-006
           2   4  2.201386039008043E-006
           3   4  1.499545337387252E-006
           4   4  1.112623587808076E-006
 time    2.5000000000000001E-004
           1   4  3.844554367319955E-006
           2   4  2.260612940664989E-006
           3   4  1.583975187606035E-006
           4   4  1.202808583873302E-006
 time    3.0000000000000003E-004
           1   4  3.843399202239187E-006
           2   4  2.292434754848431E-006
           3   4  1.638776202277603E-006
           4   4  1.267110626844349E-006
 time    4.0000000000000002E-004
           1   4  3.832879149850866E-006
           2   4  2.313473285785016E-006
           3   4  1.690462075336747E-006
           4   4  1.337641630818294E-006
 time    5.0000000000000001E-004
           1   4  3.820524453267768E-006
           2   4  2.317993041650132E-006
           3   4  1.713872170895856E-006
           4   4  1.375626629868241E-006
 time    6.0000000000000006E-004
           1   4  3.807851666578741E-006
           2   4  2.316125712944692E-006
           3   4  1.723490236468053E-006
           4   4  1.395401435659107E-006
 time    8.0000000000000004E-004
           1   4  3.782752924095519E-006
           2   4  2.306338300400677E-006
           3   4  1.724936629134745E-006
           4   4  1.406723602615217E-006
 time    1.0000000000000000E-003
           1   4  3.758152615963838E-006
           2   4  2.295237606021525E-006
           3   4  1.720674645717605E-006
           4   4  1.407170333393527E-006
 time    1.5000000000000000E-003
           1   4  3.699013666441417E-006
           2   4  2.267375741089522E-006
           3   4  1.704610666944775E-006
           4   4  1.394937083438790E-006
 time    2.0000000000000000E-003
           1   4  3.642534412028475E-006
           2   4  2.240480010041400E-006
           3   4  1.688066681377000E-006
           4   4  1.380537746226608E-006
 time    3.0000000000000001E-003
           1   4  3.537317573679119E-006
           2   4  2.189914030637346E-006
           3   4  1.656177900943248E-006
           4   4  1.352417237742076E-006
 time    4.0000000000000001E-003
           1   4  3.440381950266502E-006
